kpi_name,url
Human Development Index Score,http://hdr.undp.org/en/indicators/137506
Public Expenditure on Education,http://hdr.undp.org/en/indicators/149206
Life Expectancy at Birth,http://hdr.undp.org/en/indicators/69206
"Adult Mortality Rate, Female",http://hdr.undp.org/en/indicators/57806
"Adult Mortality Rate, Male",http://hdr.undp.org/en/indicators/57906
Deaths Due to Malaria,http://hdr.undp.org/en/indicators/102506
Deaths Due to Tuberculosis,http://hdr.undp.org/en/indicators/150206
"HIV Prevalence, Adult (percentage for ages 15-49)",http://hdr.undp.org/en/indicators/58006
Infant Mortality Rate - UN,http://hdr.undp.org/en/indicators/57206
"Infants Lacking Immunization, DTP",http://hdr.undp.org/en/indicators/64406
"Infants Lacking Immunization, Measles",http://hdr.undp.org/en/indicators/64306
Public Health Expenditure,http://hdr.undp.org/en/indicators/53906
Stunting (Moderate or Severe),http://hdr.undp.org/en/indicators/98306
Under-Five Mortality Rate,http://hdr.undp.org/en/indicators/57506
Expected Years of Schooling,http://hdr.undp.org/en/indicators/69706
Adult Literacy Rate - UN,http://hdr.undp.org/en/indicators/101406
Government Expenditure on Education,http://hdr.undp.org/en/indicators/149206
Gross Enrollment Ratio: Pre-Primary Education,http://hdr.undp.org/en/indicators/133006
"Gross Enrollment Ratio, Primary Education",http://hdr.undp.org/en/indicators/63206
"Gross Enrollment Ratio, Secondary Education",http://hdr.undp.org/en/indicators/63306
"Gross Enrollment Ratio, Tertiary Education",http://hdr.undp.org/en/indicators/63406
Mean Years of Schooling - UN,http://hdr.undp.org/en/indicators/103006
Population with at Least Some Secondary Education,http://hdr.undp.org/en/indicators/23806
Primary School Dropout Rate,http://hdr.undp.org/en/indicators/46106
Primary School Teachers Trained to Teach,http://hdr.undp.org/en/indicators/45806
"Pupil-Teacher Ratio, Primary School - UN",http://hdr.undp.org/en/indicators/46206
Gross National Income (Gni) Per Capita,http://hdr.undp.org/en/indicators/141706
Adjusted Net Savings,http://hdr.undp.org/en/indicators/164406
Domestic Credit Provided by Financial Sector - UN,http://hdr.undp.org/en/indicators/127606
Domestic Food Price Level Index,http://hdr.undp.org/en/indicators/127806
Domestic Food Price Level Volatility Index,http://hdr.undp.org/en/indicators/136806
Gross Domestic Product (GDP) Per Capita,http://hdr.undp.org/en/indicators/136706
"Gross Domestic Product (GDP), Total",http://hdr.undp.org/en/indicators/143306
Gross Fixed Capital Formation,http://hdr.undp.org/en/indicators/65606
Inequality-Adjusted HDI,http://hdr.undp.org/en/indicators/138806
Coefficient of Human Inequality,http://hdr.undp.org/en/indicators/135006
"Income Inequality, Gini Coefficient",http://hdr.undp.org/en/indicators/67106
"Income Inequality, Palma Ratio",http://hdr.undp.org/en/indicators/135206
"Income Inequality, Quintile Ratio",http://hdr.undp.org/en/indicators/135106
Inequality in Education,http://hdr.undp.org/en/indicators/101606
Inequality in Income,http://hdr.undp.org/en/indicators/101706
Inequality in Life Expectancy,http://hdr.undp.org/en/indicators/101806
Inequality-Adjusted Education Index,http://hdr.undp.org/en/indicators/71406
Inequality-Adjusted Income Index,http://hdr.undp.org/en/indicators/71606
Inequality-Adjusted Life Expectancy Index,http://hdr.undp.org/en/indicators/71506
Overall Loss in HDI Due to Inequality,http://hdr.undp.org/en/indicators/73506
Gender Development Index,http://hdr.undp.org/en/indicators/137906
Adolescent Birth Rate,http://hdr.undp.org/en/indicators/36806
"Estimated Gross National Income Per Capita, Female",http://hdr.undp.org/en/indicators/123506
"Estimated Gross National Income Per Capita, Male",http://hdr.undp.org/en/indicators/123606
"Expected Years of Schooling, Female",http://hdr.undp.org/en/indicators/123306
"Expected Years of Schooling, Male",http://hdr.undp.org/en/indicators/123406
