,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,,,,,-18.1,-24.3,-12.6,-17.4,-18.3
3,75,Albania,5.7,11.8,19.3,19.8,7.4,5.4,5.2,4.3,-1.6
4,83,Algeria,9.9,,,20.3,27.5,26.3,27.3,25.9,26.9
5,150,Angola,-99.3,,-46.6,-4.8,-2.4,3.0,,,
6,45,Argentina,-2.2,4.3,0.5,2.9,10.1,10.2,8.4,8.8,10.1
7,84,Armenia,,,-11.1,16.8,8.1,3.2,4.1,2.3,0.4
8,2,Australia,8.2,7.5,7.1,6.5,7.2,8.4,10.3,9.2,8.5
9,24,Austria,15.4,13.2,14.1,13.8,13.1,13.6,12.8,12.3,11.8
10,78,Azerbaijan,,,-39.1,2.5,9.8,13.1,12.7,14.5,17.8
11,58,Bahamas,33.5,29.8,22.1,18.5,10.1,6.8,6.9,8.2,2.3
12,47,Bahrain,-34.9,-9.2,-7.5,-1.4,4.4,-3.1,2.2,-2.0,
13,139,Bangladesh,5.9,11.1,16.4,20.1,24.6,23.7,26.4,25.8,25.2
14,54,Barbados,20.9,16.3,14.2,9.4,9.8,-2.1,-0.3,,
15,52,Belarus,,4.5,11.3,23.0,19.1,23.2,24.2,20.4,17.3
16,22,Belgium,,,,14.2,12.3,10.1,10.4,9.0,9.8
17,103,Belize,31.5,22.7,1.3,-3.5,-7.1,-5.5,-3.4,-5.5,
18,167,Benin,3.2,9.5,7.2,8.0,7.3,8.8,9.4,12.3,
19,132,Bhutan,,,,,12.8,21.0,32.2,9.5,14.7
20,118,Bolivia (Plurinational State of),-1.1,4.7,2.5,-1.5,11.3,9.2,10.1,8.2,8.3
21,108,Botswana,35.3,23.3,35.0,34.3,21.5,26.3,21.4,28.3,34.8
22,79,Brazil,7.4,5.6,2.0,6.0,10.5,10.3,7.8,6.0,7.3
23,30,Brunei Darussalam,,,,-1.8,,,25.8,,
24,56,Bulgaria,2.8,5.7,1.8,4.0,9.6,10.8,10.0,11.4,10.7
25,185,Burkina Faso,6.2,,1.7,3.9,9.9,,,,
26,184,Burundi,-20.5,-33.6,-30.5,-26.4,-27.1,-23.8,-9.0,-8.6,
27,122,Cabo Verde,,,,,21.6,20.3,,,
28,143,Cambodia,,-10.6,4.6,5.6,2.1,0.3,0.1,-0.2,3.1
29,153,Cameroon,2.1,0.2,-1.8,3.1,0.9,0.1,-1.9,-2.3,
30,10,Canada,6.4,8.3,9.9,9.9,4.9,6.4,6.5,6.6,7.0
31,188,Central African Republic,0.9,,,,,,,,
32,186,Chad,-5.8,,,,,,,,
33,38,Chile,5.5,11.0,6.2,6.5,6.3,4.3,5.0,4.4,4.1
34,90,China,21.0,28.8,22.8,30.6,34.4,31.2,33.8,34.0,34.5
35,95,Colombia,1.9,6.8,-3.7,4.2,3.3,2.1,2.7,3.2,3.3
36,160,Comoros,-0.3,-3.9,,-6.8,-4.9,-5.9,-2.2,,
37,135,Congo,-21.0,-87.6,-55.3,-80.2,,,,,
38,176,Congo (Democratic Republic of the),,,-4.5,-11.0,-18.8,-19.2,-18.0,-29.4,-26.6
39,66,Costa Rica,8.2,10.1,11.0,16.3,16.1,16.0,15.5,15.2,14.7
40,45,Croatia,,-2.7,4.8,9.3,5.6,6.0,5.2,5.1,3.0
41,33,Cyprus,17.0,14.6,10.4,10.9,6.8,9.2,3.4,1.5,0.3
42,28,Czech Republic,,12.3,7.2,9.5,3.9,4.4,5.7,5.3,5.7
43,171,Côte d'Ivoire,-11.4,8.0,-0.5,7.1,11.9,10.1,9.9,13.0,
44,5,Denmark,13.2,13.5,14.3,14.5,12.5,13.5,12.8,14.2,14.5
45,99,Dominican Republic,10.7,11.3,15.3,8.4,16.1,14.6,13.6,14.6,14.6
46,89,Ecuador,26.1,-6.3,0.1,-1.6,5.8,8.4,10.0,10.2,11.2
47,111,Egypt,12.3,10.8,8.6,3.6,6.7,4.5,2.6,3.3,2.3
48,117,El Salvador,4.7,8.9,6.0,5.4,2.8,2.1,1.5,0.8,0.5
49,135,Equatorial Guinea,29.7,-109.5,,,,,,,
50,179,Eritrea,,2.1,2.4,,,,,,
51,30,Estonia,,,12.4,15.6,10.7,15.1,14.0,15.4,16.5
52,174,Ethiopia,,,,,,14.1,14.5,,
53,91,Fiji,-3.0,11.8,10.4,12.1,,,,,
54,23,Finland,11.4,13.0,20.1,15.8,10.0,9.1,7.9,6.8,6.3
55,21,France,12.0,11.4,12.9,10.3,7.2,7.9,6.5,6.6,6.6
56,109,Gabon,-19.4,-11.8,-2.5,-2.1,,,,,
57,173,Gambia,7.0,-17.5,,-12.7,-8.0,10.7,8.3,,
58,70,Georgia,,,12.3,13.5,1.1,2.8,6.0,8.2,9.4
59,4,Germany,,9.9,8.8,9.8,11.5,13.4,12.4,12.2,13.3
60,139,Ghana,1.6,1.2,3.0,7.9,2.8,4.9,6.8,-0.5,1.6
61,29,Greece,12.8,11.5,7.1,4.1,-8.7,-10.8,-6.7,-5.8,
62,125,Guatemala,-1.2,0.6,3.5,7.4,2.8,3.2,4.6,4.2,2.6
63,183,Guinea,-1.7,1.4,0.5,-12.8,-35.0,-39.3,-56.3,-47.8,
64,178,Guinea-Bissau,2.4,-5.9,,-16.6,-22.6,-12.5,-19.7,-19.3,
65,127,Guyana,,23.6,9.4,5.8,-3.0,-7.6,-9.1,-10.4,
66,163,Haiti,,,,25.6,18.0,18.0,18.6,17.3,16.6
67,130,Honduras,14.6,21.1,16.5,21.1,13.1,14.2,13.8,9.7,10.4
68,43,Hungary,,3.2,3.9,4.6,6.1,6.4,5.9,10.1,10.9
69,9,Iceland,,,,,,-0.5,1.4,11.2,
70,131,India,10.3,12.5,13.4,21.7,21.2,20.8,19.8,19.4,19.0
71,113,Indonesia,14.6,18.6,11.8,12.9,25.0,25.3,25.9,24.6,26.3
72,69,Iran (Islamic Republic of),4.4,15.5,7.8,,,,,,
73,121,Iraq,,,,-21.1,-8.0,-2.0,-2.6,,
74,8,Ireland,17.7,17.9,20.9,21.1,8.9,9.5,10.0,13.6,16.1
75,19,Israel,12.8,6.7,11.4,12.0,12.5,13.1,14.2,14.9,15.3
76,26,Italy,9.3,11.1,9.5,8.3,3.2,3.1,2.6,3.0,3.5
77,94,Jamaica,11.9,18.2,,10.7,10.3,5.6,8.1,9.2,10.9
78,17,Japan,19.9,13.8,10.1,8.5,4.8,3.5,3.6,3.5,3.4
79,86,Jordan,16.5,24.9,13.6,8.0,10.7,8.4,5.2,11.9,15.7
80,56,Kazakhstan,,-12.0,-29.2,-20.2,-4.5,-2.9,-2.4,-0.7,3.0
81,146,Kenya,9.5,11.2,3.7,8.9,6.6,4.5,5.1,4.2,4.0
82,18,Korea (Republic of),23.8,22.1,19.4,19.1,20.1,19.7,18.3,18.3,18.7
83,51,Kuwait,-4.2,12.5,20.5,24.3,20.6,25.4,27.3,24.5,18.7
84,120,Kyrgyzstan,,,-0.4,4.5,4.9,4.1,1.4,-5.9,-5.8
85,138,Lao People's Democratic Republic,,,-15.9,-5.2,-4.3,-7.5,-4.1,-4.1,
86,44,Latvia,,,0.4,3.8,-1.0,0.4,0.6,0.8,0.2
87,76,Lebanon,,,,-8.5,-7.7,-7.3,-5.6,-8.1,-7.7
88,160,Lesotho,,,,13.9,8.8,14.4,19.4,29.2,
89,177,Liberia,,,,-37.8,-58.0,-40.5,-33.3,-29.5,-27.9
90,102,Libya,,,,6.6,,,,,
91,37,Lithuania,,-9.2,0.6,19.4,19.6,19.4,18.6,21.4,20.1
92,20,Luxembourg,,,20.5,24.3,19.6,15.2,12.3,11.5,12.5
93,158,Madagascar,6.8,-2.5,4.9,2.9,0.4,-0.9,-3.4,-5.3,
94,170,Malawi,1.8,-14.8,-1.5,-3.8,14.4,4.5,-1.8,0.4,1.8
95,59,Malaysia,12.4,20.1,16.6,13.4,14.0,15.4,12.8,11.2,12.0
96,105,Maldives,,42.1,32.9,8.6,,,,,
97,175,Mali,5.7,2.8,6.5,7.9,10.3,10.5,4.4,14.8,
98,157,Mauritania,-6.9,14.8,,,,,-6.8,-15.4,-17.0
99,64,Mauritius,20.0,17.0,17.1,9.1,8.5,7.4,7.5,4.9,2.7
100,77,Mexico,8.1,7.0,10.9,8.6,8.9,7.4,8.0,6.3,7.9
101,107,Moldova (Republic of),,0.9,-0.5,12.4,10.5,7.6,10.6,13.3,13.8
102,92,Mongolia,-16.8,14.3,8.1,22.8,3.9,6.2,8.8,12.3,8.2
103,123,Morocco,23.5,13.5,16.0,25.9,20.2,17.7,14.5,16.6,
104,181,Mozambique,-2.4,-13.6,-2.9,-6.5,3.9,5.1,5.5,5.1,8.5
105,125,Namibia,24.1,24.6,19.5,21.4,14.1,12.4,14.6,17.5,16.9
106,144,Nepal,0.9,13.1,13.5,24.1,29.4,31.9,33.3,36.9,32.7
107,7,Netherlands,15.1,16.0,16.5,14.3,14.7,16.3,16.8,16.4,16.9
108,13,New Zealand,8.1,10.6,9.9,9.3,8.0,8.6,9.4,12.8,13.8
109,124,Nicaragua,3.7,-5.7,6.0,10.9,8.8,13.5,11.9,11.1,11.7
110,187,Niger,-18.5,-23.1,-10.5,2.2,9.4,3.2,5.9,5.7,
111,152,Nigeria,-17.9,-25.2,-6.7,-11.1,11.4,10.0,19.0,7.3,11.0
112,1,Norway,6.6,9.4,11.7,14.4,15.9,17.4,20.4,20.3,21.0
113,52,Oman,-22.1,-25.1,-7.9,-6.2,-12.9,-17.5,-15.3,-20.1,
114,147,Pakistan,10.3,10.2,7.7,9.7,9.7,10.6,10.5,12.0,14.1
115,60,Panama,21.7,28.1,20.2,16.0,26.8,18.7,24.3,,
116,154,Papua New Guinea,0.1,8.8,9.8,,,,,,
117,110,Paraguay,,8.3,3.7,6.5,5.5,10.4,5.6,10.6,10.0
118,87,Peru,5.1,8.3,8.0,11.3,13.1,12.5,13.0,14.2,13.3
119,116,Philippines,10.2,10.0,28.7,33.0,36.4,26.8,26.5,27.8,28.7
120,36,Poland,,8.7,8.2,6.8,8.0,9.8,9.4,9.6,10.0
121,41,Portugal,16.0,12.8,6.7,1.5,-2.1,-0.5,-0.2,2.3,2.4
122,33,Qatar,,,,,,25.2,29.1,28.7,29.6
