,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,,,31.7,,,,38.2
3,75,Albania,,,,,,96.8,97.2,,,97.6
4,83,Algeria,,,,,,,,,,80.2
5,150,Angola,,,,,,,,70.8,,71.1
6,62,Antigua and Barbuda,,,,,,,,99.0,,
7,45,Argentina,,,,,,,,98.0,,98.1
8,84,Armenia,,,,,,99.7,,,,99.8
9,78,Azerbaijan,,,,,99.8,99.8,99.8,99.8,99.8,99.8
10,47,Bahrain,,,,,94.6,,,,,95.7
11,139,Bangladesh,,,,,,,,59.7,,61.5
12,52,Belarus,,,,,,,,,,99.7
13,103,Belize,,,,,,,,,,82.7
14,167,Benin,,,,,,,,,,38.4
15,132,Bhutan,,,,52.8,,,,,,64.9
16,118,Bolivia (Plurinational State of),,,,,,92.2,94.5,,,95.7
17,81,Bosnia and Herzegovina,,,96.7,,,,,98.3,,98.5
18,108,Botswana,,,,,,,,87.3,,88.5
19,79,Brazil,,,86.4,,90.4,91.4,91.3,91.5,,92.6
20,30,Brunei Darussalam,,,,,,96.1,,,,96.4
21,56,Bulgaria,,,,,,98.4,,,,98.4
22,185,Burkina Faso,,,,23.6,,,,,,36.0
23,184,Burundi,37.4,,59.3,,,,,,,85.6
24,122,Cabo Verde,62.8,,,,,,85.3,,,87.6
25,143,Cambodia,,,,,,,,,,77.2
26,153,Cameroon,,,68.4,,71.3,,,,,75.0
27,188,Central African Republic,,,50.6,,36.8,,,,,36.8
28,186,Chad,,,25.7,,,,,38.2,,40.2
29,38,Chile,,,,,,96.7,,,,97.3
30,90,China,77.8,,90.9,,95.1,,,,,96.4
31,95,Colombia,,,,92.8,93.4,93.6,,,,94.7
32,160,Comoros,,,68.5,,,,,76.6,,77.8
33,135,Congo,,,,,,79.3,,,,79.3
34,176,Congo (Democratic Republic of the),,,,,,,75.0,,,77.3
35,66,Costa Rica,,,94.9,,,97.4,,,,97.8
36,45,Croatia,,,,,,99.1,,,,99.3
37,68,Cuba,,,,,,,99.8,,,99.7
38,33,Cyprus,,,,,,98.7,,,,99.1
39,171,Côte d'Ivoire,,,48.7,,,,41.0,,,43.1
40,99,Dominican Republic,,,,,89.5,90.1,90.2,90.9,,91.8
41,89,Ecuador,88.3,,,,91.9,91.6,92.1,93.3,,94.5
42,111,Egypt,,,,71.4,72.0,,73.9,75.1,,75.2
43,117,El Salvador,,,,,84.5,85.5,,86.8,,88.4
44,135,Equatorial Guinea,,,88.3,,,,,94.8,,95.3
45,179,Eritrea,,,,,,,,71.6,,73.8
46,30,Estonia,,,99.8,,,99.9,,,,99.8
47,174,Ethiopia,,,,29.8,,,,,,49.1
48,109,Gabon,,,,,,,82.3,,,83.2
49,173,Gambia,,,36.8,,,,,53.2,,55.5
50,70,Georgia,,,,,,,,99.7,,99.8
51,139,Ghana,,,57.9,,71.5,,,,,76.6
52,29,Greece,,,,,,,,97.5,,97.7
53,125,Guatemala,,,,,,,78.3,77.0,,79.3
54,183,Guinea,,,,,25.3,,,,,30.4
55,178,Guinea-Bissau,,,41.4,,,,,57.8,,59.9
56,127,Guyana,,,,,,,,,,88.5
57,163,Haiti,,,,,,,,,,60.7
58,130,Honduras,,,,,84.8,85.1,85.4,85.5,87.2,88.5
59,43,Hungary,,,,,,,,99.0,,99.0
60,131,India,,,,,,69.3,,,,72.1
61,113,Indonesia,81.5,,,,,92.8,,,,93.9
62,69,Iran (Islamic Republic of),,,,82.4,,,83.6,,,86.8
63,121,Iraq,,,74.1,,,,,79.3,,79.7
64,26,Italy,,,,,,,,99.1,,99.2
65,94,Jamaica,,,,,,,,87.9,,88.7
66,86,Jordan,,,,91.1,92.6,95.9,97.9,,,96.7
67,56,Kazakhstan,,,,,,,,,,99.8
68,146,Kenya,,,82.2,,,,,,,78.0
69,0,Korea (Democratic People's Rep. of),,,,,,,,,,100.0
70,51,Kuwait,,78.4,,93.3,,,95.5,95.6,,96.2
71,120,Kyrgyzstan,,,,,,,,,,99.5
72,138,Lao People's Democratic Republic,,60.3,69.6,72.7,,,,,,79.9
73,44,Latvia,,,99.7,,,99.9,,,,99.9
74,76,Lebanon,,,,,,,,,,93.9
75,160,Lesotho,,,86.3,,,,,,,79.4
76,177,Liberia,,,,,,,,,,47.6
77,102,Libya,,,,,,,,90.3,,91.0
78,37,Lithuania,,,,,,99.8,,,,99.8
79,158,Madagascar,,,70.7,,,,,,,64.7
80,170,Malawi,,,,,61.3,,,,,65.8
81,59,Malaysia,,,88.7,,93.1,,,,,94.6
82,105,Maldives,96.0,96.3,96.3,,,,,,,99.3
83,175,Mali,,,,,31.1,33.6,,,,38.7
84,33,Malta,,87.9,,92.4,,93.3,,,,94.1
85,157,Mauritania,,,51.2,,,,,,,52.1
86,64,Mauritius,79.9,,84.3,,,89.3,,,,90.6
87,77,Mexico,87.6,,90.5,91.6,93.1,93.5,94.2,94.0,,94.4
88,107,Moldova (Republic of),,,96.7,,,,,99.2,,99.4
89,92,Mongolia,,,97.8,,98.3,,,,,98.4
90,48,Montenegro,,,,,,98.4,,,,98.7
91,123,Morocco,,,,,,67.1,,,,72.4
92,181,Mozambique,,,,,,,,,,58.8
93,145,Myanmar,,,89.9,,,,,92.8,,93.1
94,125,Namibia,,,,,,,,,,81.9
95,144,Nepal,,,,,,59.6,,,,64.7
96,124,Nicaragua,,,,78.0,,,,,,82.8
97,187,Niger,,,,28.7,,,15.5,,,19.1
98,152,Nigeria,,,,,,,,,,59.6
99,52,Oman,,,,,86.9,,,,92.0,94.8
100,147,Pakistan,,,,49.9,55.4,54.7,56.8,,,58.7
101,60,Palau,,,,,,,,99.5,,99.5
102,114,"Palestine, State of",,,,,94.9,95.3,95.9,96.3,96.4,96.7
103,60,Panama,88.8,,91.9,,94.1,,,,,95.0
104,154,Papua New Guinea,,,57.3,,,,,63.3,,64.2
105,110,Paraguay,,,,,93.9,,,,94.6,95.6
106,87,Peru,,,,87.9,,,93.8,,,94.5
107,116,Philippines,93.6,,92.6,,,,,,,96.3
108,36,Poland,,,,,,,,99.8,,99.8
109,41,Portugal,,,,,,94.5,,,,95.7
110,33,Qatar,,,,,96.3,96.4,96.7,97.5,97.7,97.8
111,50,Romania,,,,,,98.6,,,,98.8
112,49,Russian Federation,,,,,99.7,,,,,99.7
113,159,Rwanda,,,64.9,,65.9,,68.3,,,70.5
114,104,Samoa,,,,,,99.0,,,,99.0
115,142,Sao Tome and Principe,,,,,,,,,,74.9
116,38,Saudi Arabia,,,79.4,,,,,94.4,,94.7
117,162,Senegal,,,,,,52.1,,42.8,,55.7
118,66,Serbia,,,,,,98.0,,,,98.1
119,63,Seychelles,,,,,94.0,,,,,95.2
120,179,Sierra Leone,,,,,,,,45.6,,48.1
121,5,Singapore,89.1,,92.5,,95.9,96.2,96.4,96.5,,96.8
122,40,Slovakia,,,,,,,,,,99.6
123,25,Slovenia,,,,,,,,99.7,,99.7
124,119,South Africa,,,,,92.9,93.1,93.7,,,94.3
125,181,South Sudan,,,,,,,,,,31.9
126,27,Spain,,,,97.8,97.7,97.8,97.9,98.1,,98.1
127,73,Sri Lanka,,,,,91.2,,,,,92.6
128,165,Sudan,,,61.3,,,,,74.3,,75.9
129,97,Suriname,,,,,94.7,,,,,95.6
130,148,Swaziland,,,81.7,,83.1,,,,,87.5
131,149,Syrian Arab Republic,,,,,,,,85.5,,86.4
132,129,Tajikistan,,,99.5,,,,,99.8,,99.8
133,151,Tanzania (United Republic of),,,,,67.8,,79.0,,,80.3
134,87,Thailand,,,92.6,93.5,96.4,,,,,96.7
135,82,The former Yugoslav Republic of Macedonia,,,,,,,,97.6,,97.8
136,133,Timor-Leste,,,,,58.3,,,,,67.5
137,166,Togo,,,53.2,,,60.4,,,,66.5
138,101,Tonga,,,,,,99.4,,,,99.4
139,65,Trinidad and Tobago,96.9,,,,,,,98.9,,99.0
140,97,Tunisia,,,,,79.1,79.7,,,,81.8
141,71,Turkey,79.2,,,88.2,92.7,94.1,94.9,95.3,,95.0
142,111,Turkmenistan,,98.8,,,,,,99.7,,99.7
143,163,Uganda,,,,,73.2,,70.2,,,73.9
144,84,Ukraine,,,,,,,,99.7,,99.8
145,42,United Arab Emirates,,,,90.0,,,,,,93.8
146,54,Uruguay,,,,,98.1,98.3,98.4,98.4,,98.4
147,105,Uzbekistan,,,98.6,,,,,99.5,,99.6
148,134,Vanuatu,,,,,,,,84.0,,85.2
149,71,Venezuela (Bolivarian Republic of),89.8,,,,,94.8,,,,95.4
150,115,Viet Nam,,,90.2,,,,,,,94.5
151,168,Yemen,,,,,,,,67.6,,70.1
152,139,Zambia,65.0,,,,,,,,,63.4
153,154,Zimbabwe,,,,,,83.6,,,,86.5
154,,,,,,,,,,,,
