,HDI Rank,Country,
2,169,Afghanistan,37 d
3,75,Albania,99 cccc
4,83,Algeria,100 cccc
5,32,Andorra,100 d
6,150,Angola,36 d
7,45,Argentina,100 bbbb
8,84,Armenia,100 d
9,2,Australia,100 d
10,24,Austria,100 d
11,78,Azerbaijan,94 cccc
12,139,Bangladesh,37 d
13,54,Barbados,99 d
14,52,Belarus,100 bbbb
15,22,Belgium,100 d
16,103,Belize,95 d
17,167,Benin,85 d
18,132,Bhutan,100 d
19,118,Bolivia (Plurinational State of),76 cccc
20,81,Bosnia and Herzegovina,100 cccc
21,108,Botswana,72 cccc
22,79,Brazil,96 d
23,56,Bulgaria,100 d
24,185,Burkina Faso,77 d
25,184,Burundi,75 d
26,122,Cabo Verde,91 d
27,143,Cambodia,73 d
28,153,Cameroon,66 d
29,10,Canada,100 d
30,188,Central African Republic,61 d
31,186,Chad,12 d
32,38,Chile,99 bbbb
33,95,Colombia,97 d
34,160,Comoros,87 d
35,135,Congo,96 d
36,176,Congo (Democratic Republic of the),25 d
37,66,Costa Rica,100 bbbb
38,68,Cuba,100 d
39,33,Cyprus,100 d
40,28,Czech Republic,100 d
41,171,Côte d'Ivoire,65 d
42,5,Denmark,100 d
43,172,Djibouti,92 cccc
44,99,Dominican Republic,88 d
45,89,Ecuador,92 d
46,111,Egypt,99 d
47,117,El Salvador,99 d
48,135,Equatorial Guinea,54 d
49,30,Estonia,100 d
50,174,Ethiopia,7 cccc
51,23,Finland,100 d
52,21,France,100 d
53,109,Gabon,90 d
54,173,Gambia,72 d
55,70,Georgia,100 d
56,4,Germany,100 d
57,139,Ghana,71 d
58,29,Greece,100 d
59,125,Guatemala,97 cccc
60,183,Guinea,58 d
61,178,Guinea-Bissau,24 d
62,127,Guyana,89 d
63,163,Haiti,80 d
64,130,Honduras,94 d
65,43,Hungary,100 d
66,9,Iceland,100 d
67,131,India,72 d
68,113,Indonesia,69 bbbb
69,69,Iran (Islamic Republic of),99 bbbb
70,121,Iraq,99 d
71,8,Ireland,100 d
72,19,Israel,100 d
73,26,Italy,100 d
74,94,Jamaica,100 d
75,17,Japan,100 d
76,86,Jordan,99 d
77,56,Kazakhstan,100 d
78,146,Kenya,67 d
79,137,Kiribati,94 cccc
80,0,Korea (Democratic People's Rep. of),100 cccc
81,120,Kyrgyzstan,98 d
82,138,Lao People's Democratic Republic,75 d
83,44,Latvia,100 d
84,76,Lebanon,100 cccc
85,160,Lesotho,45 cccc
86,177,Liberia,25 bbbb
87,15,Liechtenstein,100 d
88,37,Lithuania,100 d
89,20,Luxembourg,100 d
90,158,Madagascar,83 d
91,170,Malawi,6 bbbb
92,105,Maldives,93 cccc
93,175,Mali,81 d
94,33,Malta,100 d
95,0,Marshall Islands,96 cccc
96,157,Mauritania,59 d
97,77,Mexico,93 d
98,107,Moldova (Republic of),100 d
99,0,Monaco,100 d
100,92,Mongolia,99 d
101,48,Montenegro,99 d
102,123,Morocco,94 bbbb
103,181,Mozambique,48 d
104,145,Myanmar,72 d
105,125,Namibia,87 bbbb
106,0,Nauru,83 cccc
107,144,Nepal,58 d
108,7,Netherlands,100 d
109,13,New Zealand,100 d
110,124,Nicaragua,85 d
111,187,Niger,64 d
112,152,Nigeria,30 bbbb
113,1,Norway,100 d
114,147,Pakistan,34 d
115,114,"Palestine, State of",99 d
116,60,Panama,96 d
117,110,Paraguay,85 bbbb
118,87,Peru,97 bbbb
119,116,Philippines,90 d
120,36,Poland,100 d
121,41,Portugal,100 d
122,49,Russian Federation,100 d
123,159,Rwanda,63 d
124,92,Saint Lucia,92 d
125,104,Samoa,59 d
126,0,San Marino,100 d
127,142,Sao Tome and Principe,95 d
128,162,Senegal,73 d
129,66,Serbia,99 d
130,179,Sierra Leone,77 d
131,40,Slovakia,100 d
132,25,Slovenia,100 d
133,0,Somalia,3 cccc
134,119,South Africa,85 bbbb
135,181,South Sudan,35 d
136,27,Spain,100 d
137,73,Sri Lanka,97 cccc
138,165,Sudan,67 d
139,97,Suriname,99 d
140,148,Swaziland,54 d
141,14,Sweden,100 d
142,2,Switzerland,100 d
143,149,Syrian Arab Republic,96 cccc
144,129,Tajikistan,88 d
145,151,Tanzania (United Republic of),15 bbbb
146,87,Thailand,99 bbbb
147,82,The former Yugoslav Republic of Macedonia,100 d
148,133,Timor-Leste,55 d
149,166,Togo,78 d
150,101,Tonga,93 d
151,65,Trinidad and Tobago,97 cccc
152,97,Tunisia,99 d
153,71,Turkey,99 bbbb
154,111,Turkmenistan,96 cccc
155,0,Tuvalu,50 cccc
156,163,Uganda,30 d
157,84,Ukraine,100 d
158,42,United Arab Emirates,100 bbbb
159,16,United Kingdom,100 d
160,10,United States,100 d
161,54,Uruguay,100 d
162,105,Uzbekistan,100 cccc
163,134,Vanuatu,43 bbbb
164,71,Venezuela (Bolivarian Republic of),81 bbbb
165,115,Viet Nam,96 d
166,168,Yemen,31 d
167,139,Zambia,11 d
168,154,Zimbabwe,32 d
169,,,
