,HDI Rank,Country,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,30.0,30.0,30.4
3,75,Albania,12.7,13.8,13.8,13.4,13.4,13.4
4,150,Angola,38.8,,43.6,43.6,36.6,36.6
5,45,Argentina,19.0,18.7,18.7,15.3,14.6,15.2
6,84,Armenia,10.9,10.7,10.8,10.2,10.1,9.2
7,2,Australia,7.7,7.7,7.7,7.5,7.9,8.0
8,24,Austria,7.3,7.2,6.5,7.1,7.6,8.5
9,78,Azerbaijan,13.4,11.1,11.1,11.5,13.0,12.9
10,58,Bahamas,14.0,14.4,,14.0,,
11,139,Bangladesh,28.3,26.8,26.8,28.7,29.0,28.5
12,52,Belarus,9.3,8.3,8.3,7.6,7.1,6.4
13,22,Belgium,8.3,7.5,8.0,8.5,7.9,8.3
14,103,Belize,26.9,,,,21.7,21.8
15,167,Benin,34.3,35.3,35.3,34.2,37.1,37.1
16,132,Bhutan,,,19.8,20.2,28.9,28.4
17,118,Bolivia (Plurinational State of),36.7,33.3,33.4,29.4,28.4,28.8
18,81,Bosnia and Herzegovina,19.9,11.4,11.3,10.4,13.1,13.1
19,108,Botswana,,,,36.5,36.5,36.2
20,79,Brazil,26.6,26.9,26.5,26.3,25.6,25.0
21,56,Bulgaria,11.2,11.2,9.8,10.8,10.4,10.5
22,185,Burkina Faso,35.7,34.8,33.8,34.6,34.6,33.3
23,184,Burundi,36.3,,,32.6,31.5,30.6
24,122,Cabo Verde,,,,19.4,19.4,19.9
25,143,Cambodia,28.6,27.1,25.8,24.6,24.6,22.4
26,153,Cameroon,33.2,32.7,32.7,32.4,32.4,32.4
27,10,Canada,8.4,8.4,8.4,7.5,8.6,8.7
28,188,Central African Republic,41.3,40.0,40.0,39.9,43.1,43.1
29,186,Chad,37.7,38.8,38.8,36.8,39.6,39.6
30,38,Chile,18.1,18.1,18.1,18.5,18.2,17.1
31,90,China,22.8,22.1,22.1,,,
32,95,Colombia,27.5,30.1,26.6,25.7,24.1,23.7
33,160,Comoros,42.8,,,,45.9,44.8
34,135,Congo,31.3,30.9,30.9,30.6,26.2,24.6
35,176,Congo (Democratic Republic of the),34.7,39.3,39.3,36.8,35.3,31.7
36,66,Costa Rica,19.9,19.7,20.5,19.1,19.0,18.2
37,45,Croatia,14.7,14.6,14.6,11.1,8.9,8.9
