,HDI Rank,Country,1990,1995,2000,2005,2010,2015
2,169,Afghanistan,96.7,95.8,98.7,94.7,94.9,82.3
3,75,Albania,52.9,53.6,48.3,40.4,31.7,26.9
4,83,Algeria,81.3,70.1,55.8,44.1,40.4,43.6
5,150,Angola,96.3,95.9,96.1,97.0,97.3,95.2
6,62,Antigua and Barbuda,47.7,47.3,45.9,44.0,39.4,35.2
7,45,Argentina,50.7,47.5,45.1,42.7,40.6,39.4
8,84,Armenia,47.4,47.5,40.3,32.9,29.8,26.0
9,2,Australia,32.9 k,32.3 k,31.2 k,29.4 k,28.2 k,28.2 k
10,24,Austria,24.8,26.4,24.8,23.6,21.8,21.2
11,78,Azerbaijan,55.5 u,55.3 u,49.1 u,38.5 u,31.9 u,30.3 u
12,58,Bahamas,51.3,49.0,44.9,37.5,32.0,29.6
13,47,Bahrain,50.2,44.9,45.9,37.7,25.2,28.2
14,139,Bangladesh,77.6,70.4,62.7,56.3,50.8,44.9
15,54,Barbados,36.6,34.4,33.0,30.7,29.5,29.1
16,52,Belarus,34.4,32.8,27.2,22.4,20.9,23.0
17,22,Belgium,27.0,27.2,26.8,25.9,25.4,26.1
18,103,Belize,82.9,80.8,73.6,67.5,59.0,50.9
19,167,Benin,90.8,88.1,87.9,84.5,80.9,76.7
20,132,Bhutan,81.5,83.3,73.1,55.2,46.0,39.5
21,118,Bolivia (Plurinational State of),76.0,72.1,67.7,63.2,58.4,53.1
22,81,Bosnia and Herzegovina,34.9,31.7,27.5,22.6,20.4,19.0
23,108,Botswana,85.0,74.3,64.8,57.9,52.2,49.7
24,79,Brazil,58.4,51.7,45.5,41.3,37.4,33.3
25,30,Brunei Darussalam,54.9,51.2,45.5,39.9,35.5,31.9
26,56,Bulgaria,30.5,26.7,23.1,19.8,19.8,21.5
27,185,Burkina Faso,95.5,94.5,92.7,91.3,90.4,87.6
28,184,Burundi,97.2,103.0,101.1,87.4,82.3,85.0
29,122,Cabo Verde,92.5,91.1,84.7,66.9,51.2,45.1
30,143,Cambodia,83.8,92.0,75.2,62.3,53.0,49.2
31,153,Cameroon,92.2,91.7,88.2,84.6,81.4,78.4
32,10,Canada,30.4,30.1,28.1,25.5,23.7,23.5
33,188,Central African Republic,81.7,79.6,78.1,76.9,72.9,68.4
34,186,Chad,96.2,99.1,101.1,101.7,99.8,95.8
35,38,Chile,45.6,43.6,40.4,35.7,31.9,29.3
36,90,China,43.8,41.9,36.7,27.7,23.4,23.5
37,95,Colombia,61.1,56.0,49.5,43.9,39.0,35.4
38,160,Comoros,92.3,89.1,83.0,77.2,73.5,70.7
39,135,Congo,83.0,78.7,76.2,77.2,77.5,79.4
40,176,Congo (Democratic Republic of the),88.8,91.4,92.2,92.4,91.8,90.1
41,66,Costa Rica,58.4,54.8,48.4,41.4,36.2,32.4
42,45,Croatia,28.8,27.2,25.8,23.5,23.1,22.5
43,68,Cuba,34.1,33.1,31.9,28.0,25.2,23.4
44,33,Cyprus,39.5,37.2,33.2,28.8,25.1,23.4 bb
45,28,Czech Republic,32.8,27.4,23.5,20.7,20.3,22.5
46,171,Côte d'Ivoire,85.1,81.7,80.9,83.1,81.8,77.9
47,5,Denmark,25.3,25.8,27.7,28.3,27.5,26.3
48,172,Djibouti,85.2,80.1,74.7,63.6,55.1,51.9
49,99,Dominican Republic,67.4,63.5,58.6,54.4,50.3,47.3
50,89,Ecuador,66.4,61.9,57.6,52.9,48.7,45.1
51,111,Egypt,75.4,71.2,62.0,53.5,50.6,53.8
52,117,El Salvador,71.6,65.3,61.8,56.8,49.1,41.7
53,135,Equatorial Guinea,65.8,78.3,80.5,74.2,70.2,67.9
54,179,Eritrea,91.3,102.0,89.0,75.1,76.5,78.4
55,30,Estonia,33.5,31.3,26.1,22.3,22.5,24.7
56,174,Ethiopia,91.6,92.7,92.2,91.0,85.0,75.2
57,91,Fiji,65.6,60.5,56.9,46.7,43.8,43.9
58,23,Finland,28.7 i,28.5 i,27.1 i,26.0 i,24.9 i,25.9 i
59,21,France,30.0,29.7,28.9,28.4,28.6,29.6
60,109,Gabon,79.3,79.6,76.1,71.1,66.8,64.3
61,173,Gambia,90.2,91.9,89.3,89.9,90.7,89.7
62,70,Georgia,37.3 v,37.3 v,33.4 v,27.4 v,24.6 v,25.2 v
63,4,Germany,23.0,23.5,22.5,21.4,20.5,19.6
