,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014
2,75,Albania,6.4,6.2,6.3,6.3,6.3,6.5,6.4
3,83,Algeria,4.8,4.8,5.0,5.0,5.1,5.1,5.1
4,150,Angola,5.6,6.0,6.8,6.9,7.0,7.2,
5,62,Antigua and Barbuda,2.3,2.3,2.6,2.6,2.6,2.6,2.6
6,84,Armenia,8.3,8.9,8.8,9.1,9.0,9.1,8.9
7,2,Australia,1.4,1.4,1.4,1.4,1.4,1.4,1.4
8,24,Austria,1.4,1.4,1.4,1.4,1.4,1.4,1.4
9,58,Bahamas,,1.6,1.6,1.6,1.6,1.6,1.6
10,47,Bahrain,2.0,1.9,2.2,2.2,2.3,2.3,2.2
11,139,Bangladesh,8.1,8.2,8.4,8.5,8.4,8.0,8.0
12,54,Barbados,2.0,2.2,2.4,2.3,2.4,2.4,2.4
13,52,Belarus,4.9,4.5,4.7,5.3,,,
14,22,Belgium,1.7,1.7,1.7,1.7,1.7,1.7,1.7
15,103,Belize,3.0,2.9,3.1,3.0,,,
16,167,Benin,7.7,7.6,7.9,8.1,7.9,8.0,8.1
17,132,Bhutan,4.7,4.5,4.9,4.9,5.0,5.0,5.1
18,118,Bolivia (Plurinational State of),7.1,7.0,5.5,5.6,5.6,5.8,5.8
19,81,Bosnia and Herzegovina,,4.7,4.8,4.8,,,
20,108,Botswana,2.9,2.7,3.0,3.0,3.0,3.0,2.9
21,79,Brazil,2.3,2.3,2.4,2.4,2.5,2.6,2.6
22,30,Brunei Darussalam,2.9,2.9,3.0,3.0,3.1,3.0,3.0
23,56,Bulgaria,3.5,3.1,3.1,3.1,3.1,3.2,3.2
24,185,Burkina Faso,7.4,7.7,8.3,8.6,8.6,8.6,8.4
25,184,Burundi,7.6,7.3,7.4,7.3,7.1,7.2,7.0
26,122,Cabo Verde,,5.7,5.8,5.8,5.8,5.8,5.7
27,143,Cambodia,7.1,7.2,7.6,7.7,7.6,7.7,7.8
28,153,Cameroon,7.3,7.2,7.7,7.7,7.7,7.9,7.8
29,10,Canada,1.2,1.2,1.2,1.2,1.2,1.3,1.3
30,186,Chad,6.8,7.4,7.6,8.0,,,
31,38,Chile,2.2,2.1,2.3,2.4,2.5,2.6,2.6
32,90,China,2.3,2.5,2.9,3.1,3.1,3.2,3.3
33,95,Colombia,2.6,2.7,2.8,2.8,2.8,2.8,2.7
34,135,Congo,6.0,5.2,6.0,6.1,6.4,6.5,6.3
35,66,Costa Rica,6.6,6.8,3.4,3.4,3.3,3.3,3.2
36,45,Croatia,3.4,3.3,3.2,3.2,3.2,3.2,3.2
37,33,Cyprus,1.8,1.9,2.0,2.0,2.0,2.0,2.0
38,28,Czech Republic,2.4,2.3,2.0,2.1,2.1,2.2,2.3
39,171,Côte d'Ivoire,6.3,6.2,6.8,7.1,7.0,7.0,6.7
40,5,Denmark,1.3,1.3,1.3,1.3,1.3,1.3,1.3
41,99,Dominican Republic,4.2,4.3,4.2,4.0,4.1,4.1,4.1
42,89,Ecuador,5.3,3.0,3.3,3.4,3.4,3.4,3.4
43,111,Egypt,5.6,5.6,6.7,7.0,7.1,7.3,7.5
44,117,El Salvador,6.1,6.3,4.2,4.3,4.2,4.3,4.3
45,30,Estonia,2.7,2.7,2.6,2.7,2.7,2.8,2.8
46,174,Ethiopia,6.0,6.0,6.0,6.2,6.4,6.3,6.3
47,91,Fiji,4.6,4.7,5.0,4.9,4.9,5.0,5.1
48,23,Finland,1.5,1.5,1.5,1.5,1.6,1.6,1.6
49,21,France,1.7,1.8,1.7,1.7,1.7,1.7,1.7
50,109,Gabon,4.4,4.5,4.9,5.0,5.2,5.1,5.2
51,173,Gambia,6.4,6.9,7.0,7.1,7.1,7.2,7.3
52,4,Germany,1.5,1.5,1.5,1.5,1.5,1.6,1.5
53,139,Ghana,8.1,7.9,6.5,6.2,5.9,5.7,5.4
54,29,Greece,2.7,2.7,2.6,2.5,2.5,2.6,2.5
55,79,Grenada,3.1,3.0,3.3,3.3,3.3,3.3,3.4
56,125,Guatemala,5.4,6.0,6.2,6.5,6.6,6.9,7.1
57,183,Guinea,7.1,7.9,9.3,9.7,9.7,9.9,
58,163,Haiti,9.4,9.8,9.7,9.8,9.7,9.8,9.7
59,130,Honduras,5.4,5.0,5.0,4.9,4.8,4.8,4.8
60,43,Hungary,2.2,2.3,2.4,2.4,2.4,2.5,2.4
61,9,Iceland,2.1,1.8,1.8,1.8,1.8,1.8,1.8
62,131,India,4.9,4.8,4.8,4.7,4.6,4.7,4.7
63,113,Indonesia,5.9,5.3,6.2,6.3,6.4,6.8,6.7
64,69,Iran (Islamic Republic of),9.4,9.1,3.9,4.0,4.3,4.7,4.5
65,121,Iraq,,,5.3,5.1,5.1,5.1,5.1
66,8,Ireland,1.5,1.4,1.3,1.3,1.3,1.3,1.2
67,19,Israel,2.0,2.1,2.2,2.2,2.2,2.3,2.2
68,26,Italy,2.0,2.0,2.0,2.0,2.0,2.0,2.0
69,94,Jamaica,4.5,4.4,4.7,4.7,4.8,5.0,5.0
70,17,Japan,1.9,1.9,1.9,1.9,1.9,1.9,1.9
71,86,Jordan,4.3,4.3,4.7,4.7,4.6,4.6,4.5
72,146,Kenya,3.4,3.8,5.4,5.7,5.7,5.8,
73,18,Korea (Republic of),2.0,1.7,1.8,1.9,1.9,1.9,1.9
74,51,Kuwait,2.2,2.4,2.5,2.6,2.6,2.6,2.6
75,138,Lao People's Democratic Republic,7.8,7.7,8.4,8.5,8.6,,
76,44,Latvia,2.6,2.7,2.8,2.9,2.9,2.9,2.9
77,160,Lesotho,4.8,5.2,4.2,4.3,4.4,4.5,4.4
78,37,Lithuania,3.2,3.2,3.4,3.5,3.5,3.5,3.5
79,20,Luxembourg,1.3,1.3,1.3,1.3,1.3,1.3,1.3
80,158,Madagascar,7.5,7.7,7.1,7.3,7.2,7.2,7.1
81,170,Malawi,10.1,9.2,8.6,8.2,8.0,7.6,
82,59,Malaysia,2.7,2.7,2.8,2.8,2.9,2.9,2.9
83,105,Maldives,2.7,2.7,3.0,3.2,3.3,3.5,
84,175,Mali,7.2,7.3,7.6,7.8,7.9,7.8,7.7
85,33,Malta,2.3,2.3,2.5,2.5,2.5,2.6,2.6
86,157,Mauritania,9.1,9.8,10.1,10.1,10.0,10.0,10.1
