,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,75,Albania,,,71.8,58.5,,,,,
3,83,Algeria,,,,,,10.8,,,
4,62,Antigua and Barbuda,,,,2.8,,,,,
5,45,Argentina,0.4,0.6,0.7,1.1,3.0,3.1,0.6,0.6,0.5
6,84,Armenia,,,,46.2,38.6,38.9,37.3,36.3,
7,2,Australia,5.6,4.8,4.9,3.6,3.2,2.9,2.9,2.6,
8,24,Austria,7.9,7.3,5.6,4.9,4.7,4.4,4.2,4.0,4.3
9,78,Azerbaijan,30.9,30.8,41.0,39.3,38.2,37.9,37.7,37.1,36.8
10,58,Bahamas,,4.3,,3.5,,3.7,,,
11,47,Bahrain,,,,,1.1,,,,
12,139,Bangladesh,,,62.1,48.1,47.5,,,,
13,54,Barbados,6.3,4.6,3.7,,2.8,3.3,2.8,2.7,
14,52,Belarus,21.6,,,,10.5,10.4,10.1,9.6,
15,22,Belgium,3.1,2.7,1.8,2.0,1.3,1.2,1.1,1.3,1.1
16,103,Belize,,27.2,,19.5,,,,,
17,167,Benin,,,,,45.1,,,,
18,132,Bhutan,,,,43.6,59.5,60.1,62.2,56.3,
19,118,Bolivia (Plurinational State of),1.2,2.2,36.8,38.6,,,,,
20,108,Botswana,,,19.7,,26.4,,,,
21,79,Brazil,22.8,26.1,18.5,20.5,,15.7,14.6,14.5,
22,30,Brunei Darussalam,,,,,,,,,0.6
23,56,Bulgaria,18.5,23.9,12.3,8.4,6.7,6.6,6.3,6.5,6.9
24,185,Burkina Faso,,,,84.8,,,,,
25,143,Cambodia,,,73.7,,54.1,,,,
26,10,Canada,4.2,4.1,3.3,2.7,2.2,2.2,2.1,2.2,2.1
27,38,Chile,19.3,15.7,14.4,14.8,11.1,10.4,10.4,9.2,
28,90,China,53.4,48.5,46.3,3.9,2.9,2.5,,,
29,95,Colombia,1.4,1.0,1.1,21.8,18.5,18.2,17.5,16.9,16.3
30,135,Congo,,,,35.4,,,,,
31,66,Costa Rica,25.9,21.6,20.4,15.2,15.0,14.1,13.4,12.7,
32,45,Croatia,,,14.5,14.3,12.5,12.8,10.6,9.5,8.7
33,68,Cuba,,25.1,27.1,20.2,18.5,19.7,19.3,18.6,
34,33,Cyprus,13.5,10.7,4.5,3.7,2.8,2.9,2.3,2.5,3.9
35,28,Czech Republic,12.3,6.6,5.2,3.9,3.1,3.0,3.0,3.0,2.7
36,5,Denmark,5.5,4.4,3.5,3.0,2.3,2.2,2.4,2.3,2.3
37,99,Dominican Republic,,14.6,15.9,14.6,12.0,14.7,14.2,14.2,14.5
38,89,Ecuador,7.5,6.2,29.3,31.5,28.2,28.3,27.8,25.3,
39,111,Egypt,39.0,34.0,29.6,30.9,28.2,29.2,27.1,28.0,
40,117,El Salvador,7.4,27.0,21.6,20.0,20.8,21.6,21.0,19.6,
41,30,Estonia,21.0,10.2,7.1,5.2,4.0,4.2,4.4,4.3,3.9
42,174,Ethiopia,,,,79.3,,9.5,8.2,72.7,
43,91,Fiji,2.5,,1.5,1.5,,,,,
44,23,Finland,8.8,7.8,6.0,4.6,4.1,4.0,3.8,3.8,3.9
45,21,France,5.6,4.9,4.0,3.6,2.9,2.8,2.8,3.0,2.8
46,109,Gabon,,,,24.2,,,,,
47,173,Gambia,,,,,,,,,31.5
48,70,Georgia,,,52.1,54.3,,,,,
49,4,Germany,,3.2,2.5,2.3,1.5,1.5,1.4,1.3,1.3
50,139,Ghana,,,,,41.5,,,44.7,
51,29,Greece,23.9,20.4,16.4,11.5,11.7,11.7,12.5,13.3,13.0
52,125,Guatemala,12.9,,39.8,,,37.6,32.3,32.7,
53,183,Guinea,,,,,74.3,74.8,74.8,,
54,163,Haiti,65.6,,,,,,,,
55,130,Honduras,50.1,37.2,,39.2,37.5,36.6,38.2,35.8,
56,12,"Hong Kong, China (SAR)",0.9,0.6,0.3,0.3,,,,,
57,43,Hungary,18.2,8.0,6.4,4.8,4.5,4.9,5.0,4.7,4.6
58,9,Iceland,10.3,9.6,8.5,6.3,5.4,5.3,5.5,4.2,4.2
59,131,India,,,59.9,55.8,51.1,,47.1,49.7,
60,113,Indonesia,55.9,44.0,45.3,44.0,38.3,36.2,35.3,34.8,34.3
61,69,Iran (Islamic Republic of),,,,24.7,19.2,,,,17.9
62,8,Ireland,14.9,11.7,7.8,6.0,4.8,5.0,5.1,6.0,6.1
63,19,Israel,4.1,2.9,2.2,2.0,1.6,1.4,1.2,1.2,1.1
64,26,Italy,8.8,6.6,5.0,4.0,3.6,3.5,3.5,3.4,3.5
65,94,Jamaica,,23.2,20.8,18.1,20.2,17.6,18.1,18.2,
66,17,Japan,7.2,5.7,5.1,4.4,4.0,4.0,3.8,3.7,
67,86,Jordan,,,4.9,3.4,2.0,1.7,2.0,2.0,1.8
68,56,Kazakhstan,,,,32.4,28.3,26.5,25.5,24.2,
69,146,Kenya,,,,61.1,,,,,
70,137,Kiribati,,,2.8,7.1,22.1,,,,
71,18,Korea (Republic of),17.9,12.4,10.6,7.9,6.6,6.4,6.2,6.1,
72,51,Kuwait,,2.1,,2.7,,,,,1.2
73,120,Kyrgyzstan,32.7,47.2,53.1,38.5,,,30.1,31.7,
74,138,Lao People's Democratic Republic,,85.4,,,71.3,,,,
75,44,Latvia,,,14.2,11.6,8.3,8.7,8.1,7.8,7.3
76,177,Liberia,,,,,46.5,,,,
77,37,Lithuania,,,18.1,14.2,8.7,8.3,8.8,8.4,9.0
78,20,Luxembourg,3.3,3.8,2.3,1.8,1.0,1.1,1.2,1.4,1.3
79,158,Madagascar,,,,82.0,,,75.3,,
80,170,Malawi,,,,,,,,64.1,
81,59,Malaysia,26.0,20.0,18.4,14.6,13.3,11.5,12.6,12.7,12.2
82,105,Maldives,25.2,22.2,13.7,,14.6,,,,
83,33,Malta,,,2.0,2.0,1.3,1.1,1.0,1.2,1.2
84,0,Marshall Islands,,,,,11.0,,,,
85,64,Mauritius,16.7,13.4,12.1,10.0,,7.6,7.5,8.0,8.0
86,77,Mexico,22.6,23.4,18.0,14.9,13.1,13.4,13.4,13.4,
87,107,Moldova (Republic of),33.8,,50.9,40.6,27.5,27.5,26.5,28.8,
88,92,Mongolia,,46.1,48.6,39.9,33.5,33.0,35.0,,
89,48,Montenegro,,,,8.6,6.2,5.6,5.7,4.5,5.7
90,123,Morocco,3.9,6.3,5.1,45.4,40.2,39.8,39.2,,
91,145,Myanmar,69.7,,,,,,,,
92,125,Namibia,,,31.1,,31.2,29.8,27.4,31.4,
93,144,Nepal,,,,,,,,66.5,
94,7,Netherlands,4.5,3.7,3.0,3.0,2.6,2.4,2.4,1.8,2.0
95,13,New Zealand,10.6,9.7,8.7,7.1,6.8,6.9,6.8,6.4,
96,124,Nicaragua,39.3,40.5,43.5,28.9,32.2,,,,
97,187,Niger,,,,56.9,,,,,
98,1,Norway,6.4,5.4,4.1,3.2,2.4,2.2,2.1,2.1,2.1
99,52,Oman,,,6.4,,5.2,,,,
100,147,Pakistan,51.1,46.8,48.4,43.0,45.0,45.1,,43.7,43.5
101,60,Palau,,9.3,7.1,,,,,,
102,114,"Palestine, State of",,,13.7,14.6,11.8,11.9,11.5,10.5,
103,60,Panama,,20.8,17.0,15.7,17.4,17.0,16.7,,
104,154,Papua New Guinea,,,72.3,,,,,,
105,110,Paraguay,2.1,40.1,31.9,32.4,26.8,26.4,27.2,23.4,22.8
106,87,Peru,1.2,1.1,6.8,10.8,,,,,
107,116,Philippines,45.2,44.1,37.1,36.0,33.2,33.0,32.2,31.0,30.4
108,36,Poland,25.2,22.6,17.4,16.5,12.6,12.4,12.2,11.7,11.2
109,41,Portugal,17.9,11.5,8.9,8.0,7.1,6.5,6.8,6.6,5.5
110,33,Qatar,,,,,,1.4,1.4,1.4,
111,50,Romania,29.1,40.3,39.0,28.8,27.7,26.0,26.6,26.2,25.4
112,49,Russian Federation,13.9,15.7,14.5,10.2,7.9,7.7,7.3,7.0,6.7
113,159,Rwanda,,,,78.8,,,75.3,,
114,92,Saint Lucia,,24.2,20.8,13.1,,,,,
115,104,Samoa,,,,,,37.0,5.4,,
116,0,San Marino,2.5,1.5,,0.5,0.3,,,,
117,142,Sao Tome and Principe,,,27.9,,,,26.1,,
118,38,Saudi Arabia,,,6.1,,,4.3,4.7,4.9,
119,162,Senegal,,,,,,46.1,,,
120,66,Serbia,,,,23.3,22.2,21.2,21.0,21.3,
121,63,Seychelles,,,,,,3.6,,,
122,5,Singapore,0.4,0.2,,1.1,,,,,
123,40,Slovakia,,9.2,6.9,4.7,3.2,3.1,3.2,3.3,3.5
124,25,Slovenia,,10.4,7.8,7.3,7.0,6.9,7.0,7.2,7.7
125,119,South Africa,,,15.0,5.8,4.9,4.6,4.9,5.1,4.6
126,27,Spain,11.5,9.0,6.6,5.2,4.1,4.1,4.2,4.2,4.2
127,73,Sri Lanka,47.8,37.3,,30.7,32.7,33.0,31.0,31.5,30.4
128,165,Sudan,,,,,,44.6,,,
129,97,Suriname,3.7,6.9,,,,,,3.2,
130,14,Sweden,3.4,3.5,2.4,2.0,1.8,1.8,1.8,1.8,1.7
131,2,Switzerland,4.2,4.4,4.1,3.5,3.0,3.1,3.1,3.2,3.2
132,149,Syrian Arab Republic,,28.4,32.9,,15.2,13.2,,,
133,151,Tanzania (United Republic of),,,,,,,,,66.9
134,87,Thailand,63.3,51.6,48.5,42.6,38.2,41.0,39.6,41.9,
135,82,The former Yugoslav Republic of Macedonia,,,,19.5,,18.1,16.6,18.1,18.0
136,133,Timor-Leste,,,,,50.6,,,,
137,65,Trinidad and Tobago,12.3,10.6,7.2,4.3,,,,,
138,97,Tunisia,,,,,17.6,16.2,15.9,15.5,14.8
139,71,Turkey,46.9,43.4,36.0,29.5,22.4,22.8,22.2,21.6,19.7
140,163,Uganda,,,,71.6,,,,71.9,
141,84,Ukraine,19.8,22.5,23.4,19.4,,20.2,19.7,20.0,14.8
142,42,United Arab Emirates,,8.0,7.9,4.9,,,,,
143,16,United Kingdom,2.1,2.0,1.4,1.3,1.1,1.1,1.0,0.9,1.1
144,10,United States,2.9,2.9,2.6,1.6,1.6,,,,
145,54,Uruguay,,4.8,4.1,4.6,11.6,10.7,,9.3,
146,105,Uzbekistan,,41.2,,,,,,,
147,71,Venezuela (Bolivarian Republic of),13.4,13.5,10.6,9.7,8.7,7.9,7.7,7.4,
148,115,Viet Nam,,,65.3,,,,47.4,46.8,
149,168,Yemen,,,,,24.7,,,,
150,139,Zambia,49.8,,71.6,72.2,,,52.2,,
151,154,Zimbabwe,,,,,,65.8,,,
152,,,,,,,,,,,
