,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,75,Albania,,,21.5,27.8,,,,,
3,83,Algeria,,,,,,58.4,,,
4,62,Antigua and Barbuda,,,,81.6,,,,,
5,45,Argentina,67.6,72.0,76.2,75.1,72.5,70.8,75.2,74.8,74.7
6,84,Armenia,,,,37.8,44.0,44.4,45.0,46.7,
7,2,Australia,69.3,66.1,66.9,68.1,68.4,75.4,75.4,69.5,
8,24,Austria,54.9,60.6,64.2,67.3,70.1,69.3,69.5,69.8,69.7
9,78,Azerbaijan,31.1,35.8,48.1,48.6,48.1,48.0,48.1,48.5,48.9
10,58,Bahamas,,81.2,,78.4,,83.0,,,
11,47,Bahrain,,,,,62.4,,,,
12,139,Bangladesh,,,23.5,37.4,35.3,,,,
13,54,Barbados,62.0,65.1,64.4,,77.5,76.5,78.0,78.4,
14,52,Belarus,36.1,,,,55.3,55.5,56.6,57.2,
15,22,Belgium,65.6,69.1,72.2,73.2,75.2,75.5,77.1,76.9,77.4
16,103,Belize,,55.0,,62.5,,,,,
17,167,Benin,,,,,44.0,,,,
18,132,Bhutan,,,,39.2,33.8,30.6,29.1,32.7,
19,118,Bolivia (Plurinational State of),73.2,69.0,43.7,42.0,,,,,
20,108,Botswana,,,58.2,,56.1,,,,
21,79,Brazil,54.5,54.3,59.1,57.9,75.3,62.4,62.7,62.9,76.6
22,30,Brunei Darussalam,,,,,,,,,80.8
23,56,Bulgaria,37.3,42.6,54.1,57.0,59.9,61.7,62.2,63.1,62.8
24,185,Burkina Faso,,,,12.2,,,,,
25,143,Cambodia,,,17.9,,29.6,,,,
26,10,Canada,70.8,73.3,73.6,75.2,78.1,78.0,77.8,78.0,78.2
27,38,Chile,55.5,58.2,62.2,43.5,65.3,66.6,65.7,67.1,
28,90,China,9.9,12.2,12.7,49.5,48.8,47.0,,,
29,95,Colombia,67.7,67.4,73.3,58.9,61.7,61.3,62.0,63.7,64.1
30,135,Congo,,,,42.2,,,,,
31,66,Costa Rica,47.5,53.5,56.7,62.9,64.7,65.8,66.9,68.2,
32,45,Croatia,,,56.5,56.0,59.3,58.4,60.7,62.2,63.9
33,68,Cuba,,52.0,53.8,60.6,64.5,63.2,61.6,64.2,
34,33,Cyprus,56.3,63.0,71.2,72.0,76.5,76.0,77.5,79.8,79.6
35,28,Czech Republic,42.2,51.5,54.6,56.3,58.7,58.3,58.6,59.2,58.9
36,5,Denmark,66.6,68.4,70.9,72.9,77.9,77.6,77.6,77.8,78.0
37,99,Dominican Republic,,61.3,59.8,58.8,52.4,42.5,42.5,42.8,41.9
38,89,Ecuador,67.3,71.9,50.8,51.3,53.1,54.1,54.4,54.3,
39,111,Egypt,40.1,44.1,49.1,47.5,46.3,47.1,48.1,47.9,
