,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,46.0,45.5,46.4,46.1,47.2,47.5,47.7,47.7,47.5
3,75,Albania,49.7,53.5,50.5,46.2,45.6,45.1,43.2,41.6,41.6
4,83,Algeria,32.1,30.6,36.0,38.1,38.2,37.9,39.3,38.9,39.1
5,150,Angola,65.1,64.5,63.9,62.9,63.0,63.1,63.1,63.2,63.2
6,45,Argentina,47.2,49.2,55.6,56.0,55.8,55.9,56.6,56.5,56.9
7,84,Armenia,48.2,46.7,47.7,49.9,51.4,51.9,52.7,52.8,53.0
8,2,Australia,58.4,59.5,61.3,62.1,62.3,61.9,61.3,60.8,60.7
9,24,Austria,56.4,55.6,55.7,57.6,57.9,58.0,57.8,56.9,56.8
10,78,Azerbaijan,60.0,56.3,58.7,60.9,60.7,60.9,61.4,61.5,61.9
11,58,Bahamas,66.3,65.4,65.2,63.3,64.0,63.8,62.2,63.0,63.5
12,47,Bahrain,64.5,64.8,65.9,70.3,69.6,69.1,68.6,68.3,68.3
13,139,Bangladesh,70.6,68.1,63.6,59.5,59.4,59.3,59.3,59.3,59.4
14,54,Barbados,56.4,63.0,63.2,60.7,60.4,59.2,59.2,58.4,58.2
15,52,Belarus,58.4,55.2,56.0,56.9,56.9,57.1,57.2,57.2,57.0
16,22,Belgium,45.7,48.7,48.9,49.6,49.4,49.2,49.1,49.0,48.9
17,103,Belize,51.5,54.5,56.8,58.3,58.7,58.8,61.1,61.6,61.6
18,167,Benin,72.1,71.6,71.3,70.7,70.8,70.8,70.9,70.9,70.9
19,132,Bhutan,62.3,65.7,69.8,67.4,66.2,64.4,64.3,64.3,64.7
20,118,Bolivia (Plurinational State of),65.3,66.8,67.2,70.5,70.2,70.8,70.7,70.7,70.5
21,81,Bosnia and Herzegovina,33.0,34.0,33.3,34.2,33.7,33.8,33.7,31.8,32.2
22,108,Botswana,58.1,63.1,60.5,63.1,63.2,63.4,63.7,63.4,63.0
