,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,1349,2051,2774,2922,3134,3229 ee,3191,3148
3,75,Albania,6777,9094,11731,12193,12373,12691 ee,12834,13186
4,83,Algeria,17239,20588,21985,21996,22225,22179 ee,22476,22926
5,150,Angola,4135,4756,7079,7112,7231,7458 ee,7550,7527
6,45,Argentina,20329,20239,25431,28672,27982,28547 ee,28972,29363
7,84,Armenia,4038,7276,8542,8881,9758,10303 ee,10865,11260
8,2,Australia,45151,49034,47883,48125,49539,50135 ee,50577,51386
9,24,Austria,53118,56435,58364,59355,59112,58828 ee,57874,57882
10,78,Azerbaijan,5521,9805,19989,19753,20411,21987 ee,21769,21841
11,58,Bahamas,30403,30015,25976,25732,25847,25362 ee,25264,25209
12,47,Bahrain,60862,54222,44067,41059,41998,43739 ee,43459,44306
13,139,Bangladesh,2268,2721,3425,3588,3789,3949 ee,4076,4285
14,54,Barbados,17601,18062,18325,18324,18296,18302 ee,18278,18377
15,52,Belarus,8790,13263,19073,20375,20383,20518 ee,20732,19437
16,22,Belgium,49334,50113,51932,51175,51484,50255 ee,50356,50352
17,103,Belize,9363,9870,9640,9415,9432,9353 ee,9417,9401
18,167,Benin,2022,2031,2032,2032,2065,2145 ee,2224,2287
19,132,Bhutan,4691,5517,7175,7565,7695,7870 ee,8147,8308
20,118,Bolivia (Plurinational State of),5453,5763,6465,6622,6744,7060 ee,7431,7609
21,81,Bosnia and Herzegovina,9664,11152,12421,12441,12354,12748 ee,12830,13261
22,108,Botswana,10283,12658,13931,14736,15263,15979 ee,16242,16047
23,79,Brazil,14555,15150,18003,18470,18365,18384 ee,18626,17738
24,30,Brunei Darussalam,107401,106402,96879,97002,96600,94472 ee,90888,89256
25,56,Bulgaria,10944,15177,17862,18019,18572,18712 ee,19408,19740
26,185,Burkina Faso,1280,1510,1711,1669,1709,1766 ee,1756,1800
27,184,Burundi,448,421,762,768,777,790 ee,800,752
28,122,Cabo Verde,5285,6353,7740,7991,7959,7926 ee,8028,8123
29,143,Cambodia,1352,2001,2744,2893,3038,3193 ee,3367,3563
30,153,Cameroon,2855,3011,3050,3091,3134,3207 ee,3348,3448
31,10,Canada,46411,48945,48778,49863,50183,50863 ee,51687,52032
32,188,Central African Republic,1140,1025,1080,1072,1085,677 ee,673,696
