,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,0.6,4.9,7.2,7.6,7.9,8.1,8.3,8.3 vvv
3,75,Albania,11.3,10.1,10.6,11.4,13.6,14.4,14.4,14.4,14.4,14.4 qqq
4,83,Algeria,,,11.0,12.4,14.2,14.6,14.6,14.6,14.6,14.6 qqq
5,150,Angola,,3.5,4.5,6.4,8.2,7.9,8.7,8.7,8.7,8.7 qqq
6,62,Antigua and Barbuda,,,,15.2,14.2,13.7,14.6,14.6,14.6,14.6 qqq
7,45,Argentina,,14.0,16.3,16.9,18.1,18.4,18.4,18.4,18.4,18.4 qqq
8,84,Armenia,,10.6,11.5,12.9,13.8,13.8,13.8,13.8,13.8,13.8 qqq
9,2,Australia,17.3,18.8,21.0,20.6,20.3,20.7,20.9,20.9,20.9,20.9 qqq
10,24,Austria,13.5,14.5,15.5,15.2,15.9,15.9,16.0,16.2,16.2,16.2 qqq
11,78,Azerbaijan,10.4,10.3,10.4,11.2,11.5,11.6,11.8,12.1,12.6,12.6 qqq
12,58,Bahamas,12.5,12.1,12.4,,,,,,,
13,47,Bahrain,13.7,14.1,13.9,14.4,14.9,15.0,15.1,15.1,15.1,15.1 qqq
14,139,Bangladesh,4.7,6.0,7.3,8.5,9.6,10.1,10.2,10.3,10.4,10.4 qqq
15,54,Barbados,12.7,13.8,14.9,15.9,16.8,16.7,16.7,16.7,16.7,16.7 qqq
16,52,Belarus,,12.5,13.5,15.0,16.1,16.2,16.3,16.2,16.1,16.1 qqq
17,22,Belgium,14.1,17.5,18.9,16.0,16.4,16.5,16.7,16.7,16.7,16.7 qqq
18,103,Belize,,,11.9,12.4,12.7,12.8,13.2,13.0,13.0,13.0 qqq
19,167,Benin,,4.3,4.9,7.0,9.0,9.4,10.0,10.5,10.5,10.5 qqq
20,132,Bhutan,,5.8,7.0,9.3,11.9,12.4,12.7,12.6,12.6,12.6 qqq
21,118,Bolivia (Plurinational State of),,,,14.0,13.5,13.5,13.5,13.5,13.5,13.5 qqq
22,81,Bosnia and Herzegovina,,,,13.1,13.8,14.3,14.6,14.8,14.8,14.8 qqq
23,108,Botswana,10.3,10.8,11.9,11.9,12.5,12.7,12.8,12.8,12.8,12.8 qqq
24,79,Brazil,,,14.5,14.1,14.4,14.6,14.7,15.7,15.7,15.7 qqq
25,30,Brunei Darussalam,12.3,13.0,13.5,14.5,14.4,14.6,15.3,15.4,15.4,15.4 qqq
26,56,Bulgaria,12.1,12.5,13.2,13.5,14.5,14.6,14.6,15.0,15.3,15.3 qqq
27,185,Burkina Faso,1.9,2.3,2.9,4.0,6.2,6.6,7.0,7.3,7.3,7.3 qqq
28,184,Burundi,3.9,4.2,4.6,5.3,9.4,9.8,10.0,10.2,10.2,10.2 qqq
29,122,Cabo Verde,,,10.7,11.4,13.1,13.5,13.6,14.0,13.9,13.9 qqq
30,143,Cambodia,,6.4,6.8,9.4,9.9,10.0,10.0,10.0,10.1,10.1 qqq
31,153,Cameroon,7.3,6.8,6.5,7.4,9.2,9.6,9.6,9.6,9.6,9.6 qqq
32,10,Canada,17.1,17.2,16.2,16.3,16.3,16.3,16.3,16.3,16.8,16.8 qqq
33,188,Central African Republic,3.8,3.5,4.2,4.8,5.5,5.6,5.8,5.8,5.8,5.8 qqq
34,186,Chad,,2.1,3.4,4.1,5.2,5.8,5.8,5.8,5.8,5.8 qqq
35,38,Chile,12.7,12.3,13.5,14.7,15.5,15.7,15.8,16.4,16.6,16.6 qqq
