,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,,,,,15.1,14.6,13.1,12.6,12.2
3,75,Albania,,18.6,29.6,24.6,44.0,48.4,58.4,65.1,60.8
4,83,Algeria,47.0,83.5,48.9,17.3,4.5,3.1,2.7,2.5,2.6
5,150,Angola,128.9,311.9,131.1,50.5,22.9,20.7,20.5,22.3,23.9
6,84,Armenia,,25.3,51.4,38.5,64.9,70.5,73.6,79.1,74.8
7,78,Azerbaijan,,10.6,30.6,18.3,14.2,13.2,15.1,14.8,16.1
8,139,Bangladesh,38.6,40.2,28.3,25.4,20.7,19.6,19.6,20.7,18.8
9,52,Belarus,,12.1,20.5,17.5,52.5,57.5,54.3,56.2,54.3
10,103,Belize,35.1,42.6,67.8,98.9,102.2,90.8,82.3,82.9,
11,167,Benin,56.2,63.6,58.4,35.4,24.6,25.7,27.4,28.7,22.8
12,132,Bhutan,29.7,39.8,48.2,81.3,62.4,62.8,87.7,91.8,105.1
13,118,Bolivia (Plurinational State of),94.5,82.3,71.9,75.3,30.5,26.9,25.8,27.9,27.0
14,81,Bosnia and Herzegovina,,,45.9,56.1,58.0,55.0,62.0,61.3,57.1
15,108,Botswana,15.0,15.3,8.4,5.0,14.7,15.4,16.8,16.3,15.1
16,79,Brazil,26.8,21.2,38.7,22.0,16.2,15.7,18.5,20.5,24.1
17,56,Bulgaria,57.1,82.1,92.2,63.0,107.4,89.5,99.7,99.8,90.1
18,185,Burkina Faso,26.9,53.6,55.1,36.8,23.3,22.0,23.5,23.3,20.5
19,184,Burundi,81.2,117.6,127.2,117.1,30.8,25.9,27.1,25.2,22.3
20,122,Cabo Verde,43.3,44.2,60.9,50.8,56.1,58.0,74.2,83.8,86.4
21,143,Cambodia,,67.5,74.9,58.7,35.0,35.4,42.7,44.7,42.9
22,153,Cameroon,61.5,134.0,121.5,47.8,13.7,11.8,14.4,16.9,16.4
23,188,Central African Republic,49.2,86.4,96.7,77.1,30.8,24.8,25.3,37.1,36.7
24,186,Chad,29.9,58.4,80.5,29.0,20.9,19.8,19.7,23.6,21.6
25,90,China,15.4,16.4,12.2,12.5,9.3,9.6,8.9,9.2,9.3
26,95,Colombia,45.6,27.7,34.0,25.9,23.1,23.0,21.6,24.4,28.0
27,160,Comoros,74.1,89.8,112.1,74.1,53.0,47.5,44.9,24.5,22.4
28,135,Congo,210.8,487.5,213.8,155.0,26.7,24.6,26.8,31.2,33.3
29,176,Congo (Democratic Republic of the),119.6,271.3,63.1,93.5,31.6,24.5,21.6,22.7,19.1
30,66,Costa Rica,53.6,33.5,31.9,32.8,22.9,25.3,32.5,39.2,43.8
31,171,Côte d'Ivoire,187.3,188.7,125.4,68.0,44.5,50.6,35.0,37.1,33.0
32,172,Djibouti,,52.9,52.7,62.5,,,,,
33,96,Dominica,56.2,49.8,61.8,81.2,52.6,52.9,58.0,58.9,56.3
34,99,Dominican Republic,66.4,29.1,20.3,24.6,26.3,27.0,38.0,42.0,44.0
35,89,Ecuador,86.7,59.2,78.8,43.8,21.8,21.1,19.6,21.8,26.6
36,111,Egypt,78.4,55.5,29.0,33.5,17.0,15.3,15.6,16.8,14.2
37,117,El Salvador,47.5,27.3,35.2,56.1,53.0,53.3,56.8,57.8,59.6
38,179,Eritrea,,6.3,46.6,69.5,49.7,40.8,32.4,27.7,23.8
39,174,Ethiopia,71.4,135.8,67.3,50.3,24.6,27.0,24.2,26.5,30.4
40,91,Fiji,23.9,9.2,10.6,6.4,18.2,24.3,19.7,21.1,21.6
41,109,Gabon,74.6,101.6,91.4,45.8,19.8,17.9,18.7,28.9,28.6
42,173,Gambia,126.6,55.3,65.1,110.9,55.6,54.6,58.0,60.1,63.9
43,70,Georgia,,48.2,57.5,33.2,84.5,81.1,78.9,86.7,85.0
44,139,Ghana,64.6,86.8,129.3,67.6,29.4,29.4,31.6,33.5,47.7
45,79,Grenada,53.7,48.6,41.8,61.0,83.1,79.8,81.0,76.5,75.6
46,125,Guatemala,38.8,23.0,20.7,35.6,37.5,35.4,30.8,32.8,33.1
47,183,Guinea,98.9,90.1,105.5,118.6,78.4,72.6,24.8,24.1,22.9
48,178,Guinea-Bissau,297.7,378.8,264.9,177.6,130.4,25.7,29.2,29.3,26.6
