,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,,,31.0,,,,,,
3,75,Albania,4.0,,6.1,,,,,,
4,83,Algeria,38.0,,,,,,66.9,,
5,150,Angola,,,0.4,0.5,,,,,
6,62,Antigua and Barbuda,3.3,,,9.8,,,8.5,,
7,45,Argentina,,3.3,,,,4.3,,,
8,84,Armenia,,37.6,,,,,37.9,,
9,2,Australia,,,,3.8,,,3.2,3.9,
10,24,Austria,4.9,,,,4.5,,,,
11,78,Azerbaijan,,,,35.2,,,34.5,,
12,47,Bahrain,161.1,,,,,,,,
13,139,Bangladesh,,,,,,,,,
14,54,Barbados,,,,87.5,,,,,
15,52,Belarus,,3.4,3.2,2.9,2.7,,,2.6,
16,22,Belgium,,,,,,,,,
17,103,Belize,,,0.5,,,,,,
18,132,Bhutan,,,,,,,,,
19,118,Bolivia (Plurinational State of),,,,,,,,,
20,81,Bosnia and Herzegovina,,,,0.9,,,0.9,0.9,
21,108,Botswana,,1.2,1.6,,,,,,
22,79,Brazil,,,,,0.9,,,,
23,56,Bulgaria,35.2,,,,,,26.8,25.7,
24,185,Burkina Faso,,,,6.1,,,,,
25,184,Burundi,,,2.3,,,,,,
26,143,Cambodia,,,,,,,,,
27,153,Cameroon,,,0.3,,,,,,
28,10,Canada,,,,,,,,,
29,188,Central African Republic,,,0.0,0.1,,,,,
30,186,Chad,,,,1.9,,,,,
31,38,Chile,,,,,,,,,
32,90,China,17.6,,,19.5,,,,,
33,95,Colombia,,,0.3,,,,,,
34,176,Congo (Democratic Republic of the),,,0.0,0.1,,,,,
35,66,Costa Rica,,,,,,,,2.1,
36,45,Croatia,,,,,,,0.6,0.6,
37,68,Cuba,,13.7,,,,,,18.3,
38,33,Cyprus,28.6,,,,,,26.8,26.5,
39,28,Czech Republic,,,,,,,14.0,12.6,
40,171,Côte d'Ivoire,1.3,,1.7,1.8,,,,,
41,5,Denmark,20.8,,,,,,10.6,,
42,172,Djibouti,,,6.3,,,,,,
43,96,Dominica,,,8.3,,10.0,,,,
44,99,Dominican Republic,,,20.6,23.2,30.4,,,,
45,89,Ecuador,,,2.1,2.2,,,,,
46,111,Egypt,,100.6,97.8,,126.6,,,,
47,117,El Salvador,,,5.2,8.1,,,,,
48,135,Equatorial Guinea,,,0.1,,,,,,
49,179,Eritrea,,,5.7,,,,,,
50,30,Estonia,,10.6,,,,,12.7,,13.4
51,91,Fiji,,,0.3,0.3,,,,,
52,23,Finland,2.1,2.4,,,,,,,
53,21,France,,,,,,,14.1,,
54,109,Gabon,,,0.1,0.1,,,,,
55,173,Gambia,,,1.1,,,,,,
56,70,Georgia,,,,2.9,,,,,
