,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,,,,,4.5,4.1,3.1,4.5,4.8
3,75,Albania,,3.8,3.3,3.2,,,,3.5,
4,32,Andorra,,,,1.6,3.1,3.2,,2.5,3.1
5,150,Angola,,,2.6,2.1,3.4,,,,
6,45,Argentina,1.1,,4.6,3.5,4.6,5.0,5.1,5.3,
7,84,Armenia,,,2.8,2.7,3.2,3.1,3.1,2.6,2.2
8,2,Australia,4.7,5.1,4.9,4.9,5.6,5.1,4.9,5.3,
9,24,Austria,5.0,5.4,5.6,5.3,5.7,5.6,5.5,5.6,
10,78,Azerbaijan,,3.3,3.9,3.0,2.8,2.4,2.1,2.5,
11,58,Bahamas,,,2.9,,,,,,
12,47,Bahrain,,,,,,,2.6,,
13,139,Bangladesh,1.5,,2.1,,,,2.0,2.0,
14,54,Barbados,,,4.6,5.6,5.9,,5.6,5.5,6.7
15,52,Belarus,,,6.2,5.9,5.4,4.8,5.1,5.2,5.0
16,22,Belgium,,3.0,,5.8,6.4,6.4,,,
17,103,Belize,,,5.0,,6.6,,,6.2,
18,167,Benin,,,2.9,3.6,5.0,,4.9,4.6,4.4
19,132,Bhutan,,,5.5,7.1,4.0,4.7,,5.6,5.9
20,118,Bolivia (Plurinational State of),,5.6,5.5,,7.6,6.9,6.4,6.3,7.3
21,108,Botswana,5.7,,,10.7,,,,,
22,79,Brazil,,4.5,3.9,4.5,5.6,5.7,5.9,,
23,30,Brunei Darussalam,4.0,,3.7,,2.0,3.7,3.2,,3.8
24,56,Bulgaria,4.5,3.4,,4.1,3.9,3.6,3.5,,
25,185,Burkina Faso,,,,4.4,3.9,4.5,4.1,4.5,4.5
26,184,Burundi,3.4,5.0,2.6,3.6,6.8,6.0,5.8,5.4,
27,122,Cabo Verde,,,,,5.6,5.0,,5.0,
28,143,Cambodia,,,1.7,,2.6,,1.6,2.0,
29,153,Cameroon,3.3,,1.9,3.1,3.3,3.1,3.0,3.0,
30,10,Canada,6.0,6.3,5.5,4.8,5.4,5.3,,,
31,188,Central African Republic,2.2,,1.6,1.6,1.2,1.2,,,
32,186,Chad,,,2.6,1.7,2.0,2.3,,2.9,
33,38,Chile,2.4,2.6,3.7,3.2,4.2,4.1,4.6,4.6,
34,90,China,,1.8,,,,,,,
35,95,Colombia,,,3.5,4.0,4.8,4.5,4.4,4.9,4.7
36,160,Comoros,,,,,,5.1,5.1,,
37,135,Congo,,4.9,,1.8,6.2,,,,
38,176,Congo (Democratic Republic of the),,,,,1.6,,,2.2,
39,66,Costa Rica,,3.3,4.4,,6.8,6.6,6.9,6.9,7.0
40,45,Croatia,,,,,4.3,4.2,,,
41,68,Cuba,,,7.7,10.6,12.8,,,,
42,33,Cyprus,3.3,3.7,5.0,6.3,6.7,6.6,,,
43,28,Czech Republic,,4.6,3.7,3.9,4.1,4.3,4.3,,
44,171,Côte d'Ivoire,,4.3,3.7,4.1,,,,,4.7
45,5,Denmark,,7.5,8.1,8.1,8.6,8.5,,,
46,172,Djibouti,,,9.7,8.4,4.5,,,,
47,99,Dominican Republic,,1.0,1.9,,,,,,
48,89,Ecuador,,2.0,1.2,,4.1,4.3,4.2,,
49,111,Egypt,,4.6,,4.8,,,,,
50,117,El Salvador,,,2.5,2.7,3.5,3.4,,,
51,30,Estonia,,6.1,5.3,4.8,5.5,5.0,4.7,,
52,174,Ethiopia,,,4.0,,4.5,5.5,5.6,4.5,
53,91,Fiji,,,5.9,5.1,,4.2,,3.9,
54,23,Finland,5.3,6.8,5.7,6.0,6.5,6.5,7.2,7.2,
55,21,France,4.5,5.8,5.5,5.5,5.7,5.5,5.5,,
56,109,Gabon,,,3.8,,,,,,
57,173,Gambia,2.8,2.6,1.5,1.1,4.2,3.9,4.1,2.8,
58,70,Georgia,,,2.2,2.5,,2.7,2.0,,
59,4,Germany,,4.4,,,4.9,4.8,4.9,,
60,139,Ghana,,,,7.4,5.5,8.1,7.9,6.0,
61,29,Greece,2.0,,3.2,4.0,,,,,
62,125,Guatemala,,1.6,,,2.8,2.9,3.0,2.8,
63,183,Guinea,,,2.6,1.8,3.7,3.1,2.5,3.5,
64,178,Guinea-Bissau,,,,,1.9,1.8,2.1,2.4,
65,127,Guyana,,3.6,8.5,8.1,3.7,3.6,3.2,,
66,130,Honduras,,3.6,,,,,,5.9,
67,12,"Hong Kong, China (SAR)",2.5,,,4.1,3.5,3.4,3.5,3.8,3.6
68,43,Hungary,,4.9,4.9,5.4,4.8,4.6,,,
69,9,Iceland,4.2,4.7,6.5,7.4,7.2,7.0,,,
70,131,India,,,4.3,3.1,3.3,3.7,3.8,,
71,113,Indonesia,,1.0,,2.9,2.8,3.2,3.4,3.4,3.3
72,69,Iran (Islamic Republic of),4.0,4.4,4.0,4.2,3.9,3.7,3.2,3.2,3.0
73,8,Ireland,4.6,4.9,4.1,4.5,6.1,5.8,5.8,,
74,19,Israel,6.1,,6.1,5.7,5.5,5.6,,5.9,
75,26,Italy,,4.3,4.3,4.2,4.3,4.1,,,
76,94,Jamaica,4.8,3.7,5.0,4.6,6.4,6.3,6.1,6.3,6.0
77,17,Japan,,3.5,3.6,3.5,3.8,3.8,3.9,3.8,3.8
78,56,Kazakhstan,,4.0,3.3,2.3,,,,,
79,146,Kenya,,,5.2,7.3,5.5,,,,
80,137,Kiribati,,,11.1,,,,,,
81,18,Korea (Republic of),3.0,3.0,,3.9,,,4.6,,
82,51,Kuwait,,,,4.7,,,,,
83,120,Kyrgyzstan,,6.2,3.5,4.9,5.8,6.8,7.4,6.8,
84,138,Lao People's Democratic Republic,,,1.5,2.4,2.8,,,,4.2
85,44,Latvia,,,5.3,,5.1,5.0,4.6,4.9,
86,76,Lebanon,,2.2,,2.7,1.6,1.6,2.2,2.6,
87,160,Lesotho,,10.1,11.5,14.8,,,,,
88,177,Liberia,,,,,,,2.8,,
89,15,Liechtenstein,,,,,,2.6,,,
90,37,Lithuania,,4.8,,4.9,5.3,5.1,4.8,,
91,20,Luxembourg,,3.5,,,,,,,
92,158,Madagascar,,,2.9,3.8,,2.8,2.7,2.1,
93,170,Malawi,3.3,4.0,5.2,,4.4,5.4,,7.7,6.9
94,59,Malaysia,,4.3,6.0,,5.0,5.8,,6.1,
95,105,Maldives,,,,5.2,,6.0,5.2,,
96,175,Mali,,,3.3,4.0,3.9,4.6,4.2,4.0,4.3
97,33,Malta,3.8,,,,6.9,8.0,6.8,,
98,157,Mauritania,,,,,3.6,3.1,3.0,3.3,
99,64,Mauritius,3.2,,3.8,4.2,3.7,3.4,3.5,3.7,5.0
100,77,Mexico,2.3,3.9,4.1,4.9,5.2,5.2,,,
101,127,Micronesia (Federated States of),,,6.7,,,,,,
102,107,Moldova (Republic of),,,4.5,7.2,9.1,8.6,8.3,,7.5
103,0,Monaco,,1.1,1.3,,1.3,1.6,1.8,1.3,1.0
104,92,Mongolia,,,5.5,,4.6,4.6,,,
105,123,Morocco,4.7,5.0,,,,,,,
106,181,Mozambique,,,,4.4,,,6.1,6.5,
107,145,Myanmar,,1.2,,,,,,,
108,125,Namibia,,,7.0,,8.3,,,,
109,144,Nepal,,,3.0,3.4,4.7,,,4.1,4.7
