,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,11,23,,20,53,55,57,57,56,
3,75,Albania,90,69,71,77,88,91,93,96,96,
4,83,Algeria,59,58,65,79,97,100,,,,
5,150,Angola,10,,14,,29,29,,,,
6,62,Antigua and Barbuda,,,78,,106,106,105,,102,
7,45,Argentina,71,,97,94,102,104,105,106,,
8,84,Armenia,,,91,91,,,,,,
9,2,Australia,,143,163,148,132,134,137,138,,
10,24,Austria,101,107,99,101,99,98,98,99,99,
11,78,Azerbaijan,89,83,,,99,100,100,102,103,
12,58,Bahamas,86,87,,89,93,,,,,
13,47,Bahrain,87,106,100,100,,,,,,
14,139,Bangladesh,20,,48,46,50,51,54,58,,
15,54,Barbados,85,,104,109,102,104,,,109,
16,52,Belarus,97,93,,,107,106,107,106,107,
17,22,Belgium,103,146,145,108,106,106,106,163,165,
18,103,Belize,,67,68,77,75,76,78,80,80,
19,167,Benin,,,22,35,,48,,54,54,
20,132,Bhutan,,,30,46,66,70,74,77,84,
21,118,Bolivia (Plurinational State of),,,78,,83,82,83,85,,
22,81,Bosnia and Herzegovina,,,,,,88,89,90,89,
23,108,Botswana,40,57,75,79,,,83,84,,
24,79,Brazil,,,,101,,95,96,102,,
25,30,Brunei Darussalam,,,86,98,99,101,106,104,99,
26,56,Bulgaria,99,92,93,90,90,93,93,99,101,
27,185,Burkina Faso,7,,10,14,22,24,26,28,30,
28,184,Burundi,5,,,13,23,26,28,32,38,
29,122,Cabo Verde,21,,67,69,86,90,91,94,93,
30,143,Cambodia,,,17,,,,,,,
31,153,Cameroon,25,26,27,27,,47,50,52,56,
32,10,Canada,99,105,102,101,102,103,110,110,,
33,188,Central African Republic,11,,,,,18,17,,,
34,186,Chad,7,8,11,16,23,23,22,,,
35,38,Chile,77,,87,98,95,94,91,100,100,
36,90,China,37,51,61,,85,89,92,96,94,
37,95,Colombia,,61,70,83,102,104,100,100,99,
38,160,Comoros,,,,,,,,59,,
39,135,Congo,48,,,,,,55,,,
40,176,Congo (Democratic Republic of the),,28,,,39,41,41,41,44,
41,66,Costa Rica,44,50,64,84,102,105,108,115,120,
42,45,Croatia,,82,86,93,101,100,100,,99,
43,68,Cuba,89,76,83,93,92,92,92,93,100,
44,33,Cyprus,64,95,93,97,91,93,95,98,99,
45,28,Czech Republic,91,94,88,96,95,96,97,104,105,
46,171,Côte d'Ivoire,,,,,,,,,40,
47,5,Denmark,110,118,127,124,120,123,124,130,130,
48,172,Djibouti,10,11,14,22,,39,43,45,46,47
49,96,Dominica,70,,106,107,97,97,,,,
50,99,Dominican Republic,,44,59,70,76,76,76,78,78,
51,89,Ecuador,58,,58,62,84,83,85,102,104,
52,111,Egypt,75,72,81,,72,82,84,86,86,
53,117,El Salvador,,,58,69,72,75,77,78,81,
54,135,Equatorial Guinea,,,31,27,,,,,,
55,179,Eritrea,,15,23,28,34,35,37,36,,
56,30,Estonia,105,102,94,103,105,107,108,109,,
57,174,Ethiopia,,11,14,25,35,36,36,,,
58,91,Fiji,,,78,,,91,89,,,
59,23,Finland,115,116,125,112,107,107,107,143,145,
60,21,France,97,114,109,112,111,111,112,111,111,
61,109,Gabon,,42,,,,,,,,
62,173,Gambia,17,23,,,57,,,,,
63,70,Georgia,,77,79,82,,,,98,99,
64,4,Germany,,105,100,103,104,104,103,102,102,
65,139,Ghana,36,36,41,47,,57,58,61,67,71
66,29,Greece,95,92,90,100,105,103,105,108,,
67,79,Grenada,91,,,98,108,,,101,101,
68,125,Guatemala,,25,36,50,63,64,64,64,64,
69,183,Guinea,11,,,29,,38,38,,39,
70,178,Guinea-Bissau,,,17,31,,,,,,
71,127,Guyana,,,,97,89,92,89,,,
72,130,Honduras,,,,,73,73,73,71,68,
73,12,"Hong Kong, China (SAR)",,,,80,88,87,107,101,101,
74,43,Hungary,87,89,96,96,100,101,102,108,107,
75,9,Iceland,98,103,107,109,109,109,111,,,
76,131,India,,46,45,54,63,66,69,69,,
77,113,Indonesia,47,48,55,60,77,79,80,82,82,
78,69,Iran (Islamic Republic of),53,71,79,76,82,85,88,87,88,
79,121,Iraq,,,37,,,,,,,
80,8,Ireland,94,109,99,110,123,122,126,,,
81,19,Israel,89,90,103,105,102,102,101,102,102,
82,26,Italy,80,89,92,98,102,103,102,102,,
83,94,Jamaica,,,86,91,93,93,,69,69,
84,17,Japan,96,101,102,101,102,102,102,102,,
85,86,Jordan,76,,86,91,89,87,84,,,
86,56,Kazakhstan,100,,93,,98,99,101,102,105,109
87,146,Kenya,,,39,48,,,68,,,
88,137,Kiribati,37,40,64,89,,,,,,
89,18,Korea (Republic of),93,101,98,93,96,95,96,98,,
90,51,Kuwait,78,88,99,110,94,93,93,93,94,
91,120,Kyrgyzstan,102,87,84,86,83,87,,86,91,
92,138,Lao People's Democratic Republic,23,25,34,44,46,45,48,52,57,
93,44,Latvia,95,89,91,104,98,99,99,110,115,
94,76,Lebanon,,75,93,80,75,76,71,68,,
95,160,Lesotho,25,32,32,40,50,52,53,53,52,
96,177,Liberia,,,35,,,45,,,38,
97,102,Libya,,,,95,,,,,,
98,15,Liechtenstein,,,,,109,111,110,,116,
99,37,Lithuania,95,84,98,104,101,101,101,105,107,
100,20,Luxembourg,,83,97,95,101,101,100,102,,
101,158,Madagascar,18,,,21,,37,38,,38,
102,170,Malawi,16,24,30,27,33,34,34,38,39,
103,59,Malaysia,55,55,66,69,67,67,71,71,79,
104,105,Maldives,,53,51,,,,,,,
105,175,Mali,7,11,17,26,39,41,,41,44,
106,33,Malta,83,88,91,102,98,86,86,85,85,
107,0,Marshall Islands,,,,76,,,,,,
108,157,Mauritania,13,15,18,22,20,22,27,29,30,
109,64,Mauritius,52,,77,89,89,90,92,94,98,
110,77,Mexico,53,57,70,79,83,84,85,87,91,
111,127,Micronesia (Federated States of),,,,83,,,,,,
112,107,Moldova (Republic of),94,82,82,88,88,88,88,88,87,
113,92,Mongolia,89,63,65,90,92,,,,91,
114,48,Montenegro,,,,94,101,92,91,,,90
115,123,Morocco,37,38,38,50,63,66,69,,,
116,181,Mozambique,7,7,6,13,24,25,24,25,25,
117,145,Myanmar,19,27,36,44,48,,,,51,
118,125,Namibia,38,56,60,64,,,,,,
119,0,Nauru,,,47,47,,,79,,83,
120,144,Nepal,33,41,36,49,59,61,65,66,67,67
121,7,Netherlands,118,141,124,119,123,129,130,132,132,
122,13,New Zealand,89,113,111,120,119,119,119,117,117,
123,124,Nicaragua,37,46,53,69,74,,,,,
124,187,Niger,6,,7,10,14,14,16,17,19,
125,152,Nigeria,25,,24,35,44,,,,,
126,1,Norway,101,116,116,114,113,113,111,113,113,
127,52,Oman,42,65,79,89,,102,,,,
128,147,Pakistan,22,,,27,36,37,38,40,42,
129,60,Palau,,,,99,,,,115,114,
130,114,"Palestine, State of",,68,78,90,86,84,83,83,82,
131,60,Panama,59,63,65,68,71,71,86,75,,
132,154,Papua New Guinea,11,12,,,,,40,,,
133,110,Paraguay,31,41,62,67,68,70,77,,,
134,87,Peru,67,70,85,85,95,95,93,98,96,
135,116,Philippines,72,77,,83,,,,88,,
136,36,Poland,89,94,99,98,97,97,97,109,,
137,41,Portugal,60,103,105,98,107,107,109,120,116,
138,33,Qatar,80,102,87,111,101,109,,,,
139,50,Romania,99,74,79,84,100,100,99,98,95,
140,49,Russian Federation,98,91,,83,,92,96,99,101,
141,159,Rwanda,16,,11,16,33,36,38,40,39,
142,74,Saint Kitts and Nevis,,,105,87,98,94,79,101,92,
143,92,Saint Lucia,49,,74,78,95,95,91,88,86,
144,99,Saint Vincent and the Grenadines,,,83,89,108,104,101,103,105,
145,104,Samoa,,76,78,83,88,86,86,,87,
146,0,San Marino,,,,,97,95,95,,,
147,142,Sao Tome and Principe,,,,43,53,51,59,66,77,85
148,38,Saudi Arabia,,,,86,,,,108,108,
149,162,Senegal,15,,16,22,36,40,,,,
150,66,Serbia,,,91,89,91,94,94,94,94,
151,63,Seychelles,,113,73,82,74,76,81,74,75,
152,179,Sierra Leone,18,,,,,44,49,43,,
153,40,Slovakia,,89,86,94,93,93,93,92,92,
154,25,Slovenia,87,90,101,97,98,98,98,111,111,
155,156,Solomon Islands,14,,21,30,49,48,48,,,
156,119,South Africa,66,,87,89,90,91,92,94,94,
157,27,Spain,101,114,110,118,124,129,131,131,130,
158,73,Sri Lanka,72,76,,,97,99,100,100,,
159,165,Sudan,,,,38,41,37,40,43,,
160,97,Suriname,57,,,68,,87,,78,,
161,148,Swaziland,,47,42,47,58,60,61,63,,
162,14,Sweden,90,131,152,104,98,97,98,128,133,
163,2,Switzerland,96,101,95,95,96,96,96,99,100,
164,149,Syrian Arab Republic,51,43,44,70,73,75,77,50,,
165,129,Tajikistan,,82,73,80,84,86,87,88,,
166,151,Tanzania (United Republic of),,5,,,31,,34,32,,
167,87,Thailand,29,48,,72,84,87,87,86,,
168,82,The former Yugoslav Republic of Macedonia,,77,83,85,84,,82,,,
169,133,Timor-Leste,,,,54,67,71,72,71,73,
170,166,Togo,22,22,32,45,,55,,,,
171,101,Tonga,98,,107,,104,105,91,91,90,
172,65,Trinidad and Tobago,83,,,,,,,,,
173,97,Tunisia,45,57,75,85,90,92,,90,88,
174,71,Turkey,50,61,73,83,84,88,85,100,,
175,111,Turkmenistan,,,,,,,,,85,
176,0,Tuvalu,,,,,,,,,81,
177,163,Uganda,11,10,17,20,27,26,,28,,
178,84,Ukraine,94,,104,97,95,93,97,98,99,
179,42,United Arab Emirates,62,83,,,,,,,,
180,16,United Kingdom,84,103,102,105,102,93,91,124,128,
181,10,United States,91,95,93,96,94,95,95,96,98,
182,54,Uruguay,81,82,98,101,90,,,94,,
183,105,Uzbekistan,101,92,86,90,95,95,,,,
184,134,Vanuatu,,,35,,60,,,,,
185,71,Venezuela (Bolivarian Republic of),55,,59,73,81,82,84,92,92,
186,115,Viet Nam,35,,,,,,,,,
187,168,Yemen,,,,46,43,45,46,49,,
188,139,Zambia,20,,,,,,,,,
189,154,Zimbabwe,45,41,43,,,,47,48,,
190,,,,,,,,,,,,
