,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,21.6,17.9,16.6,16.8,17.2,18.2,21.2
3,75,Albania,29.3,21.0,31.7,37.0,28.4,29.4,26.5,25.9,24.5,27.3
4,83,Algeria,27.0,29.1,20.7,22.4,36.3,31.7,30.8,34.2,36.7,
5,150,Angola,0.0,,12.8,36.4,14.4,12.9,14.9,14.7,15.3,10.3
6,62,Antigua and Barbuda,31.2,28.4,30.6,27.6,28.4,20.9,22.0,23.3,25.6,25.0
7,45,Argentina,14.0,17.9,16.2,17.3,16.7,17.2,15.7,16.3,16.1,15.6
8,84,Armenia,44.3,16.2,18.4,29.8,33.4,26.1,23.6,21.2,20.1,20.4
9,2,Australia,27.7,25.1,26.0,27.0,27.7,26.7,28.0,28.3,27.3,26.5
10,24,Austria,25.5,25.4,25.7,23.1,21.6,22.5,22.7,22.5,22.4,22.1
11,78,Azerbaijan,20.3,15.6,23.1,41.3,18.2,20.2,21.9,24.6,25.8,28.6
12,58,Bahamas,25.6,25.4,25.9,24.2,24.0,25.9,27.3,26.2,27.7,20.6
13,47,Bahrain,18.9,17.3,16.4,25.7,26.0,15.6,19.4,15.6,15.3,
14,139,Bangladesh,16.5,19.1,23.8,25.8,26.2,27.4,28.3,28.4,28.6,28.9
15,54,Barbados,15.3,11.4,17.6,18.4,13.4,14.7,13.1,13.1,12.8,13.0
16,52,Belarus,21.9,24.7,25.2,26.5,39.3,38.1,33.6,37.6,33.9,28.6
17,22,Belgium,24.1,21.3,22.5,22.2,21.8,22.6,22.6,22.1,23.3,23.3
18,103,Belize,25.0,21.7,28.7,18.5,15.3,15.4,16.1,17.8,19.7,
19,167,Benin,12.6,17.6,24.6,19.7,23.3,23.8,21.4,28.0,24.4,26.0
20,132,Bhutan,31.0,43.1,50.0,49.9,61.2,68.0,68.0,46.5,58.5,56.8
21,118,Bolivia (Plurinational State of),12.6,15.5,17.9,13.0,16.6,19.0,18.4,19.1,21.0,
22,81,Bosnia and Herzegovina,,12.3,20.6,27.1,17.0,18.1,18.3,17.6,18.9,
23,108,Botswana,32.4,27.0,25.1,25.3,33.6,31.4,35.6,33.0,29.6,29.5
24,79,Brazil,20.7,20.1,18.3,17.1,20.5,20.6,20.7,20.9,20.2,18.2
25,30,Brunei Darussalam,18.7,36.7,13.0,11.4,15.9,13.1,13.6,15.3,27.3,
26,56,Bulgaria,21.3,15.3,16.9,25.7,22.5,21.1,21.4,21.2,21.1,21.2
27,185,Burkina Faso,17.7,22.5,21.2,19.7,24.5,26.4,29.3,31.9,32.0,31.2
28,184,Burundi,15.2,6.4,2.8,22.4,30.5,27.6,28.4,28.7,27.8,21.7
29,122,Cabo Verde,,,,,45.2,46.7,,,,
30,143,Cambodia,,13.9,18.3,18.9,16.2,16.0,17.4,18.7,20.9,21.2
31,153,Cameroon,17.3,13.4,16.0,17.7,19.0,20.6,19.2,19.4,20.5,21.0
32,10,Canada,21.8,18.4,19.7,21.9,23.5,23.6,24.6,23.9,23.8,23.3
33,188,Central African Republic,11.8,13.1,11.1,9.8,14.3,14.9,14.7,9.7,12.7,11.4
34,186,Chad,4.8,14.4,20.9,20.6,33.6,28.3,31.1,28.6,33.2,28.0
35,38,Chile,23.7,25.1,20.2,21.2,21.0,22.4,24.1,23.8,23.0,22.7
36,90,China,25.7,34.2,33.9,39.9,44.9,44.6,45.3,45.8,44.3,
37,95,Colombia,16.6,22.4,14.1,19.7,21.9,23.6,23.7,24.3,25.8,26.7
38,160,Comoros,11.9,15.5,10.3,10.3,11.0,12.5,14.0,17.8,20.4,
39,135,Congo,17.2,34.3,20.9,19.7,20.3,25.1,25.8,30.7,41.0,40.9
40,176,Congo (Democratic Republic of the),,9.7,14.4,11.7,18.9,17.0,20.8,22.4,22.3,16.1
41,66,Costa Rica,20.1,19.0,17.8,18.7,19.8,20.0,20.4,21.2,21.8,
42,45,Croatia,,14.4,19.9,25.4,21.3,20.3,19.6,19.8,19.1,19.1
43,68,Cuba,24.5,7.8,11.9,9.0,10.4,,,,,
44,33,Cyprus,24.6,25.1,20.1,21.5,21.8,19.1,15.2,13.4,10.8,
45,28,Czech Republic,24.6,33.5,30.7,28.3,27.0,26.6,26.0,25.1,25.0,25.8
46,171,Côte d'Ivoire,8.5,13.7,10.3,9.2,12.3,9.0,12.1,14.6,16.1,16.1
47,5,Denmark,20.7,19.5,21.5,21.1,18.3,18.3,19.0,18.9,19.1,19.1
48,172,Djibouti,14.1,8.4,8.8,19.0,,,,,,
49,96,Dominica,39.7,30.8,19.8,19.8,18.4,16.5,15.3,13.7,14.9,12.3
50,99,Dominican Republic,24.9,16.3,20.5,16.4,25.0,23.3,22.9,20.8,20.6,21.3
51,89,Ecuador,18.3,17.3,19.0,20.4,24.6,25.8,27.0,27.8,27.6,27.0
52,111,Egypt,26.9,19.2,18.9,17.9,19.2,16.7,14.9,13.1,12.6,13.7
53,117,El Salvador,13.7,18.7,16.9,15.3,13.3,14.4,14.1,15.0,13.6,14.0
54,135,Equatorial Guinea,117.9,158.5,125.5,38.8,63.6,56.5,49.1,55.0,47.1,54.6
55,179,Eritrea,,22.5,22.0,20.3,9.3,10.0,,,,
56,30,Estonia,,27.4,26.6,32.9,21.2,26.2,26.4,27.1,25.2,24.2
57,174,Ethiopia,,,,,,32.1,37.1,34.1,38.0,39.3
58,91,Fiji,12.5,21.0,15.4,21.0,,,,21.9,16.0,17.1
59,23,Finland,29.7,19.3,23.1,23.0,21.9,22.2,22.3,21.2,20.6,20.3
60,21,France,23.3,20.0,21.4,21.7,22.1,22.4,22.5,22.1,21.8,21.5
61,109,Gabon,21.4,22.7,21.9,19.8,31.4,28.7,27.7,29.9,35.7,29.3
62,173,Gambia,22.3,6.9,4.6,29.5,18.4,25.4,23.4,21.9,21.2,
63,70,Georgia,23.3,4.0,25.4,28.1,19.3,22.5,24.8,21.9,25.8,28.5
64,4,Germany,24.4,23.4,23.0,19.1,19.4,20.3,20.2,19.8,20.1,20.0
65,139,Ghana,14.4,21.1,23.1,29.0,24.7,25.6,30.9,27.1,26.2,23.6
66,29,Greece,24.8,20.0,24.6,20.8,17.6,15.3,12.6,12.0,11.6,11.7
67,79,Grenada,35.3,30.5,37.9,46.3,22.0,19.9,16.3,20.0,16.9,15.0
68,125,Guatemala,13.0,14.5,16.1,18.3,14.8,14.8,14.8,14.3,13.9,13.2
69,183,Guinea,22.9,19.9,19.6,18.6,10.6,17.6,15.4,15.0,14.0,13.2
70,178,Guinea-Bissau,29.9,22.3,4.4,4.3,6.5,5.3,6.1,6.4,6.4,
71,127,Guyana,27.7,33.2,23.8,24.8,25.4,23.9,24.9,18.9,22.3,25.2
72,130,Honduras,20.2,24.0,25.8,24.9,21.6,24.4,24.4,23.6,22.3,23.1
73,12,"Hong Kong, China (SAR)",26.2,30.2,26.5,21.4,21.8,23.5,25.4,24.1,23.5,22.6
74,43,Hungary,,21.9,25.5,23.9,20.4,19.8,19.4,20.5,21.7,
75,9,Iceland,21.0,16.9,24.2,29.4,14.0,15.4,16.0,15.3,16.7,19.2
76,131,India,23.8,24.1,22.7,30.3,30.9,34.3,33.4,31.6,30.8,
77,113,Indonesia,28.3,28.4,19.9,23.6,31.0,31.3,32.7,32.0,32.6,33.2
78,69,Iran (Islamic Republic of),27.0,24.7,31.3,28.7,27.8,26.2,27.6,26.8,26.2,
79,121,Iraq,,,2.9,13.8,16.2,13.0,15.0,23.5,,
80,8,Ireland,19.2,18.1,23.8,29.9,17.8,17.2,19.2,17.6,19.3,22.0
81,19,Israel,19.1,24.6,20.9,18.9,18.6,20.3,20.6,20.2,19.4,18.6
82,26,Italy,22.0,19.1,20.4,21.2,19.9,19.7,18.4,17.2,16.6,16.5
83,94,Jamaica,25.3,28.3,,26.7,19.9,21.0,19.7,21.0,22.0,
84,17,Japan,32.0,27.8,25.2,22.3,20.0,20.6,21.0,21.6,22.0,21.7
85,86,Jordan,25.1,29.6,21.1,30.6,23.0,24.5,26.0,27.2,27.2,22.1
86,56,Kazakhstan,,23.1,17.3,28.0,24.3,19.6,21.0,20.1,19.9,
