,HDI Rank,Country,
2,169,Afghanistan,281
3,75,Albania,7
4,83,Algeria,11
5,150,Angola,436
6,62,Antigua and Barbuda,0
7,45,Argentina,16
8,84,Armenia,0
9,2,Australia,57
10,24,Austria,0
11,78,Azerbaijan,69
12,58,Bahamas,0
13,47,Bahrain,0
14,139,Bangladesh,71
15,54,Barbados,0
16,52,Belarus,0
17,22,Belgium,0
18,103,Belize,0
19,167,Benin,1468
20,132,Bhutan,0
21,118,Bolivia (Plurinational State of),47
22,81,Bosnia and Herzegovina,0
23,108,Botswana,0
24,79,Brazil,82
25,30,Brunei Darussalam,0
26,56,Bulgaria,15
27,185,Burkina Faso,367
28,184,Burundi,519
29,122,Cabo Verde,0
30,143,Cambodia,366
31,153,Cameroon,204
32,10,Canada,19
33,188,Central African Republic,920
34,186,Chad,93
35,38,Chile,4573
36,90,China,203
37,95,Colombia,26
38,160,Comoros,0
39,135,Congo,437
40,176,Congo (Democratic Republic of the),32
41,66,Costa Rica,0
42,45,Croatia,0
43,68,Cuba,1307
44,33,Cyprus,0
45,28,Czech Republic,0
46,171,Côte d'Ivoire,45
47,5,Denmark,0
48,172,Djibouti,0
49,96,Dominica,853
50,99,Dominican Republic,128
51,89,Ecuador,89
52,111,Egypt,1
53,117,El Salvador,268
54,135,Equatorial Guinea,0
55,179,Eritrea,0
56,30,Estonia,0
57,174,Ethiopia,1
58,91,Fiji,0
59,23,Finland,0
60,21,France,1
61,109,Gabon,47
62,173,Gambia,21
63,70,Georgia,129
64,4,Germany,0
65,139,Ghana,19
66,29,Greece,33
67,79,Grenada,0
68,125,Guatemala,379
69,183,Guinea,33
70,178,Guinea-Bissau,42
71,127,Guyana,0
72,163,Haiti,867
73,130,Honduras,129
74,12,"Hong Kong, China (SAR)",0
75,43,Hungary,0
76,9,Iceland,0
77,131,India,662
78,113,Indonesia,296
79,69,Iran (Islamic Republic of),25
80,121,Iraq,8
81,8,Ireland,0
82,19,Israel,0
83,26,Italy,116
84,94,Jamaica,39
85,17,Japan,29
86,86,Jordan,0
87,56,Kazakhstan,49
88,146,Kenya,11
89,137,Kiribati,75
90,0,Korea (Democratic People's Rep. of),1315
91,18,Korea (Republic of),8
92,51,Kuwait,0
93,120,Kyrgyzstan,140
94,138,Lao People's Democratic Republic,1
95,44,Latvia,0
96,76,Lebanon,0
97,160,Lesotho,117
98,177,Liberia,89
99,102,Libya,0
100,37,Lithuania,0
101,20,Luxembourg,0
102,158,Madagascar,1967
103,170,Malawi,514
104,59,Malaysia,94
105,105,Maldives,0
106,175,Mali,308
107,0,Marshall Islands,0
108,157,Mauritania,326
109,64,Mauritius,0
110,77,Mexico,288
111,127,Micronesia (Federated States of),0
112,107,Moldova (Republic of),0
113,92,Mongolia,0
114,48,Montenegro,0
115,123,Morocco,0
116,181,Mozambique,292
117,145,Myanmar,15
118,125,Namibia,0
119,144,Nepal,284
120,7,Netherlands,0
121,13,New Zealand,15
122,124,Nicaragua,91
123,187,Niger,449
124,152,Nigeria,8
125,1,Norway,0
126,52,Oman,0
127,147,Pakistan,2742
128,60,Palau,0
129,114,"Palestine, State of",11
130,60,Panama,32
131,154,Papua New Guinea,295
132,110,Paraguay,29
133,87,Peru,193
134,116,Philippines,91
135,36,Poland,0
136,41,Portugal,1
137,50,Romania,26
138,49,Russian Federation,9
139,159,Rwanda,52
140,74,Saint Kitts and Nevis,0
141,92,Saint Lucia,0
142,99,Saint Vincent and the Grenadines,499
143,104,Samoa,0
144,142,Sao Tome and Principe,0
145,38,Saudi Arabia,32
146,162,Senegal,0
147,66,Serbia,15
148,63,Seychelles,0
149,179,Sierra Leone,36
150,5,Singapore,0
151,40,Slovakia,0
152,25,Slovenia,47
153,156,Solomon Islands,171
154,0,Somalia,234
155,119,South Africa,15
156,181,South Sudan,0
157,27,Spain,30
158,73,Sri Lanka,5380
159,165,Sudan,556
160,97,Suriname,0
161,148,Swaziland,20
162,14,Sweden,0
163,2,Switzerland,0
164,149,Syrian Arab Republic,0
165,129,Tajikistan,29
166,151,Tanzania (United Republic of),70
167,87,Thailand,25
168,82,The former Yugoslav Republic of Macedonia,0
169,133,Timor-Leste,0
170,166,Togo,190
171,101,Tonga,0
172,65,Trinidad and Tobago,0
173,97,Tunisia,0
174,71,Turkey,43
175,111,Turkmenistan,0
176,0,Tuvalu,0
177,163,Uganda,782
178,84,Ukraine,6
179,16,United Kingdom,44
180,10,United States,16
181,54,Uruguay,269
182,105,Uzbekistan,0
183,134,Vanuatu,0
184,71,Venezuela (Bolivarian Republic of),12
185,115,Viet Nam,863
186,168,Yemen,15
187,139,Zambia,131
188,154,Zimbabwe,3
189,,,
