,HDI Rank,Country,
2,75,Albania,29.0 d
3,150,Angola,42.7 gggg
4,45,Argentina,42.7 d
5,84,Armenia,31.5 d
6,2,Australia,34.9 d
7,24,Austria,30.5 d
8,78,Azerbaijan,31.8 d
9,139,Bangladesh,32.1 d
10,52,Belarus,27.2 d
11,22,Belgium,27.6 d
12,167,Benin,43.4 d
13,132,Bhutan,38.8 d
14,118,Bolivia (Plurinational State of),48.4 d
15,81,Bosnia and Herzegovina,33.8 d
16,108,Botswana,60.5 gggg
17,79,Brazil,51.5 d
18,56,Bulgaria,36.0 d
19,185,Burkina Faso,35.3 d
20,184,Burundi,33.4 gggg
21,122,Cabo Verde,47.2 gggg
22,143,Cambodia,30.8 d
23,153,Cameroon,46.5 d
24,10,Canada,33.7 d
25,188,Central African Republic,56.2 gggg
26,186,Chad,43.3 d
27,38,Chile,50.5 d
28,90,China,42.2 d
29,95,Colombia,53.5 d
30,135,Congo,48.9 d
31,176,Congo (Democratic Republic of the),42.1 d
32,66,Costa Rica,48.5 d
33,45,Croatia,32.5 d
34,33,Cyprus,34.3 d
35,28,Czech Republic,26.1 d
36,171,Côte d'Ivoire,43.2 gggg
37,5,Denmark,29.1 d
38,172,Djibouti,44.1 d
39,99,Dominican Republic,47.1 d
40,89,Ecuador,45.4 d
41,117,El Salvador,41.8 d
42,30,Estonia,33.1 d
43,174,Ethiopia,33.2 d
44,91,Fiji,42.8 gggg
45,23,Finland,27.1 d
46,21,France,33.1 d
47,109,Gabon,42.2 gggg
48,70,Georgia,40.1 d
49,4,Germany,30.1 d
50,139,Ghana,42.8 gggg
51,29,Greece,36.7 d
52,125,Guatemala,48.7 d
53,183,Guinea,33.7 d
54,178,Guinea-Bissau,50.7 d
55,163,Haiti,60.8 d
56,130,Honduras,50.6 d
57,43,Hungary,30.6 d
58,9,Iceland,26.9 d
59,131,India,35.1 d
60,113,Indonesia,39.5 d
61,69,Iran (Islamic Republic of),37.4 d
62,8,Ireland,32.5 d
63,19,Israel,42.8 d
64,26,Italy,35.2 d
65,17,Japan,32.1 gggg
66,56,Kazakhstan,26.3 d
67,146,Kenya,48.5 gggg
68,137,Kiribati,37.6 gggg
69,120,Kyrgyzstan,26.8 d
70,138,Lao People's Democratic Republic,37.9 d
71,44,Latvia,35.5 d
72,160,Lesotho,54.2 d
73,177,Liberia,36.5 gggg
74,37,Lithuania,35.1 d
75,20,Luxembourg,34.8 d
76,158,Madagascar,42.6 d
77,170,Malawi,46.1 d
78,59,Malaysia,46.3 gggg
79,105,Maldives,38.4 gggg
80,175,Mali,33.0 gggg
81,157,Mauritania,32.4 d
82,64,Mauritius,35.8 d
83,77,Mexico,48.2 d
84,127,Micronesia (Federated States of),42.5 d
85,107,Moldova (Republic of),26.8 d
86,92,Mongolia,32.0 d
87,48,Montenegro,31.9 d
88,123,Morocco,40.7 gggg
89,181,Mozambique,45.6 gggg
90,125,Namibia,61.0 gggg
91,144,Nepal,32.8 d
92,7,Netherlands,28.0 d
93,124,Nicaragua,47.0 d
94,187,Niger,34.0 d
95,152,Nigeria,43.0 gggg
96,1,Norway,25.9 d
97,147,Pakistan,30.7 d
98,114,"Palestine, State of",34.5 gggg
99,60,Panama,50.7 d
100,154,Papua New Guinea,43.9 gggg
101,110,Paraguay,51.7 d
102,87,Peru,44.1 d
103,116,Philippines,43.0 d
104,36,Poland,32.1 d
105,41,Portugal,36.0 d
106,50,Romania,27.4 d
107,49,Russian Federation,41.6 d
108,159,Rwanda,50.4 d
109,104,Samoa,42.7 gggg
110,142,Sao Tome and Principe,30.8 d
111,162,Senegal,40.3 d
112,66,Serbia,29.1 d
113,63,Seychelles,46.8 d
114,179,Sierra Leone,34.0 d
115,40,Slovakia,26.1 d
116,25,Slovenia,25.6 d
117,156,Solomon Islands,46.1 gggg
118,119,South Africa,63.4 d
119,181,South Sudan,46.3 gggg
120,27,Spain,35.9 d
121,73,Sri Lanka,39.2 d
122,165,Sudan,35.4 gggg
123,148,Swaziland,51.5 gggg
124,14,Sweden,27.3 d
125,2,Switzerland,31.6 d
126,129,Tajikistan,30.8 d
127,151,Tanzania (United Republic of),37.8 d
128,87,Thailand,37.9 d
129,82,The former Yugoslav Republic of Macedonia,44.0 gggg
130,133,Timor-Leste,31.6 gggg
131,166,Togo,46.0 d
132,101,Tonga,38.1 gggg
133,97,Tunisia,35.8 d
134,71,Turkey,40.2 d
135,0,Tuvalu,41.1 d
136,163,Uganda,41.0 d
137,84,Ukraine,24.1 d
138,16,United Kingdom,32.6 d
139,10,United States,41.1 d
140,54,Uruguay,41.6 d
141,134,Vanuatu,37.2 d
142,71,Venezuela (Bolivarian Republic of),46.9 gggg
143,115,Viet Nam,37.6 d
144,139,Zambia,55.6 d
145,154,Zimbabwe,43.1 d
146,,,
