,HDI Rank,Country,
2,75,Albania,1.0 d
3,150,Angola,2.1 gggg
4,45,Argentina,2.1 d
5,84,Armenia,1.2 d
6,2,Australia,1.4 d
7,24,Austria,1.1 d
8,78,Azerbaijan,1.2 gggg
9,139,Bangladesh,1.3 d
10,52,Belarus,1.0 d
11,22,Belgium,1.0 d
12,167,Benin,2.2 d
13,132,Bhutan,1.8 d
14,118,Bolivia (Plurinational State of),3.0 d
15,81,Bosnia and Herzegovina,1.3 d
16,108,Botswana,5.8 gggg
17,79,Brazil,3.5 d
18,56,Bulgaria,1.5 d
19,185,Burkina Faso,1.5 d
20,184,Burundi,1.3 gggg
21,122,Cabo Verde,2.7 gggg
22,143,Cambodia,1.2 d
23,153,Cameroon,2.7 d
24,10,Canada,1.3 d
25,188,Central African Republic,4.5 gggg
26,186,Chad,2.2 d
27,38,Chile,3.2 d
28,90,China,2.1 d
29,95,Colombia,3.9 d
30,135,Congo,3.0 d
31,176,Congo (Democratic Republic of the),2.1 d
32,66,Costa Rica,3.0 d
33,45,Croatia,1.2 d
34,33,Cyprus,1.4 d
35,28,Czech Republic,0.9 d
36,171,Côte d'Ivoire,2.2 gggg
37,5,Denmark,1.0 d
38,172,Djibouti,2.3 d
39,99,Dominican Republic,2.7 d
40,89,Ecuador,2.5 d
41,117,El Salvador,2.0 d
42,30,Estonia,1.3 d
43,174,Ethiopia,1.3 d
44,91,Fiji,2.1 gggg
45,23,Finland,0.9 d
46,21,France,1.3 d
47,109,Gabon,2.1 gggg
48,70,Georgia,1.9 d
49,4,Germany,1.1 d
50,139,Ghana,2.2 gggg
51,29,Greece,1.6 d
52,125,Guatemala,3.0 d
53,183,Guinea,1.3 d
54,178,Guinea-Bissau,3.3 d
55,163,Haiti,6.5 d
56,130,Honduras,3.4 d
57,43,Hungary,1.1 d
58,9,Iceland,0.9 d
59,131,India,1.5 d
60,113,Indonesia,1.8 d
61,69,Iran (Islamic Republic of),1.6 d
62,8,Ireland,1.3 d
63,19,Israel,2.2 d
64,26,Italy,1.4 d
65,17,Japan,1.2 gggg
66,56,Kazakhstan,0.9 d
67,146,Kenya,2.9 gggg
68,137,Kiribati,1.6 gggg
69,120,Kyrgyzstan,1.0 d
70,138,Lao People's Democratic Republic,1.7 d
71,44,Latvia,1.4 d
72,160,Lesotho,4.3 d
73,177,Liberia,1.6 gggg
74,37,Lithuania,1.4 d
75,20,Luxembourg,1.4 d
76,158,Madagascar,2.1 d
77,170,Malawi,2.6 d
78,59,Malaysia,2.6 gggg
79,105,Maldives,1.7 gggg
80,175,Mali,1.3 gggg
81,157,Mauritania,1.2 d
82,64,Mauritius,1.5 d
83,77,Mexico,2.9 d
84,127,Micronesia (Federated States of),2.1 d
85,107,Moldova (Republic of),0.9 d
86,92,Mongolia,1.2 d
87,48,Montenegro,1.2 d
88,123,Morocco,1.9 gggg
89,181,Mozambique,2.5 gggg
90,125,Namibia,5.8 gggg
91,144,Nepal,1.3 d
92,7,Netherlands,1.0 d
93,124,Nicaragua,2.7 d
94,187,Niger,1.4 d
95,152,Nigeria,2.2 gggg
96,1,Norway,0.9 d
97,147,Pakistan,1.2 d
98,114,"Palestine, State of",1.4 gggg
99,60,Panama,3.4 d
100,154,Papua New Guinea,2.3 gggg
101,110,Paraguay,3.5 d
102,87,Peru,2.3 d
103,116,Philippines,2.2 d
104,36,Poland,1.2 d
105,41,Portugal,1.5 d
106,50,Romania,1.0 d
107,49,Russian Federation,2.0 d
108,159,Rwanda,3.2 d
109,104,Samoa,2.1 gggg
110,142,Sao Tome and Principe,1.1 d
111,162,Senegal,1.9 d
112,66,Serbia,1.1 d
113,63,Seychelles,2.6 d
114,179,Sierra Leone,1.4 d
115,40,Slovakia,0.9 d
116,25,Slovenia,0.9 d
117,156,Solomon Islands,2.5 gggg
118,119,South Africa,7.1 d
119,181,South Sudan,2.7 gggg
120,27,Spain,1.5 d
121,73,Sri Lanka,1.8 d
122,165,Sudan,1.4 gggg
123,148,Swaziland,3.5 gggg
124,14,Sweden,0.9 d
125,2,Switzerland,1.2 d
126,129,Tajikistan,1.2 d
127,151,Tanzania (United Republic of),1.7 d
128,87,Thailand,1.6 d
129,82,The former Yugoslav Republic of Macedonia,2.3 gggg
130,133,Timor-Leste,1.2 gggg
131,166,Togo,2.6 d
132,101,Tonga,1.7 gggg
133,97,Tunisia,1.5 d
134,71,Turkey,1.9 d
135,0,Tuvalu,1.9 d
136,163,Uganda,2.0 d
137,84,Ukraine,0.8 d
138,16,United Kingdom,1.3 d
139,10,United States,2.0 d
140,54,Uruguay,2.0 d
141,134,Vanuatu,1.6 d
142,71,Venezuela (Bolivarian Republic of),2.8 gggg
143,115,Viet Nam,1.6 d
144,139,Zambia,4.3 d
145,154,Zimbabwe,2.2 d
146,,,
