,HDI Rank,Country,
2,75,Albania,4.3 d
3,150,Angola,8.9 gggg
4,45,Argentina,10.0 d
5,84,Armenia,4.7 d
6,2,Australia,6.0 d
7,24,Austria,4.9 d
8,78,Azerbaijan,4.8 gggg
9,139,Bangladesh,4.7 d
10,52,Belarus,3.9 d
11,22,Belgium,4.2 d
12,167,Benin,8.4 d
13,132,Bhutan,6.8 d
14,118,Bolivia (Plurinational State of),14.7 d
15,81,Bosnia and Herzegovina,5.7 d
16,108,Botswana,22.9 gggg
17,79,Brazil,15.5 d
18,56,Bulgaria,6.9 d
19,185,Burkina Faso,5.3 d
20,184,Burundi,4.8 gggg
21,122,Cabo Verde,10.7 gggg
22,143,Cambodia,4.4 d
23,153,Cameroon,11.4 d
24,10,Canada,5.8 d
25,188,Central African Republic,18.3 gggg
26,186,Chad,10.0 d
27,38,Chile,12.2 d
28,90,China,9.2 d
29,95,Colombia,17.3 d
30,135,Congo,12.8 d
31,176,Congo (Democratic Republic of the),8.7 d
32,66,Costa Rica,12.8 d
33,45,Croatia,5.7 d
34,33,Cyprus,5.3 d
35,28,Czech Republic,3.8 d
36,171,Côte d'Ivoire,9.6 gggg
37,5,Denmark,4.5 d
38,172,Djibouti,10.2 d
39,99,Dominican Republic,10.8 d
40,89,Ecuador,10.5 d
41,117,El Salvador,8.4 d
42,30,Estonia,5.7 d
43,174,Ethiopia,5.2 d
44,91,Fiji,8.2 gggg
45,23,Finland,3.9 d
46,21,France,5.3 d
47,109,Gabon,8.4 gggg
48,70,Georgia,8.2 d
49,4,Germany,4.6 d
50,139,Ghana,9.3 gggg
51,29,Greece,7.6 d
52,125,Guatemala,12.1 d
53,183,Guinea,5.5 d
54,178,Guinea-Bissau,12.6 d
55,163,Haiti,32.5 d
56,130,Honduras,15.8 d
57,43,Hungary,5.0 d
58,9,Iceland,4.0 d
59,131,India,5.3 d
60,113,Indonesia,6.5 d
61,69,Iran (Islamic Republic of),6.5 d
62,8,Ireland,5.3 d
63,19,Israel,10.3 d
64,26,Italy,6.7 d
65,17,Japan,5.4 gggg
66,56,Kazakhstan,3.6 d
67,146,Kenya,11.6 gggg
68,137,Kiribati,7.2 gggg
69,120,Kyrgyzstan,3.7 d
70,138,Lao People's Democratic Republic,6.3 d
71,44,Latvia,6.7 d
72,160,Lesotho,20.5 d
73,177,Liberia,6.7 gggg
74,37,Lithuania,6.5 d
75,20,Luxembourg,5.9 d
76,158,Madagascar,8.6 d
77,170,Malawi,9.6 d
78,59,Malaysia,11.3 gggg
79,105,Maldives,7.1 gggg
80,175,Mali,5.2 gggg
81,157,Mauritania,5.3 d
82,64,Mauritius,5.9 d
83,77,Mexico,10.8 d
84,127,Micronesia (Federated States of),9.6 d
85,107,Moldova (Republic of),3.8 d
86,92,Mongolia,5.0 d
87,48,Montenegro,4.8 d
88,123,Morocco,7.3 gggg
89,181,Mozambique,9.8 gggg
90,125,Namibia,20.3 gggg
91,144,Nepal,5.0 d
92,7,Netherlands,4.2 d
93,124,Nicaragua,10.9 d
94,187,Niger,5.4 d
95,152,Nigeria,9.1 gggg
96,1,Norway,3.8 d
97,147,Pakistan,4.4 d
98,114,"Palestine, State of",5.5 gggg
99,60,Panama,16.4 d
100,154,Papua New Guinea,10.4 gggg
101,110,Paraguay,14.7 d
102,87,Peru,10.8 d
103,116,Philippines,8.4 d
104,36,Poland,5.0 d
105,41,Portugal,6.7 d
106,50,Romania,4.1 d
107,49,Russian Federation,8.2 d
108,159,Rwanda,11.0 d
109,104,Samoa,7.9 gggg
110,142,Sao Tome and Principe,4.7 d
111,162,Senegal,7.7 d
112,66,Serbia,4.4 d
113,63,Seychelles,9.8 d
114,179,Sierra Leone,5.4 d
115,40,Slovakia,4.0 d
116,25,Slovenia,3.7 d
117,156,Solomon Islands,10.5 gggg
118,119,South Africa,27.9 d
119,181,South Sudan,13.1 gggg
120,27,Spain,7.3 d
121,73,Sri Lanka,6.6 d
122,165,Sudan,6.2 gggg
123,148,Swaziland,14.2 gggg
124,14,Sweden,4.2 d
125,2,Switzerland,4.9 d
126,129,Tajikistan,4.5 d
127,151,Tanzania (United Republic of),6.2 d
128,87,Thailand,6.5 d
129,82,The former Yugoslav Republic of Macedonia,9.3 gggg
130,133,Timor-Leste,4.5 gggg
131,166,Togo,10.7 d
132,101,Tonga,6.9 gggg
133,97,Tunisia,6.4 d
134,71,Turkey,8.0 d
135,0,Tuvalu,7.7 d
136,163,Uganda,7.6 d
137,84,Ukraine,3.3 d
138,16,United Kingdom,5.3 d
139,10,United States,9.1 d
140,54,Uruguay,9.1 d
141,134,Vanuatu,6.6 d
142,71,Venezuela (Bolivarian Republic of),16.0 gggg
143,115,Viet Nam,6.8 d
144,139,Zambia,16.0 d
145,154,Zimbabwe,8.5 d
146,,,
