,HDI Rank,Country,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,39.3,39.3,39.3,45.0,44.8,44.8 qqq
3,75,Albania,12.7,11.9,11.9,11.9,11.9,11.9 qqq
4,150,Angola,26.2,,34.6,34.6,34.6,34.6 qqq
5,45,Argentina,12.1,12.1,12.1,8.6,8.1,8.1 qqq
6,84,Armenia,6.5,6.5,3.7,3.7,3.7,3.7 qqq
7,2,Australia,1.7,1.7,1.7,1.8,1.9,1.9 qqq
8,24,Austria,2.4,2.4,2.5,3.7,3.5,4.3 qqq
9,78,Azerbaijan,12.0,8.3,8.3,8.3,8.3,8.3 qqq
10,58,Bahamas,7.9,7.9,,8.0,,
11,139,Bangladesh,44.8,39.4,39.4,37.8,38.6,37.3 qqq
12,54,Barbados,,,,,5.5,5.5 qqq
13,52,Belarus,8.0,5.4,5.4,4.8,3.7,3.7 qqq
14,22,Belgium,5.2,6.5,7.6,9.2,8.1,8.1 qqq
15,103,Belize,19.8,,,,15.9,15.9 qqq
16,167,Benin,44.1,42.0,42.0,42.0,44.8,44.8 qqq
17,132,Bhutan,,44.8,12.2,13.3,44.8,44.8 qqq
18,118,Bolivia (Plurinational State of),28.7,27.6,27.6,27.6,24.7,20.8 qqq
19,81,Bosnia and Herzegovina,19.4,5.2,5.2,5.2,12.5,12.5 qqq
20,108,Botswana,,,,32.1,32.1,32.1 qqq
21,79,Brazil,25.7,25.7,25.3,24.7,23.6,22.6 qqq
22,56,Bulgaria,8.1,5.9,6.1,5.8,5.5,5.5 qqq
23,185,Burkina Faso,37.3,37.3,36.2,38.5,38.6,38.6 qqq
24,184,Burundi,36.3,,,41.0,36.9,36.9 qqq
25,122,Cabo Verde,30.7,30.7,,18.2,18.2,18.2 qqq
26,143,Cambodia,31.1,31.1,28.3,28.3,28.3,27.3 qqq
27,153,Cameroon,35.3,35.3,35.3,34.8,34.8,34.8 qqq
28,10,Canada,3.2,3.2,3.2,4.0,3.9,3.9 qqq
29,188,Central African Republic,45.9,45.9,45.9,45.9,34.5,34.5 qqq
30,186,Chad,37.8,43.4,43.4,43.4,41.9,41.9 qqq
31,38,Chile,13.3,13.7,13.7,13.7,12.6,8.2 qqq
32,90,China,23.2,23.2,23.2,,,
33,95,Colombia,23.9,22.8,21.5,22.1,21.3,17.4 qqq
34,160,Comoros,47.4,47.4,47.4,47.4,47.6,47.6 qqq
35,135,Congo,30.0,25.4,25.4,25.4,21.5,21.5 qqq
36,176,Congo (Democratic Republic of the),29.1,31.2,31.2,29.4,27.7,27.7 qqq
37,66,Costa Rica,17.7,17.7,15.7,15.7,15.5,12.4 qqq
38,45,Croatia,10.4,10.4,10.4,10.4,4.3,4.4 qqq
39,68,Cuba,,,,11.0,11.3,10.9 qqq
40,33,Cyprus,15.7,15.0,16.3,14.0,13.1,12.4 qqq
41,28,Czech Republic,1.3,1.3,1.3,1.4,1.4,1.4 qqq
42,171,Côte d'Ivoire,44.8,43.2,43.2,45.4,45.1,45.1 qqq
43,5,Denmark,3.0,3.1,3.1,3.1,3.0,3.0 qqq
44,172,Djibouti,47.0,47.0,47.0,47.0,47.0,47.0 qqq
45,99,Dominican Republic,22.2,26.8,26.8,24.0,22.9,19.9 qqq
46,89,Ecuador,21.8,22.1,22.1,21.6,21.1,15.5 qqq
47,111,Egypt,43.6,40.9,40.9,40.9,40.9,35.0 qqq
48,117,El Salvador,32.5,32.4,32.4,30.2,30.2,26.6 qqq
49,135,Equatorial Guinea,29.2,29.2,,,,
