,HDI Rank,Country,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,0.326,0.329,0.327
3,75,Albania,0.644,0.648,0.653,0.658,0.660,0.661
4,150,Angola,0.298,,0.293,0.295,0.334,0.336
5,45,Argentina,0.655,0.661,0.662,0.694,0.702,0.698
6,84,Armenia,0.649,0.653,0.656,0.662,0.665,0.674
7,2,Australia,0.854,0.856,0.859,0.863,0.860,0.861
8,24,Austria,0.814,0.818,0.829,0.828,0.823,0.815
9,78,Azerbaijan,0.639,0.657,0.660,0.663,0.658,0.659
10,58,Bahamas,0.675,0.672,,0.677,,
11,139,Bangladesh,0.385,0.404,0.410,0.404,0.406,0.412
12,52,Belarus,0.713,0.727,0.730,0.736,0.741,0.745
13,22,Belgium,0.809,0.819,0.817,0.814,0.824,0.821
14,103,Belize,0.499,,,,0.546,0.546
15,167,Benin,0.295,0.294,0.299,0.311,0.301,0.304
16,132,Bhutan,,,0.471,0.474,0.424,0.428
17,118,Bolivia (Plurinational State of),0.402,0.432,0.435,0.469,0.479,0.478
18,81,Bosnia and Herzegovina,0.566,0.643,0.651,0.663,0.648,0.650
19,108,Botswana,,,,0.431,0.431,0.433
20,79,Brazil,0.527,0.527,0.534,0.545,0.556,0.561
21,56,Bulgaria,0.687,0.689,0.704,0.700,0.709,0.709
22,185,Burkina Faso,0.241,0.249,0.258,0.259,0.259,0.267
23,184,Burundi,0.242,,,0.267,0.274,0.276
24,122,Cabo Verde,,,,0.517,0.519,0.518
25,143,Cambodia,0.380,0.393,0.405,0.416,0.420,0.436
26,153,Cameroon,0.321,0.330,0.334,0.341,0.345,0.348
27,10,Canada,0.825,0.828,0.830,0.842,0.838,0.839
28,188,Central African Republic,0.209,0.218,0.220,0.205,0.196,0.199
29,186,Chad,0.225,0.228,0.231,0.243,0.237,0.238
30,38,Chile,0.664,0.669,0.673,0.676,0.682,0.692
31,90,China,0.539,0.546,0.554,,,
32,95,Colombia,0.500,0.477,0.514,0.528,0.545,0.548
33,160,Comoros,0.269,,,,0.265,0.270
34,135,Congo,0.381,0.384,0.397,0.403,0.433,0.446
35,176,Congo (Democratic Republic of the),0.254,0.245,0.248,0.261,0.271,0.297
36,66,Costa Rica,0.597,0.603,0.598,0.615,0.621,0.628
37,45,Croatia,0.685,0.692,0.693,0.728,0.748,0.752
38,33,Cyprus,0.748,0.764,0.752,0.757,0.762,0.762
39,28,Czech Republic,0.809,0.821,0.818,0.823,0.827,0.830
40,171,Côte d'Ivoire,0.282,0.273,0.278,0.283,0.289,0.294
41,5,Denmark,0.851,0.868,0.867,0.862,0.856,0.858
42,172,Djibouti,0.282,0.295,0.297,0.306,0.308,0.310
43,99,Dominican Republic,0.528,0.523,0.515,0.544,0.549,0.565
44,89,Ecuador,0.566,0.533,0.538,0.569,0.575,0.588
45,111,Egypt,0.486,0.511,0.516,0.521,0.523,0.491
46,117,El Salvador,0.482,0.492,0.495,0.496,0.497,0.529
47,30,Estonia,0.756,0.783,0.779,0.785,0.784,0.788
48,174,Ethiopia,0.270,0.287,0.291,0.307,0.311,0.330
49,91,Fiji,,,,0.616,0.622,0.624
50,23,Finland,0.812,0.834,0.834,0.841,0.844,0.843
51,21,France,0.801,0.804,0.807,0.810,0.816,0.813
52,109,Gabon,0.524,0.539,0.546,0.522,0.527,0.531
53,173,Gambia,0.269,,,,,
54,70,Georgia,0.616,0.643,0.640,0.649,0.663,0.672
55,4,Germany,0.839,0.853,0.855,0.855,0.860,0.859
56,139,Ghana,0.414,0.382,0.386,0.396,0.385,0.391
57,29,Greece,0.772,0.753,0.761,0.770,0.758,0.758
58,125,Guatemala,0.404,0.421,0.408,0.413,0.450,0.450
59,183,Guinea,0.237,0.242,0.248,0.255,0.263,0.270
60,178,Guinea-Bissau,0.236,0.244,0.243,0.253,0.255,0.257
61,127,Guyana,0.508,0.490,0.512,0.520,0.521,0.518
62,163,Haiti,0.278,0.285,0.289,0.295,0.300,0.298
63,130,Honduras,0.424,0.419,0.445,0.419,0.423,0.443
64,43,Hungary,0.751,0.765,0.763,0.772,0.775,0.771
65,9,Iceland,0.835,0.848,0.849,0.862,0.865,0.868
66,131,India,0.408,0.423,0.424,0.433,0.439,0.454
67,113,Indonesia,0.545,0.547,0.553,0.551,0.562,0.563
68,69,Iran (Islamic Republic of),,,,0.511,0.514,0.518
69,121,Iraq,,,,0.517,0.508,0.505
70,8,Ireland,0.826,0.830,0.837,0.842,0.840,0.850
71,19,Israel,0.773,0.780,0.781,0.799,0.778,0.778
72,26,Italy,0.767,0.782,0.772,0.773,0.780,0.784
73,94,Jamaica,0.602,0.608,0.588,0.589,0.601,0.609
74,17,Japan,,,,0.787,0.790,0.791
75,86,Jordan,0.595,0.596,0.597,0.600,0.619,0.619
76,56,Kazakhstan,0.662,0.682,0.676,0.695,0.699,0.714
77,146,Kenya,0.361,0.356,0.359,0.367,0.378,0.391
78,137,Kiribati,,,,0.409,0.402,0.393
79,18,Korea (Republic of),0.737,0.742,0.744,0.740,0.751,0.754
80,120,Kyrgyzstan,0.537,0.545,0.536,0.543,0.566,0.582
81,138,Lao People's Democratic Republic,0.407,0.427,0.425,0.433,0.433,0.427
82,44,Latvia,0.720,0.723,0.726,0.735,0.738,0.742
83,76,Lebanon,,0.589,0.591,0.604,0.604,0.603
84,160,Lesotho,0.309,0.307,0.311,0.316,0.318,0.320
85,177,Liberia,0.255,0.269,0.271,0.282,0.278,0.284
86,37,Lithuania,0.731,0.749,0.742,0.751,0.760,0.759
87,20,Luxembourg,0.813,0.822,0.828,0.824,0.826,0.827
88,158,Madagascar,0.357,0.350,0.352,0.354,0.373,0.374
89,170,Malawi,0.302,0.309,0.315,0.317,0.317,0.328
90,105,Maldives,0.560,0.505,0.511,0.517,0.526,0.529
91,175,Mali,0.249,,,,0.282,0.293
92,33,Malta,,,0.760,0.776,0.780,0.786
93,157,Mauritania,0.316,0.323,0.328,0.329,0.342,0.347
94,64,Mauritius,,0.655,0.663,0.660,0.668,0.669
95,77,Mexico,0.588,0.572,0.577,0.581,0.588,0.587
96,127,Micronesia (Federated States of),0.390,0.393,,,,
97,107,Moldova (Republic of),0.581,0.596,0.607,0.612,0.625,0.628
98,92,Mongolia,0.594,0.613,0.605,0.645,0.639,0.639
99,48,Montenegro,0.714,0.742,0.740,0.745,0.730,0.736
100,123,Morocco,0.440,0.438,0.446,0.450,0.453,0.456
101,181,Mozambique,0.217,0.285,0.273,0.288,0.272,0.280
102,125,Namibia,0.341,0.350,0.353,0.357,0.359,0.415
103,144,Nepal,0.360,0.354,0.358,0.392,0.407,0.407
104,7,Netherlands,0.837,0.857,0.858,0.861,0.862,0.861
105,124,Nicaragua,0.467,0.453,0.457,0.469,0.488,0.479
106,187,Niger,0.214,0.218,0.225,0.233,0.248,0.253
107,152,Nigeria,0.291,0.308,0.301,0.311,0.326,0.328
108,1,Norway,0.877,0.888,0.882,0.892,0.897,0.898
109,147,Pakistan,0.360,0.363,0.372,0.379,0.384,0.380
110,114,"Palestine, State of",,,,0.599,0.577,0.581
111,60,Panama,0.544,0.577,0.583,0.607,0.608,0.614
112,110,Paraguay,0.508,0.516,,0.522,0.539,0.524
113,87,Peru,0.500,0.557,0.553,0.561,0.564,0.580
114,116,Philippines,0.542,0.533,0.537,0.553,0.556,0.556
115,36,Poland,0.740,0.753,0.755,0.765,0.769,0.774
116,41,Portugal,0.721,0.740,0.738,0.753,0.754,0.755
117,50,Romania,0.701,0.697,0.694,0.713,0.716,0.714
118,49,Russian Federation,0.694,0.703,,0.706,0.720,0.725
119,159,Rwanda,0.292,0.305,0.321,0.326,0.337,0.339
120,92,Saint Lucia,,,,,0.617,0.618
121,142,Sao Tome and Principe,,0.379,0.382,0.387,0.425,0.432
122,162,Senegal,0.291,0.306,0.318,0.324,0.322,0.331
123,66,Serbia,0.675,0.694,0.693,0.687,0.697,0.688
124,179,Sierra Leone,0.238,0.234,0.241,0.237,0.251,0.262
125,40,Slovakia,0.773,0.788,0.786,0.788,0.789,0.793
126,25,Slovenia,0.815,0.831,0.827,0.837,0.836,0.838
127,156,Solomon Islands,,,,0.390,0.391,0.392
128,119,South Africa,0.439,,,,0.428,0.435
129,27,Spain,0.782,0.793,0.787,0.782,0.780,0.791
130,73,Sri Lanka,0.618,0.630,0.643,0.652,0.675,0.678
131,97,Suriname,0.533,0.539,0.554,0.547,0.550,0.551
132,148,Swaziland,0.338,0.345,0.348,0.361,0.361,0.361
133,14,Sweden,0.840,0.850,0.848,0.848,0.848,0.851
134,2,Switzerland,0.866,0.867,0.869,0.864,0.869,0.858
135,149,Syrian Arab Republic,0.512,0.513,0.506,0.453,0.436,0.419
136,129,Tajikistan,0.492,0.504,0.504,0.503,0.516,0.532
137,151,Tanzania (United Republic of),0.357,0.359,0.372,0.374,0.377,0.396
