,HDI Rank,Country,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,0.398,0.396,0.395
3,75,Albania,0.586,0.563,0.565,0.568,0.568,0.571
4,150,Angola,0.392,0.308,0.309,0.312,0.445,0.445
5,45,Argentina,0.520,0.527,0.527,0.580,0.593,0.586
6,84,Armenia,0.569,0.573,0.562,0.564,0.571,0.573
7,2,Australia,0.754,0.755,0.759,0.760,0.751,0.753
8,24,Austria,0.779,0.781,0.803,0.793,0.776,0.757
9,78,Azerbaijan,0.725,0.719,0.720,0.731,0.702,0.702
10,58,Bahamas,0.616,0.615,,0.613,,
11,139,Bangladesh,0.422,0.414,0.420,0.371,0.375,0.380
12,54,Barbados,0.635,,,,,
13,52,Belarus,0.676,0.677,0.677,0.684,0.689,0.689
14,22,Belgium,0.774,0.803,0.802,0.797,0.804,0.794
15,103,Belize,0.332,,,0.403,0.404,0.403
16,167,Benin,0.349,0.330,0.332,0.337,0.315,0.318
17,132,Bhutan,,,0.486,0.476,0.515,0.517
18,118,Bolivia (Plurinational State of),0.273,0.317,0.317,0.390,0.395,0.396
19,81,Bosnia and Herzegovina,0.474,0.555,0.555,0.558,0.552,0.556
20,108,Botswana,,,,0.335,0.336,0.335
21,79,Brazil,0.467,0.446,0.453,0.454,0.463,0.465
22,56,Bulgaria,0.634,0.606,0.643,0.618,0.630,0.629
23,185,Burkina Faso,0.303,0.300,0.310,0.311,0.310,0.313
24,184,Burundi,0.221,,,0.260,0.259,0.251
25,122,Cabo Verde,,,,0.443,0.445,0.446
26,143,Cambodia,0.377,0.383,0.394,0.400,0.406,0.413
27,153,Cameroon,0.392,0.394,0.395,0.382,0.387,0.391
28,10,Canada,0.750,0.753,0.754,0.784,0.755,0.755
29,188,Central African Republic,0.240,0.239,0.241,0.189,0.133,0.136
30,186,Chad,0.350,0.346,0.352,0.352,0.312,0.313
31,38,Chile,0.517,0.523,0.529,0.517,0.519,0.524
32,90,China,0.484,0.492,0.500,0.507,0.515,0.521
33,95,Colombia,0.396,0.327,0.397,0.422,0.455,0.444
34,160,Comoros,0.181,,,,0.174,0.172
35,135,Congo,0.450,0.401,0.409,0.412,0.477,0.477
36,176,Congo (Democratic Republic of the),0.204,0.168,0.172,0.189,0.203,0.208
37,66,Costa Rica,0.483,0.487,0.459,0.488,0.489,0.492
38,45,Croatia,0.575,0.578,0.576,0.657,0.659,0.660
39,33,Cyprus,0.754,0.781,0.747,0.728,0.726,0.722
40,28,Czech Republic,0.737,0.762,0.753,0.747,0.752,0.757
41,171,Côte d'Ivoire,0.392,0.317,0.325,0.362,0.373,0.379
42,5,Denmark,0.815,0.826,0.819,0.798,0.788,0.789
43,172,Djibouti,0.391,0.395,0.397,0.401,0.406,0.410
44,99,Dominican Republic,0.478,0.470,0.444,0.505,0.504,0.527
45,89,Ecuador,0.523,0.424,0.427,0.477,0.488,0.492
46,111,Egypt,0.584,0.594,0.595,0.594,0.594,0.444
47,117,El Salvador,0.436,0.448,0.448,0.431,0.432,0.488
48,30,Estonia,0.665,0.701,0.683,0.690,0.683,0.684
49,174,Ethiopia,0.284,0.294,0.300,0.353,0.363,0.372
50,91,Fiji,,,,0.508,0.513,0.516
51,23,Finland,0.784,0.811,0.802,0.804,0.803,0.796
52,21,France,0.771,0.773,0.777,0.769,0.772,0.752
53,109,Gabon,0.587,0.588,0.599,0.618,0.630,0.631
54,173,Gambia,0.282,,,0.303,0.300,0.302
55,70,Georgia,0.468,0.498,0.488,0.492,0.516,0.514
