,HDI Rank,Country,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,0.247,0.297,0.300,0.404,0.408,0.402
3,75,Albania,0.780,0.780,0.783,0.798,0.801,0.803
4,83,Algeria,0.679,0.711,0.714,0.699,0.702,0.689
5,150,Angola,0.219,0.258,0.261,0.264,0.267,0.270
6,62,Antigua and Barbuda,,,,0.791,0.794,0.793
7,45,Argentina,0.766,0.775,0.777,0.783,0.786,0.782
8,84,Armenia,0.707,0.711,0.713,0.733,0.735,0.759
9,2,Australia,0.906,0.908,0.910,0.917,0.920,0.921
10,24,Austria,0.890,0.896,0.899,0.907,0.910,0.913
11,78,Azerbaijan,0.592,0.618,0.619,0.611,0.612,0.613
12,58,Bahamas,0.761,0.753,0.755,0.770,0.772,0.774
13,47,Bahrain,0.792,0.811,0.813,0.814,0.816,0.818
14,139,Bangladesh,0.575,0.596,0.601,0.630,0.634,0.639
15,54,Barbados,0.779,0.770,0.772,0.784,0.786,0.791
16,52,Belarus,0.705,0.721,0.725,0.733,0.736,0.746
17,22,Belgium,0.881,0.886,0.889,0.896,0.899,0.901
18,103,Belize,0.670,0.672,0.673,0.680,0.682,0.681
19,167,Benin,0.360,0.358,0.360,0.381,0.384,0.385
20,132,Bhutan,,0.565,0.569,0.588,0.592,0.608
21,118,Bolivia (Plurinational State of),0.520,0.541,0.547,0.557,0.561,0.532
22,81,Bosnia and Herzegovina,0.780,0.779,0.781,0.809,0.811,0.813
23,108,Botswana,0.495,0.512,0.515,0.533,0.535,0.541
24,79,Brazil,0.684,0.706,0.710,0.713,0.717,0.721
25,30,Brunei Darussalam,0.838,0.839,0.844,0.861,0.865,0.868
26,56,Bulgaria,0.746,0.762,0.765,0.766,0.768,0.770
27,185,Burkina Faso,0.317,0.337,0.340,0.347,0.351,0.378
28,184,Burundi,0.280,0.296,0.300,0.315,0.318,0.338
29,122,Cabo Verde,0.679,0.710,0.712,0.719,0.722,0.713
30,143,Cambodia,0.477,0.515,0.520,0.551,0.556,0.603
31,153,Cameroon,0.288,0.300,0.304,0.327,0.331,0.335
32,10,Canada,0.895,0.898,0.901,0.908,0.910,0.912
33,188,Central African Republic,0.214,0.236,0.242,0.250,0.256,0.263
34,186,Chad,0.209,0.224,0.228,0.259,0.262,0.264
35,38,Chile,0.865,0.873,0.877,0.888,0.893,0.881
36,90,China,0.714,0.734,0.737,0.771,0.774,0.784
37,95,Colombia,0.696,0.710,0.713,0.717,0.719,0.715
38,160,Comoros,0.470,0.438,0.442,0.435,0.438,0.463
39,135,Congo,0.350,0.389,0.397,0.411,0.417,0.455
40,176,Congo (Democratic Republic of the),0.268,0.288,0.291,0.295,0.298,0.366
41,66,Costa Rica,0.829,0.836,0.838,0.845,0.847,0.842
42,45,Croatia,0.818,0.825,0.828,0.833,0.836,0.844
43,68,Cuba,,0.860,0.861,0.865,0.867,0.866
44,33,Cyprus,0.867,0.879,0.882,0.889,0.892,0.891
45,28,Czech Republic,0.849,0.856,0.860,0.865,0.868,0.873
46,171,Côte d'Ivoire,0.276,0.292,0.295,0.287,0.290,0.296
47,5,Denmark,0.869,0.876,0.880,0.887,0.889,0.894
48,172,Djibouti,0.367,0.397,0.401,0.433,0.436,0.439
49,99,Dominican Republic,0.658,0.684,0.686,0.681,0.684,0.687
50,89,Ecuador,0.718,0.730,0.733,0.742,0.745,0.733
51,111,Egypt,0.621,0.670,0.672,0.679,0.681,0.684
52,117,El Salvador,0.667,0.681,0.685,0.694,0.697,0.707
53,135,Equatorial Guinea,0.286,0.306,0.309,0.319,0.322,0.359
54,179,Eritrea,,0.476,0.482,0.501,0.506,0.503
55,30,Estonia,0.783,0.806,0.813,0.821,0.825,0.835
56,174,Ethiopia,0.368,0.418,0.426,0.467,0.474,0.478
57,91,Fiji,0.653,0.662,0.664,0.672,0.675,0.677
58,23,Finland,0.886,0.890,0.893,0.900,0.903,0.906
59,21,France,0.902,0.907,0.910,0.915,0.919,0.921
60,109,Gabon,0.442,0.475,0.481,0.486,0.492,0.500
61,173,Gambia,0.372,0.402,0.404,0.401,0.403,0.428
62,70,Georgia,0.675,0.710,0.713,0.733,0.736,0.759
63,4,Germany,0.886,0.892,0.895,0.900,0.902,0.905
64,139,Ghana,0.377,0.456,0.457,0.438,0.441,0.442
65,29,Greece,0.888,0.884,0.886,0.896,0.899,0.905
66,79,Grenada,,0.735,0.738,0.750,0.753,0.752
67,125,Guatemala,0.623,0.640,0.643,0.656,0.658,0.665
68,183,Guinea,0.310,0.326,0.332,0.351,0.356,0.390
69,178,Guinea-Bissau,0.247,0.262,0.265,0.293,0.296,0.302
70,127,Guyana,0.530,0.556,0.557,0.576,0.577,0.568
71,163,Haiti,0.426,0.443,0.447,0.471,0.475,0.459
72,130,Honduras,0.647,0.668,0.670,0.676,0.678,0.660
73,12,"Hong Kong, China (SAR)",0.931,0.946,0.950,0.954,0.957,0.960
74,43,Hungary,0.782,0.793,0.796,0.801,0.803,0.807
75,9,Iceland,0.918,0.925,0.928,0.933,0.936,0.937
76,131,India,0.491,0.526,0.530,0.550,0.554,0.565
77,113,Indonesia,0.616,0.619,0.621,0.626,0.629,0.630
78,69,Iran (Islamic Republic of),0.687,0.702,0.707,0.742,0.746,0.765
79,121,Iraq,,0.597,0.600,0.624,0.626,0.616
80,8,Ireland,0.883,0.888,0.891,0.899,0.902,0.904
81,19,Israel,0.900,0.912,0.916,0.920,0.924,0.925
82,26,Italy,0.916,0.923,0.927,0.935,0.938,0.945
83,94,Jamaica,0.703,0.718,0.721,0.726,0.728,0.756
84,17,Japan,0.931,0.937,0.939,0.944,0.946,0.949
