,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,80.0,59.0,73.0,50.0,38.0,36.0,41.0,40.0,34.0
3,75,Albania,12.0,9.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0
4,83,Algeria,17.0,11.0,20.0,17.0,5.0,5.0,5.0,5.0,5.0
5,32,Andorra,,,3.0,6.0,1.0,1.0,2.0,5.0,4.0
6,150,Angola,62.0,54.0,59.0,55.0,7.0,12.0,3.0,9.0,15.0
7,62,Antigua and Barbuda,11.0,7.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0
8,45,Argentina,7.0,1.0,9.0,1.0,2.0,5.0,6.0,6.0,5.0
9,84,Armenia,,4.0,8.0,6.0,3.0,3.0,3.0,3.0,3.0
10,2,Australia,14.0,13.0,9.0,6.0,6.0,6.0,6.0,6.0,7.0
11,24,Austria,40.0,40.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0
12,78,Azerbaijan,,36.0,33.0,33.0,11.0,8.0,6.0,2.0,2.0
13,58,Bahamas,14.0,10.0,7.0,15.0,6.0,10.0,9.0,8.0,8.0
14,47,Bahrain,13.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
15,139,Bangladesh,35.0,21.0,26.0,12.0,12.0,11.0,11.0,11.0,11.0
16,54,Barbados,13.0,8.0,6.0,7.0,15.0,7.0,10.0,13.0,5.0
17,52,Belarus,,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
18,22,Belgium,15.0,15.0,18.0,12.0,5.0,5.0,4.0,4.0,4.0
19,103,Belize,14.0,17.0,4.0,5.0,2.0,2.0,4.0,1.0,5.0
20,167,Benin,21.0,35.0,30.0,39.0,32.0,30.0,30.0,37.0,37.0
21,132,Bhutan,7.0,15.0,22.0,7.0,5.0,5.0,5.0,6.0,3.0
22,118,Bolivia (Plurinational State of),47.0,42.0,16.0,11.0,12.0,4.0,4.0,5.0,5.0
23,81,Bosnia and Herzegovina,,47.0,20.0,10.0,9.0,11.0,6.0,8.0,11.0
24,108,Botswana,13.0,11.0,9.0,7.0,4.0,3.0,3.0,3.0,3.0
25,79,Brazil,22.0,13.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
26,30,Brunei Darussalam,1.0,1.0,1.0,2.0,6.0,9.0,1.0,4.0,3.0
27,56,Bulgaria,1.0,6.0,11.0,4.0,3.0,5.0,6.0,5.0,7.0
28,185,Burkina Faso,21.0,57.0,52.0,16.0,8.0,11.0,13.0,18.0,12.0
29,184,Burundi,26.0,20.0,28.0,13.0,8.0,7.0,7.0,2.0,6.0
30,122,Cabo Verde,21.0,15.0,14.0,8.0,3.0,4.0,9.0,9.0,7.0
31,143,Cambodia,66.0,38.0,35.0,21.0,7.0,7.0,7.0,10.0,6.0
32,153,Cameroon,44.0,54.0,51.0,32.0,21.0,24.0,18.0,17.0,20.0
33,10,Canada,11.0,4.0,4.0,6.0,5.0,5.0,2.0,5.0,5.0
34,188,Central African Republic,18.0,54.0,64.0,38.0,47.0,51.0,51.0,75.0,51.0
35,186,Chad,68.0,74.0,72.0,73.0,54.0,46.0,36.0,41.0,46.0
36,38,Chile,3.0,3.0,3.0,10.0,7.0,9.0,10.0,10.0,6.0
37,90,China,2.0,20.0,16.0,14.0,1.0,1.0,1.0,1.0,1.0
38,95,Colombia,18.0,5.0,12.0,4.0,12.0,12.0,6.0,8.0,9.0
39,160,Comoros,13.0,31.0,30.0,33.0,28.0,21.0,15.0,18.0,20.0
40,135,Congo,25.0,62.0,66.0,46.0,25.0,20.0,25.0,20.0,20.0
