,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014
2,75,Albania,,,,2191,2469,3156,2857,3341
3,83,Algeria,520,866,1443,2070,2395,2634,2733,2301
4,32,Andorra,,2949,2418,1808,2242,2238,2328,2363
5,150,Angola,9,51,210,425,481,528,650,595
6,62,Antigua and Barbuda,220,207,245,230,241,247,243,249
7,45,Argentina,2289,2909,3823,5325,5705,5587,5246,5931
8,84,Armenia,12,45,319,684,758,963,1084,1204
9,2,Australia,3726,4931,5499,5790,5771,6032,6382,6868
10,24,Austria,17173,17982,19952,22004,23012,24151,24813,25291
11,78,Azerbaijan,,,693,1280,1562,1986,2130,2160
12,58,Bahamas,1598,1544,1608,1370,1346,1422,1364,1427
13,47,Bahrain,2311,3869,6313,11952,6732,8062,9163,10452
14,139,Bangladesh,156,199,208,303,155,125,148,125
15,54,Barbados,442,545,548,532,568,536,509,521
16,52,Belarus,161,60,91,120,116,119,137,137
17,22,Belgium,5560,6457,6747,7186,7494,7560,7684,7887
18,103,Belize,131,196,237,242,250,277,294,321
19,167,Benin,138,96,176,199,209,220,231,242
20,132,Bhutan,5,8,14,41,66,105,116,134
21,118,Bolivia (Plurinational State of),284,319,524,679,711,798,798,871
22,81,Bosnia and Herzegovina,,171,217,365,392,439,529,536
23,108,Botswana,521,1104,1474,1973,,1614,1544,
24,79,Brazil,1991,5313,5358,5161,5433,5677,5813,6430
25,30,Brunei Darussalam,,,126,214,242,209,225,201
26,56,Bulgaria,3466,2785,4837,6047,6328,6541,6898,7311
27,185,Burkina Faso,124,126,245,274,238,237,218,191
28,184,Burundi,34,29,148,142,,,,
29,122,Cabo Verde,28,115,198,336,428,482,503,494
30,143,Cambodia,220,466,1422,2508,2882,3584,4210,4503
31,153,Cameroon,,,,573,604,817,912,
32,10,Canada,16932,19627,18771,16219,16014,16344,16059,16537
33,188,Central African Republic,26,11,12,54,65,71,,
34,186,Chad,,,,71,77,86,100,122
35,38,Chile,1540,1742,2027,2801,3137,3554,3576,3674
36,90,China,20034,31229,46809,55664,57581,57725,55686,55622
37,95,Colombia,1399,557,933,1405,2042,2175,2288,2565
38,160,Comoros,23,24,26,15,19,,,
39,135,Congo,37,19,35,194,218,256,343,373
40,176,Congo (Democratic Republic of the),35,103,61,81,186,167,191,
41,66,Costa Rica,785,1088,1679,2100,2192,2343,2428,2527
42,45,Croatia,1485,5831,7743,9111,9927,10369,10948,11623
43,68,Cuba,742,1741,2261,2507,2688,2815,2829,2970
44,33,Cyprus,2100,2686,2470,2173,2392,2465,2405,2441
45,28,Czech Republic,,,9404,8629,9019,10123,10300,10617
46,171,Côte d'Ivoire,,,,252,270,289,380,471
47,5,Denmark,2124,3535,9178,8744,7864,8443,8557,10267
48,172,Djibouti,21,20,30,51,56,60,63,
49,96,Dominica,60,70,79,77,76,79,78,81
50,99,Dominican Republic,1776,2978,3691,4125,4306,4563,4690,5141
51,89,Ecuador,440,627,860,1047,1141,1272,1364,1557
52,111,Egypt,2871,5116,8244,14051,9497,11196,9174,9628
53,117,El Salvador,235,795,1127,1150,1184,1255,1283,1345
54,179,Eritrea,315,70,83,84,107,,,
55,30,Estonia,530,1220,1917,2372,2665,2744,2873,2918
56,174,Ethiopia,103,136,227,468,523,597,681,770
57,91,Fiji,318,294,545,632,675,661,658,693
58,23,Finland,,2714,3140,3670,4192,4226,,
59,21,France,60033,77190,74988,76647,80499,81980,83634,83767
60,109,Gabon,125,155,269,,,,,
61,173,Gambia,45,79,108,91,106,157,171,156
62,70,Georgia,85,387,560,2032,2822,4428,5392,5516
63,4,Germany,14847,18983,21500,26875,28374,30411,31545,32999
64,139,Ghana,286,399,429,931,821,903,994,1093
65,29,Greece,10130,13096,14765,15007,16427,15518,17920,22033
66,79,Grenada,108,129,99,110,118,116,116,134
67,125,Guatemala,,,,1219,1225,1305,1331,1455
68,183,Guinea,,33,45,12,131,96,56,33
69,178,Guinea-Bissau,,,5,,,,,
70,127,Guyana,106,105,117,152,157,177,158,206
71,163,Haiti,145,140,112,255,349,349,420,465
72,130,Honduras,271,471,673,863,871,895,863,868
73,12,"Hong Kong, China (SAR)",,8814,14773,20085,22316,23770,25661,27770
74,43,Hungary,,,9979,9510,10250,10353,10624,12140
75,9,Iceland,190,303,374,489,566,673,807,998
76,131,India,2124,2649,3919,5776,6309,6578,6968,7679
77,113,Indonesia,4324,5064,5002,7003,7650,8044,8802,9435
78,69,Iran (Islamic Republic of),489,1342,1889,2938,3354,3834,4769,4967
79,121,Iraq,61,78,,1518,1510,1111,892,
80,8,Ireland,4818,6646,7333,7134,7630,7550,8260,8813
81,19,Israel,2215,2417,1903,2803,2820,2886,2962,2927
82,26,Italy,31052,41181,36513,43626,46119,46360,47704,48576
83,94,Jamaica,1147,1323,1479,1922,1952,1986,2008,2080
84,17,Japan,3345,4757,6728,8611,6219,8358,10364,13413
85,86,Jordan,1075,1580,2987,4207,3960,4162,3945,3990
86,56,Kazakhstan,,1471,3143,2991,4093,4437,4926,4560
87,146,Kenya,918,899,1399,1470,1750,1619,1434,1261
88,137,Kiribati,4,5,4,5,5,5,6,
89,18,Korea (Republic of),3753,5322,6023,8798,9795,11140,12176,14202
90,51,Kuwait,72,78,104,207,269,300,307,
91,120,Kyrgyzstan,36,59,319,855,2278,2406,3076,2849
92,138,Lao People's Democratic Republic,60,191,672,1670,1894,2291,2700,3164
93,44,Latvia,539,509,1116,1373,1493,1435,1536,1843
94,76,Lebanon,450,742,1140,2168,1655,1366,1274,1355
95,160,Lesotho,209,302,304,426,398,423,433,1079
96,102,Libya,,,81,,,,,
97,15,Liechtenstein,59,62,50,50,53,54,52,54
98,37,Lithuania,650,1083,2000,1507,1775,1900,2012,2063
99,20,Luxembourg,768,852,913,805,870,950,945,1038
100,158,Madagascar,75,160,277,196,225,256,196,222
101,170,Malawi,192,228,438,746,767,770,795,
102,59,Malaysia,7469,10222,16431,24577,24714,25033,25715,27437
103,105,Maldives,315,467,395,792,931,958,1125,1205
104,175,Mali,42,86,143,169,160,134,142,168
105,33,Malta,1116,1216,1171,1339,1415,1443,1582,1690
106,0,Marshall Islands,6,5,9,5,5,5,,
107,157,Mauritania,,30,,,,,,
