,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014
2,75,Albania,,,,,,,,
3,83,Algeria,,,,,,,10.6,
4,45,Argentina,,27.4,32.9,,,,,
5,84,Armenia,,,,,,,,
6,2,Australia,,32.9,35.0,,,,,
7,24,Austria,26.4,30.1,26.8,28.9,27.2,,,
8,78,Azerbaijan,,,47.7,,,,,
9,58,Bahamas,30.3,,45.8,,51.6,,,
10,139,Bangladesh,,,,,5.4,,,
11,54,Barbados,38.7,35.1,,46.2,46.7,,48.2,
12,52,Belarus,,,,,,,,
13,22,Belgium,31.5,32.1,31.8,34.1,29.9,,,
14,103,Belize,30.1,,41.3,,,,,
15,132,Bhutan,,,14.4,49.2,26.7,27.6,17.0,
16,118,Bolivia (Plurinational State of),28.3,38.6,32.0,,,,,
17,108,Botswana,,35.4,,38.6,,,,
18,79,Brazil,,31.2,35.4,,36.4,37.3,37.5,
19,30,Brunei Darussalam,,,,,,,,33.7
20,56,Bulgaria,,29.8,34.0,34.0,36.9,,,
21,185,Burkina Faso,,,,,,,,
22,143,Cambodia,,12.6,,,,,,
23,10,Canada,34.4,35.5,35.9,36.7,37.0,36.3,35.8,
24,90,China,,,16.8,,,,,
25,95,Colombia,,,,53.1,,,,
26,66,Costa Rica,,32.9,24.9,29.7,35.2,,,
27,45,Croatia,,24.7,24.0,25.8,24.8,,,
28,33,Cyprus,,14.8,14.8,13.8,13.6,,,
29,28,Czech Republic,26.8,24.1,29.6,27.7,25.8,,,
30,5,Denmark,19.2,24.2,24.2,22.7,27.8,,,
31,99,Dominican Republic,,30.6,32.4,34.1,42.4,38.6,37.0,
32,89,Ecuador,,29.3,34.6,,40.7,39.7,,
33,111,Egypt,,10.1,10.4,13.9,13.5,9.7,7.1,
34,117,El Salvador,25.7,26.1,27.3,29.0,,37.1,,
35,30,Estonia,36.6,40.4,37.2,36.1,36.2,,,
36,174,Ethiopia,,,20.1,,19.9,22.1,,
37,91,Fiji,,,,,,,,
38,23,Finland,,26.6,29.9,30.4,32.0,,,
39,21,France,36.4,35.0,37.6,38.5,39.4,,,
40,70,Georgia,,19.0,26.3,,,,,
41,4,Germany,26.0,27.1,28.2,29.9,30.3,,,
42,29,Greece,22.0,25.1,26.6,30.2,23.0,,,
43,12,"Hong Kong, China (SAR)",19.4,24.2,27.1,30.5,31.8,,,
44,43,Hungary,33.8,33.5,34.8,36.5,40.4,,,
45,9,Iceland,28.3,29.0,27.4,34.3,40.0,,,
46,131,India,,14.0,15.2,13.8,,,,
47,113,Indonesia,,,,21.2,,,23.2,
48,69,Iran (Islamic Republic of),,,16.2,,,,,
49,8,Ireland,27.6,26.3,30.3,39.1,33.3,,,
50,19,Israel,19.5,27.2,27.6,,,,,
51,26,Italy,15.7,14.3,32.5,32.8,25.0,,,
52,56,Kazakhstan,,,35.6,,,,,
53,137,Kiribati,,,27.3,36.5,,,,
54,18,Korea (Republic of),4.4,4.9,7.8,,,,,
55,51,Kuwait,,,13.9,,,,,
56,120,Kyrgyzstan,,,30.1,,,,,
57,138,Lao People's Democratic Republic,6.1,,,,,,,
