,HDI Rank,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,49.9,50.6,51.4,52.0,52.6,53.1,53.6,54.0,54.4,54.8,55.1,55.5,55.8,56.2,56.6,57.0,57.4,57.8,58.2,58.6,59.0,59.3,59.7,60.0,60.4,60.7
3,75,Albania,71.8,71.8,71.8,71.8,72.0,72.2,72.5,72.9,73.3,73.7,74.2,74.6,75.0,75.4,75.7,75.9,76.1,76.3,76.5,76.7,76.9,77.1,77.3,77.6,77.8,78.0
4,83,Algeria,66.7,67.0,67.2,67.5,67.8,68.1,68.5,68.9,69.3,69.8,70.2,70.6,71.0,71.4,71.8,72.2,72.5,72.9,73.2,73.5,73.8,74.1,74.3,74.6,74.8,75.0
5,32,Andorra,76.5,76.7,76.9,77.0,77.2,77.4,77.6,77.9,78.2,78.5,78.9,79.2,79.5,79.8,80.0,80.2,80.3,80.5,80.6,80.7,80.8,80.9,81.1,81.2,81.3 hh,81.5 hh
6,150,Angola,41.2,41.2,41.3,41.5,41.7,42.1,42.5,43.1,43.7,44.5,45.2,46.0,46.7,47.4,48.0,48.6,49.0,49.5,49.9,50.3,50.7,51.1,51.5,51.9,52.3,52.7
7,62,Antigua and Barbuda,71.4,71.6,71.8,72.0,72.2,72.4,72.7,72.9,73.1,73.3,73.5,73.8,74.0,74.2,74.4,74.5,74.7,74.9,75.1,75.2,75.4,75.6,75.7,75.9,76.1,76.2
8,45,Argentina,71.6,71.8,72.0,72.3,72.5,72.7,72.9,73.2,73.4,73.6,73.8,74.0,74.2,74.4,74.6,74.8,74.9,75.1,75.3,75.4,75.6,75.8,75.9,76.1,76.3,76.5
9,84,Armenia,67.9,67.9,68.0,68.2,68.5,68.9,69.4,69.9,70.4,71.0,71.5,72.0,72.4,72.8,73.2,73.5,73.7,73.9,74.0,74.2,74.2,74.3,74.4,74.6,74.7,74.9
10,2,Australia,76.8,77.1,77.4,77.6,77.9,78.1,78.4,78.6,78.9,79.2,79.5,79.8,80.1,80.3,80.6,80.9,81.1,81.3,81.5,81.6,81.8,81.9,82.1,82.2,82.4,82.5
11,24,Austria,75.5,75.7,75.9,76.2,76.4,76.7,77.0,77.2,77.5,77.8,78.1,78.4,78.7,78.9,79.2,79.5,79.7,79.9,80.2,80.4,80.6,80.8,81.0,81.2,81.4,81.6
12,78,Azerbaijan,64.9,64.5,64.2,64.2,64.3,64.6,65.0,65.5,66.0,66.4,66.9,67.2,67.7,68.1,68.6,69.0,69.5,69.8,70.1,70.4,70.5,70.6,70.7,70.7,70.8,70.9
13,58,Bahamas,70.7,70.9,71.0,71.1,71.2,71.4,71.5,71.6,71.8,72.1,72.4,72.7,73.0,73.3,73.5,73.8,74.0,74.2,74.4,74.6,74.8,74.9,75.1,75.2,75.4,75.6
14,47,Bahrain,72.4,72.6,72.8,73.0,73.2,73.4,73.7,73.9,74.1,74.3,74.5,74.7,74.9,75.0,75.2,75.3,75.5,75.6,75.8,75.9,76.0,76.2,76.3,76.4,76.6,76.7
15,139,Bangladesh,58.4,59.0,59.7,60.4,61.1,61.9,62.6,63.4,64.1,64.7,65.3,65.9,66.5,67.0,67.5,68.0,68.4,68.8,69.3,69.7,70.1,70.5,70.8,71.2,71.6,72.0
16,54,Barbados,71.4,71.6,71.8,72.1,72.3,72.5,72.7,72.9,73.0,73.2,73.4,73.5,73.7,73.8,74.0,74.2,74.3,74.5,74.6,74.8,75.0,75.1,75.3,75.5,75.6,75.8
17,52,Belarus,70.6,70.2,69.7,69.2,68.7,68.3,67.9,67.6,67.4,67.4,67.4,67.5,67.7,67.9,68.1,68.4,68.8,69.1,69.5,69.9,70.2,70.6,70.9,71.1,71.3,71.5
18,22,Belgium,75.8,76.0,76.2,76.4,76.6,76.8,77.0,77.2,77.4,77.6,77.8,78.0,78.2,78.4,78.6,78.9,79.1,79.4,79.6,79.8,80.0,80.2,80.4,80.6,80.8,81.0
19,103,Belize,71.2,71.0,70.7,70.3,69.9,69.5,69.1,68.8,68.6,68.4,68.3,68.4,68.5,68.6,68.8,69.0,69.2,69.4,69.5,69.6,69.7,69.7,69.8,69.9,70.0,70.1
