,HDI Rank,Country,
2,169,Afghanistan,90
3,75,Albania,365
4,83,Algeria,98
5,150,Angola,90
6,62,Antigua and Barbuda,91
7,45,Argentina,90
8,84,Armenia,140
9,24,Austria,112
10,78,Azerbaijan,126
11,58,Bahamas,91
12,47,Bahrain,60
13,139,Bangladesh,112
14,54,Barbados,84
15,52,Belarus,126
16,22,Belgium,105
17,103,Belize,98
18,167,Benin,98
19,132,Bhutan,56
20,118,Bolivia (Plurinational State of),90
21,81,Bosnia and Herzegovina,365
22,108,Botswana,84
23,79,Brazil,120
24,30,Brunei Darussalam,91
25,56,Bulgaria,410
26,185,Burkina Faso,98
27,184,Burundi,84
28,122,Cabo Verde,60
29,143,Cambodia,90
30,153,Cameroon,98
31,10,Canada,105
32,188,Central African Republic,98
33,186,Chad,98
34,38,Chile,126
35,90,China,128
36,95,Colombia,98
37,160,Comoros,98
38,135,Congo,105
39,176,Congo (Democratic Republic of the),98
40,66,Costa Rica,120
41,45,Croatia,208
42,33,Cyprus,126
43,28,Czech Republic,196
44,171,Côte d'Ivoire,98
45,5,Denmark,126
46,172,Djibouti,98
47,96,Dominica,84
48,99,Dominican Republic,84
49,89,Ecuador,84
50,111,Egypt,90
51,117,El Salvador,84
52,135,Equatorial Guinea,84
53,179,Eritrea,60
54,30,Estonia,140
55,174,Ethiopia,90
56,91,Fiji,84
57,23,Finland,147
58,21,France,112
59,109,Gabon,98
60,173,Gambia,180
61,70,Georgia,183
62,4,Germany,98
63,139,Ghana,84
64,29,Greece,119
65,79,Grenada,90
66,125,Guatemala,84
67,183,Guinea,98
68,178,Guinea-Bissau,60
69,127,Guyana,91
70,163,Haiti,42
71,130,Honduras,84
72,12,"Hong Kong, China (SAR)",70
73,43,Hungary,168
74,9,Iceland,90
75,131,India,84
76,113,Indonesia,90
77,69,Iran (Islamic Republic of),270
78,121,Iraq,72
79,8,Ireland,182
80,19,Israel,98
81,26,Italy,150
82,94,Jamaica,56
83,17,Japan,98
84,86,Jordan,70
85,56,Kazakhstan,126
86,146,Kenya,90
87,137,Kiribati,84
88,18,Korea (Republic of),90
89,51,Kuwait,70
90,120,Kyrgyzstan,126
91,138,Lao People's Democratic Republic,105
92,44,Latvia,112
93,76,Lebanon,70
94,160,Lesotho,84
95,177,Liberia,90
96,102,Libya,98
97,37,Lithuania,126
98,20,Luxembourg,112
99,158,Madagascar,98
100,170,Malawi,56
101,59,Malaysia,60
102,105,Maldives,60
103,175,Mali,98
104,33,Malta,126
105,157,Mauritania,98
106,64,Mauritius,84
107,77,Mexico,84
108,107,Moldova (Republic of),126
109,92,Mongolia,120
110,48,Montenegro,45
111,123,Morocco,98
112,181,Mozambique,60
113,145,Myanmar,98
114,125,Namibia,84
115,144,Nepal,52
116,7,Netherlands,112
117,13,New Zealand,112
118,124,Nicaragua,84
119,187,Niger,98
120,152,Nigeria,84
121,52,Oman,50
122,147,Pakistan,84
123,114,"Palestine, State of",70
124,60,Panama,98
125,154,Papua New Guinea,0
126,110,Paraguay,63
127,87,Peru,90
128,116,Philippines,60
129,36,Poland,182
130,33,Qatar,50
131,50,Romania,126
132,49,Russian Federation,140
133,159,Rwanda,84
134,74,Saint Kitts and Nevis,91
135,92,Saint Lucia,91
136,99,Saint Vincent and the Grenadines,91
137,104,Samoa,28
138,0,San Marino,150
139,142,Sao Tome and Principe,90
140,38,Saudi Arabia,70
141,162,Senegal,98
142,66,Serbia,135
143,63,Seychelles,98
144,179,Sierra Leone,84
145,5,Singapore,105
146,40,Slovakia,238
147,25,Slovenia,105
148,156,Solomon Islands,84
149,119,South Africa,120
150,181,South Sudan,56
151,27,Spain,112
152,73,Sri Lanka,84
153,165,Sudan,56
154,97,Suriname,0
155,148,Swaziland,14
156,2,Switzerland,98
157,149,Syrian Arab Republic,120
158,129,Tajikistan,140
159,151,Tanzania (United Republic of),84
160,87,Thailand,90
161,82,The former Yugoslav Republic of Macedonia,270
162,133,Timor-Leste,84
163,166,Togo,98
164,101,Tonga,0
165,65,Trinidad and Tobago,98
166,97,Tunisia,30
167,71,Turkey,112
168,163,Uganda,84
169,84,Ukraine,126
170,42,United Arab Emirates,45
171,16,United Kingdom,14
172,54,Uruguay,98
173,105,Uzbekistan,126
174,134,Vanuatu,84
175,71,Venezuela (Bolivarian Republic of),182
176,115,Viet Nam,180
177,168,Yemen,70
178,139,Zambia,84
179,154,Zimbabwe,98
180,,,
