,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,,,,1.7,1.9,1.7,1.3,1.3,1.6
3,75,Albania,6.7,0.9,0.6,0.7,1.5,2.7,3.1,3.6,3.8
4,83,Algeria,12.1,14.5,23.5,31.5,19.9,20.9,19.4,18.0,14.7
5,150,Angola,39.5,59.9,55.2,43.2,38.8,35.3,28.9,24.5,
6,45,Argentina,2.9,1.7,3.1,8.6,3.9,4.0,3.4,2.9,2.7
7,84,Armenia,,,0.2,0.5,1.8,2.5,2.3,1.8,1.8
8,2,Australia,2.4,1.5,2.4,3.1,4.8,5.1,3.8,3.9,3.3
9,24,Austria,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1
10,78,Azerbaijan,,,43.3,35.4,35.7,33.6,29.4,25.8,19.6
11,58,Bahamas,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
12,47,Bahrain,42.4,19.6,26.7,33.6,24.4,29.9,25.1,26.4,
13,139,Bangladesh,2.4,2.1,2.1,3.5,3.5,3.4,3.0,2.7,2.6
14,54,Barbados,0.5,0.3,0.5,0.6,0.6,0.8,0.7,,
15,52,Belarus,,1.1,2.1,1.6,1.1,1.3,1.6,1.5,1.2
16,22,Belgium,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,103,Belize,0.0,0.0,0.0,0.0,7.3,8.3,6.2,5.2,
18,167,Benin,0.7,0.5,0.5,0.7,1.3,1.3,1.6,1.4,1.4
19,132,Bhutan,17.4,17.6,11.1,7.3,16.4,15.2,13.3,10.8,16.9
20,118,Bolivia (Plurinational State of),5.9,3.1,4.8,19.7,12.6,14.9,13.6,13.3,9.5
21,108,Botswana,0.8,0.3,0.7,2.8,2.6,1.9,1.8,2.0,1.3
22,79,Brazil,2.5,1.5,2.3,3.7,2.9,3.2,3.1,2.9,2.5
23,30,Brunei Darussalam,28.1,20.5,33.4,47.0,,,27.1,,
24,56,Bulgaria,0.3,0.8,0.5,0.8,0.9,1.3,1.1,1.0,0.8
25,185,Burkina Faso,1.2,4.3,0.8,3.2,9.4,13.2,13.2,11.2,10.9
26,184,Burundi,12.8,23.6,14.5,26.4,23.7,23.3,16.2,15.6,13.8
27,122,Cabo Verde,0.3,0.4,0.2,0.3,0.3,0.3,0.4,0.4,0.5
28,143,Cambodia,,8.0,1.9,1.6,2.4,2.6,2.3,1.8,2.3
29,153,Cameroon,7.8,5.2,9.7,7.7,6.1,6.4,6.7,6.3,5.6
30,10,Canada,2.1,2.0,3.7,4.3,2.4,2.9,2.5,2.3,2.1
31,188,Central African Republic,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
