,HDI Rank,Country,1990,1995,2000,2005,2010,2015
2,169,Afghanistan,-25.1,30.9,-4.2,7.3,-5.2,3.1 ggg
3,75,Albania,-0.0,-27.8,-11.5,-11.3,-16.9,-6.3 ggg
4,83,Algeria,-0.8,-0.9,-1.1,-1.3,-2.1,-0.8 ggg
5,150,Angola,-2.9,2.4,-1.8,2.1,0.9,0.9 ggg
6,62,Antigua and Barbuda,-23.9,8.0,12.1,-0.7,-0.2,-0.1 ggg
7,45,Argentina,1.0,0.2,-0.4,-0.5,-0.4,0.1 ggg
8,84,Armenia,-3.4,-29.3,-14.2,-9.5,-9.1,-0.7 ggg
9,2,Australia,8.1,4.0,4.1,5.8,10.7,8.9 ggg
10,24,Austria,2.9,5.8,1.6,4.4,3.7,3.5 ggg
11,78,Azerbaijan,-3.4,-2.8,-3.0,0.3,-2.2,-0.3 ggg
12,58,Bahamas,-0.9,-0.3,-2.1,9.9,8.3,5.2 ggg
13,47,Bahrain,5.6,2.1,14.0,34.8,59.5,4.5 ggg
14,139,Bangladesh,-0.4,-1.5,-1.2,-2.5,-4.8,-2.8 ggg
15,54,Barbados,-3.2,-2.5,-1.0,-0.1,1.5,1.5 ggg
16,52,Belarus,-0.1,-1.2,1.1,-0.1,1.3,2.5 ggg
17,22,Belgium,0.9,2.3,1.3,4.8,5.0,4.9 ggg
18,103,Belize,-6.1,-9.1,10.5,4.4,5.8,4.5 ggg
19,167,Benin,-0.4,3.8,-0.9,2.6,1.1,-0.2 ggg
20,132,Bhutan,0.6,-32.9,0.1,11.5,4.9,2.7 ggg
21,118,Bolivia (Plurinational State of),-3.3,-2.5,-2.1,-2.1,-1.8,-1.2 ggg
22,81,Bosnia and Herzegovina,-2.5,-35.6,-8.3,1.8,0.2,-0.1 ggg
23,108,Botswana,0.9,2.4,3.0,2.4,1.9,1.9 ggg
24,79,Brazil,0.0,0.0,0.0,0.0,0.0,0.0 ggg
25,30,Brunei Darussalam,0.2,1.0,1.2,1.3,1.3,1.0 ggg
26,56,Bulgaria,-4.1,-8.3,-2.6,-2.1,-2.2,-1.4 ggg
27,185,Burkina Faso,-4.4,-3.2,-2.5,-2.0,-1.7,-1.5 ggg
28,184,Burundi,-1.7,-8.4,-12.5,3.1,3.8,0.8 ggg
