,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,,,,45.1,40.5,38.1 jj,30.9 jj,24.5 jj,23.3
3,75,Albania,0.5,7.3,8.5,3.8,3.1,3.0 jj,2.9 jj,2.1 jj,2.1
4,83,Algeria,0.6,0.7,0.4,0.4,0.1,0.1 jj,0.1 jj,0.1 jj,0.1
5,150,Angola,4.0,11.5,4.1,1.7,0.3,0.2 jj,0.2 jj,0.3 jj,0.2
6,62,Antigua and Barbuda,1.3,0.5,1.3,0.8,1.7,1.4 jj,0.2 jj,0.2 jj,0.2
7,45,Argentina,0.1,0.1,0.0,0.1,0.0,0.0 jj,0.0 jj,0.0 jj,0.0
8,84,Armenia,,14.8,11.0,3.3,3.5,3.8 jj,2.5 jj,2.4 jj,2.2
9,78,Azerbaijan,,3.9,2.8,1.9,0.3,0.5 jj,0.5 jj,-0.1 jj,0.3
10,58,Bahamas,0.1,0.1,,,,,,,
11,47,Bahrain,3.9,1.7,0.7,,,,,,
12,139,Bangladesh,6.5,3.3,2.1,1.8,1.1,1.1 jj,1.5 jj,1.6 jj,1.3
13,54,Barbados,0.1,-0.1,0.0,-0.0,0.4,,,,
14,52,Belarus,,,,0.2,0.3,0.2 jj,0.2 jj,0.1 jj,0.2
15,103,Belize,7.5,3.0,1.9,1.2,1.9,1.6 jj,1.7 jj,3.3 jj,2.3
16,167,Benin,13.9,13.2,9.5,7.2,10.0,8.7 jj,6.3 jj,7.3 jj,6.3
17,132,Bhutan,16.4,26.8,12.1,11.2,8.7,8.4 jj,9.6 jj,8.0 jj,7.1
18,118,Bolivia (Plurinational State of),11.8,11.0,5.9,7.0,3.8,3.2 jj,2.6 jj,2.4 jj,2.1
19,81,Bosnia and Herzegovina,,59.5,12.1,4.7,2.9,3.3 jj,3.3 jj,2.8 jj,3.4
20,108,Botswana,3.9,1.9,0.6,0.5,1.3,0.8 jj,0.5 jj,0.7 jj,0.6
21,79,Brazil,0.0,0.0,0.0,0.0,0.0,0.0 jj,0.1 jj,0.0 jj,0.0
22,30,Brunei Darussalam,0.1,0.1,,,,,,,
23,185,Burkina Faso,10.6,20.7,6.9,12.7,11.3,9.4 jj,10.7 jj,8.8 jj,9.2
24,184,Burundi,23.5,29.0,10.5,33.1,31.2,24.4 jj,21.2 jj,20.5 jj,16.2
25,122,Cabo Verde,34.1,23.9,17.8,17.3,20.6,14.0 jj,14.6 jj,13.8 jj,12.9
26,143,Cambodia,,16.3,11.2,8.9,6.8,6.5 jj,6.1 jj,5.5 jj,5.1
27,153,Cameroon,4.2,5.4,4.3,2.6,2.3,2.3 jj,2.3 jj,2.6 jj,2.7
28,188,Central African Republic,17.5,15.3,8.4,6.6,13.1,12.1 jj,10.4 jj,13.5 jj,35.9
29,186,Chad,18.0,16.3,9.6,6.8,4.8,3.9 jj,3.9 jj,3.7 jj,2.9
30,38,Chile,0.3,0.2,0.1,0.1,0.1,0.1 jj,0.0 jj,0.0 jj,0.1
31,90,China,0.6,0.5,0.1,0.1,0.0,-0.0 jj,-0.0 jj,-0.0 jj,-0.0
32,95,Colombia,0.2,0.2,0.2,0.4,0.2,0.3 jj,0.2 jj,0.2 jj,0.3
33,160,Comoros,18.0,17.9,9.2,6.0,13.0,9.2 jj,12.5 jj,13.2 jj,11.9
34,135,Congo,9.3,10.2,1.4,35.4,14.6,2.4 jj,1.3 jj,1.4 jj,0.9
35,176,Congo (Democratic Republic of the),,4.0,0.9,16.4,17.7,24.5 jj,11.0 jj,9.5 jj,8.1
36,66,Costa Rica,3.2,0.3,0.1,0.1,0.3,0.1 jj,0.1 jj,0.1 jj,0.1
37,45,Croatia,,0.2,0.3,0.3,0.2,,,,
38,68,Cuba,0.2,0.2,0.1,0.2,0.2,0.1 jj,,,
39,33,Cyprus,0.7,0.2,,,,,,,
40,171,Côte d'Ivoire,7.5,12.1,3.6,0.6,3.5,5.9 jj,10.1 jj,4.3 jj,2.8
41,172,Djibouti,,20.5,12.7,9.6,,,,,
42,96,Dominica,12.2,11.9,5.1,6.2,6.7,5.0 jj,5.4 jj,4.1 jj,3.1
43,99,Dominican Republic,1.5,0.8,0.2,0.3,0.3,0.4 jj,0.4 jj,0.3 jj,0.3
44,89,Ecuador,1.1,0.9,0.9,0.6,0.2,0.2 jj,0.2 jj,0.2 jj,0.2
45,111,Egypt,14.4,3.4,1.4,1.2,0.3,0.2 jj,0.7 jj,2.0 jj,1.2
46,117,El Salvador,7.4,3.1,1.4,1.2,1.3,1.2 jj,1.0 jj,0.7 jj,0.4
47,135,Equatorial Guinea,50.4,28.3,3.1,0.9,1.4,0.3 jj,0.1 jj,0.0 jj,0.0
48,179,Eritrea,,25.3,25.0,32.1,7.7,5.1 jj,,,
49,174,Ethiopia,8.3,11.5,8.4,15.6,11.6,11.0 jj,7.5 jj,8.2 jj,6.5
50,91,Fiji,3.8,2.3,1.7,2.2,2.5,2.2 jj,2.8 jj,2.2 jj,2.1
51,109,Gabon,2.5,3.3,0.3,0.7,0.8,0.5 jj,0.5 jj,0.6 jj,0.6
52,173,Gambia,33.4,5.9,6.6,10.2,12.7,15.1 jj,15.5 jj,13.1 jj,12.1
53,70,Georgia,,8.1,5.3,4.5,5.6,4.2 jj,4.2 jj,4.1 jj,3.4
54,139,Ghana,9.7,10.2,12.4,10.9,5.3,4.7 jj,4.5 jj,2.9 jj,3.1
55,79,Grenada,6.6,4.1,3.4,7.9,4.6,1.6 jj,1.0 jj,1.4 jj,4.5
56,125,Guatemala,2.7,1.4,1.4,1.0,1.0,0.8 jj,0.6 jj,0.9 jj,0.5
57,183,Guinea,11.6,11.5,5.2,7.5,5.1,4.4 jj,6.5 jj,8.2 jj,9.1
58,178,Guinea-Bissau,54.2,49.8,22.7,11.5,14.8,10.8 jj,7.9 jj,10.1 jj,9.8
59,127,Guyana,61.2,15.1,17.5,19.3,7.3,6.2 jj,4.0 jj,3.4 jj,5.2
60,163,Haiti,,,,9.7,45.7,22.4 jj,16.0 jj,13.6 jj,12.3
