,HDI Rank,Country,
2,169,Afghanistan,10.7 dd
3,75,Albania,77.0 dd
4,83,Algeria,63.6 dd
5,150,Angola,14.5 dd
6,62,Antigua and Barbuda,69.7 dd
7,45,Argentina,90.7 dd
8,84,Armenia,80.0 dd
9,2,Australia,83.0 dd
10,24,Austria,100.0 dd
11,78,Azerbaijan,81.7 dd
12,58,Bahamas,84.2 dd
13,47,Bahrain,40.1 dd
14,139,Bangladesh,39.5 dd
15,54,Barbados,68.3 dd
16,52,Belarus,93.6 dd
17,22,Belgium,84.6 dd
18,103,Belize,64.6 dd
19,167,Benin,9.7 dd
20,132,Bhutan,3.2 dd
21,118,Bolivia (Plurinational State of),100.0 dd
22,81,Bosnia and Herzegovina,29.6 dd
23,108,Botswana,100.0 dd
24,79,Brazil,86.3 dd
25,30,Brunei Darussalam,81.7 dd
26,56,Bulgaria,96.9 dd
27,185,Burkina Faso,3.2 dd
28,184,Burundi,4.0 dd
29,122,Cabo Verde,55.7 dd
30,143,Cambodia,5.0 dd
31,153,Cameroon,12.5 dd
32,10,Canada,97.7 dd
33,186,Chad,1.6 dd
34,38,Chile,74.5 dd
35,90,China,74.4 dd
36,95,Colombia,23.0 dd
37,135,Congo,22.1 dd
38,176,Congo (Democratic Republic of the),15.0 dd
39,66,Costa Rica,55.8 dd
40,45,Croatia,57.6 dd
41,33,Cyprus,85.2 dd
42,28,Czech Republic,100.0 dd
43,171,Côte d'Ivoire,7.7 dd
44,5,Denmark,100.0 dd
45,172,Djibouti,12.0 dd
46,96,Dominica,38.5 dd
47,99,Dominican Republic,11.1 dd
48,89,Ecuador,53.0 dd
49,111,Egypt,32.7 dd
50,117,El Salvador,18.1 dd
51,30,Estonia,98.0 dd
52,174,Ethiopia,9.0 dd
53,91,Fiji,10.6 dd
54,23,Finland,100.0 dd
55,21,France,100.0 dd
56,109,Gabon,38.8 dd
57,173,Gambia,10.8 dd
58,70,Georgia,89.8 dd
59,4,Germany,100.0 dd
60,139,Ghana,7.6 dd
61,29,Greece,77.4 dd
62,79,Grenada,34.0 dd
63,125,Guatemala,14.1 dd
64,183,Guinea,8.8 dd
65,178,Guinea-Bissau,6.2 dd
66,127,Guyana,100.0 dd
67,163,Haiti,1.0 dd
68,130,Honduras,8.4 dd
69,12,"Hong Kong, China (SAR)",72.9 dd
70,43,Hungary,91.4 dd
71,9,Iceland,100.0 dd
72,131,India,24.1 dd
73,113,Indonesia,8.1 dd
74,69,Iran (Islamic Republic of),26.4 dd
75,121,Iraq,56.0 dd
76,8,Ireland,90.5 dd
77,19,Israel,73.6 dd
78,26,Italy,81.1 dd
79,94,Jamaica,55.5 dd
80,17,Japan,80.3 dd
81,86,Jordan,42.2 dd
82,56,Kazakhstan,95.9 dd
83,146,Kenya,7.9 dd
84,18,Korea (Republic of),77.6 dd
85,51,Kuwait,27.3 dd
86,120,Kyrgyzstan,100.0 dd
87,138,Lao People's Democratic Republic,5.6 dd
88,44,Latvia,100.0 dd
89,76,Lebanon,0.0 dd
90,160,Lesotho,100.0 dd
91,102,Libya,43.3 dd
92,37,Lithuania,100.0 dd
93,20,Luxembourg,90.0 dd
94,158,Madagascar,4.6 dd
95,170,Malawi,4.1 dd
96,59,Malaysia,19.8 dd
97,105,Maldives,99.7 dd
98,175,Mali,5.7 dd
99,33,Malta,60.5 dd
100,0,Marshall Islands,64.2 dd
101,157,Mauritania,9.3 dd
102,64,Mauritius,100.0 dd
103,77,Mexico,25.2 dd
104,107,Moldova (Republic of),72.8 dd
105,92,Mongolia,100.0 dd
106,48,Montenegro,52.3 dd
107,123,Morocco,39.8 dd
108,181,Mozambique,17.3 dd
109,125,Namibia,98.4 dd
110,0,Nauru,56.5 dd
111,144,Nepal,62.5 dd
112,7,Netherlands,100.0 dd
113,13,New Zealand,98.0 dd
114,124,Nicaragua,23.7 dd
115,187,Niger,6.1 dd
116,1,Norway,100.0 dd
117,52,Oman,24.7 dd
118,147,Pakistan,2.3 dd
119,60,Palau,48.0 dd
120,114,"Palestine, State of",8.0 dd
121,60,Panama,37.3 dd
122,154,Papua New Guinea,0.9 dd
123,110,Paraguay,22.2 dd
124,87,Peru,33.2 dd
125,116,Philippines,28.5 dd
126,36,Poland,96.5 dd
127,41,Portugal,100.0 dd
128,33,Qatar,7.9 dd
129,50,Romania,98.0 dd
130,49,Russian Federation,100.0 dd
131,159,Rwanda,4.7 dd
132,74,Saint Kitts and Nevis,44.7 dd
133,92,Saint Lucia,26.5 dd
134,99,Saint Vincent and the Grenadines,76.6 dd
135,104,Samoa,49.5 dd
136,142,Sao Tome and Principe,41.8 dd
137,162,Senegal,23.5 dd
138,66,Serbia,46.1 dd
139,63,Seychelles,100.0 dd
140,179,Sierra Leone,0.9 dd
141,5,Singapore,0.0 dd
142,40,Slovakia,100.0 dd
143,25,Slovenia,95.1 dd
144,156,Solomon Islands,13.1 dd
145,119,South Africa,92.6 dd
146,27,Spain,68.2 dd
147,73,Sri Lanka,17.1 dd
148,165,Sudan,4.6 dd
149,148,Swaziland,86.0 dd
150,14,Sweden,100.0 dd
151,2,Switzerland,100.0 dd
152,149,Syrian Arab Republic,16.7 dd
153,129,Tajikistan,80.2 dd
154,151,Tanzania (United Republic of),3.2 dd
155,87,Thailand,81.7 dd
156,82,The former Yugoslav Republic of Macedonia,52.2 dd
157,133,Timor-Leste,100.0 dd
158,166,Togo,10.9 dd
159,101,Tonga,1.0 dd
160,65,Trinidad and Tobago,98.7 dd
161,97,Tunisia,68.8 dd
162,71,Turkey,88.1 dd
163,0,Tuvalu,19.5 dd
164,163,Uganda,6.6 dd
165,84,Ukraine,95.0 dd
166,16,United Kingdom,99.5 dd
167,10,United States,92.5 dd
168,54,Uruguay,76.5 dd
169,105,Uzbekistan,98.1 dd
170,134,Vanuatu,3.5 dd
171,71,Venezuela (Bolivarian Republic of),59.4 dd
172,115,Viet Nam,34.5 dd
173,168,Yemen,8.5 dd
174,139,Zambia,7.7 dd
175,154,Zimbabwe,6.2 dd
176,,,
