,HDI Rank,Country,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,31.4,31.4,31.9
3,75,Albania,12.7,13.9,13.9,13.4,13.4,13.5
4,150,Angola,39.9,,43.9,44.0,37.0,37.0
5,45,Argentina,19.8,19.6,19.6,15.8,15.0,15.6
6,84,Armenia,10.9,10.8,11.0,10.4,10.2,9.3
7,2,Australia,7.9,7.9,7.9,7.8,8.2,8.2
8,24,Austria,7.5,7.4,6.6,7.2,7.7,8.7
9,78,Azerbaijan,13.8,11.4,11.4,11.8,13.2,13.2
10,58,Bahamas,14.4,14.8,,14.3,,
11,139,Bangladesh,29.4,27.4,27.4,29.1,29.4,28.9
12,52,Belarus,9.3,8.3,8.3,7.6,7.1,6.4
13,22,Belgium,8.4,7.6,8.0,8.5,7.9,8.3
14,103,Belize,28.7,,,,22.7,22.7
15,167,Benin,35.2,35.8,35.8,34.6,37.4,37.4
16,132,Bhutan,,,20.0,20.4,29.8,29.4
17,118,Bolivia (Plurinational State of),38.1,34.1,34.2,29.6,28.6,29.0
18,81,Bosnia and Herzegovina,20.4,11.6,11.5,10.6,13.3,13.3
19,108,Botswana,,,,38.2,38.2,38.0
20,79,Brazil,27.1,27.8,27.2,27.1,26.3,25.6
21,56,Bulgaria,11.3,11.4,9.9,11.0,10.6,10.7
22,185,Burkina Faso,36.2,35.1,34.2,35.0,35.0,33.6
23,184,Burundi,37.0,,,33.9,32.6,31.6
24,122,Cabo Verde,,,,19.7,19.7,20.1
25,143,Cambodia,28.8,27.2,25.9,24.7,24.7,22.5
26,153,Cameroon,34.0,33.4,33.4,32.8,32.8,32.8
27,10,Canada,8.6,8.6,8.6,7.6,8.9,8.9
28,188,Central African Republic,42.0,40.6,40.6,40.4,43.5,43.5
29,186,Chad,39.3,40.1,40.1,37.8,39.9,40.0
30,38,Chile,19.0,19.0,19.0,19.6,19.3,18.2
31,90,China,23.0,22.3,22.3,,,
32,95,Colombia,28.6,32.5,27.8,26.7,24.7,24.6
33,160,Comoros,43.9,,,,46.7,45.8
34,135,Congo,31.8,31.1,31.1,30.7,26.6,24.8
35,176,Congo (Democratic Republic of the),36.2,39.9,39.9,37.6,36.2,31.9
36,66,Costa Rica,20.6,20.5,21.6,19.9,19.9,19.1
37,45,Croatia,15.3,15.1,15.1,11.2,9.1,9.1
38,33,Cyprus,11.7,10.1,11.5,11.0,10.7,10.9
39,28,Czech Republic,6.0,5.0,5.4,5.6,5.5,5.4
40,171,Côte d'Ivoire,36.1,38.6,38.6,38.3,38.0,37.8
41,5,Denmark,6.4,6.0,6.2,6.9,7.3,7.2
42,172,Djibouti,37.3,35.9,36.0,34.6,34.6,34.6
43,99,Dominican Republic,24.8,25.9,27.3,23.6,23.6,21.8
44,89,Ecuador,20.2,25.7,25.7,22.8,22.1,20.5
45,111,Egypt,27.5,24.1,24.1,24.0,24.0,29.0
46,117,El Salvador,27.6,26.6,26.6,26.7,26.7,22.2
47,30,Estonia,9.8,7.9,9.0,8.7,9.1,8.9
48,174,Ethiopia,34.3,31.9,31.9,29.4,29.4,26.3
49,91,Fiji,,,,15.3,15.3,15.3
50,23,Finland,7.5,5.6,5.9,5.5,5.5,5.8
51,21,France,9.2,9.2,9.0,9.0,8.7,9.4
52,109,Gabon,21.1,19.5,19.5,24.0,24.0,23.9
53,173,Gambia,39.0,,,,,
54,70,Georgia,17.0,14.1,15.3,14.5,13.6,12.7
55,4,Germany,8.0,6.9,6.9,7.1,6.9,7.2
56,139,Ghana,25.3,32.2,32.2,31.3,33.1,32.5
57,29,Greece,10.2,12.2,11.6,10.6,12.3,12.4
58,125,Guatemala,33.6,31.6,33.1,32.8,29.4,29.6
59,183,Guinea,38.4,38.8,38.8,38.0,36.5,34.8
60,178,Guinea-Bissau,42.4,41.4,41.4,39.6,39.6,39.3
61,127,Guyana,18.6,22.3,19.1,18.2,18.2,18.7
62,163,Haiti,40.8,40.2,40.2,39.5,38.8,39.6
63,130,Honduras,30.6,31.7,27.5,32.3,32.0,29.2
64,43,Hungary,8.6,7.0,7.4,7.4,7.2,7.8
65,9,Iceland,6.6,5.9,6.4,5.7,5.9,5.8
66,131,India,29.7,28.3,29.3,28.6,28.6,27.1
67,113,Indonesia,17.7,18.3,18.3,19.2,18.2,18.2
68,69,Iran (Islamic Republic of),,,,33.6,33.6,33.1
69,121,Iraq,,,,21.4,21.7,22.3
70,8,Ireland,9.2,7.2,7.2,7.5,8.6,7.9
71,19,Israel,12.5,12.3,12.3,10.7,13.4,13.5
72,26,Italy,12.0,10.9,11.9,11.9,11.5,11.5
73,94,Jamaica,16.6,16.2,19.1,19.0,17.5,16.6
74,17,Japan,,,,12.4,12.4,12.4
75,86,Jordan,19.2,19.0,19.0,18.6,16.5,16.5
76,56,Kazakhstan,13.5,11.9,13.6,11.9,11.9,10.1
77,146,Kenya,31.8,33.6,33.6,32.8,31.3,29.5
78,137,Kiribati,,,,31.5,31.5,33.1
79,18,Korea (Republic of),16.7,16.5,16.5,17.4,16.4,16.4
80,120,Kyrgyzstan,15.1,14.5,17.1,17.2,14.5,12.3
81,138,Lao People's Democratic Republic,24.8,22.8,24.7,24.5,25.6,27.1
82,44,Latvia,11.1,11.0,10.9,10.6,10.8,10.6
83,76,Lebanon,,22.8,22.8,20.9,20.9,21.0
84,160,Lesotho,34.0,35.9,35.9,35.6,35.6,35.6
85,177,Liberia,37.3,35.3,35.3,33.8,34.8,33.4
86,37,Lithuania,11.5,9.8,11.0,10.6,10.2,10.5
87,20,Luxembourg,9.0,7.8,7.2,7.6,7.8,8.0
88,158,Madagascar,29.2,30.7,30.7,30.5,27.0,27.0
89,170,Malawi,32.1,31.9,31.4,31.9,32.9,31.2
90,105,Maldives,15.6,25.2,25.2,25.4,24.9,24.6
91,175,Mali,38.3,,,,35.6,33.7
92,33,Malta,,,8.2,8.3,8.5,8.1
93,157,Mauritania,35.2,34.2,34.5,35.3,33.4,32.4
94,64,Mauritius,,13.3,13.3,14.2,14.2,14.4
95,77,Mexico,21.0,23.5,23.5,22.9,22.4,22.9
96,127,Micronesia (Federated States of),38.9,38.6,,,,
97,107,Moldova (Republic of),13.5,12.2,11.5,12.2,10.8,10.2
98,92,Mongolia,15.2,13.8,15.9,11.5,12.8,13.0
99,48,Montenegro,9.9,6.9,7.4,7.2,9.2,8.8
100,123,Morocco,28.1,29.7,29.7,29.7,29.7,29.5
101,181,Mozambique,45.3,28.9,32.7,29.5,34.3,33.0
102,125,Namibia,44.3,43.5,43.5,43.6,43.6,35.2
103,144,Nepal,31.9,34.3,34.3,28.8,26.8,27.1
104,7,Netherlands,8.1,7.0,6.9,6.7,6.6,6.9
105,124,Nicaragua,24.6,27.5,27.5,26.4,24.0,25.8
106,187,Niger,33.9,34.2,34.2,32.4,29.3,28.2
107,152,Nigeria,41.7,39.3,41.4,40.3,37.8,37.8
108,1,Norway,6.6,5.6,6.4,5.6,5.4,5.4
109,147,Pakistan,31.5,31.4,30.9,30.1,29.9,30.9
110,114,"Palestine, State of",,,,11.7,14.9,15.1
111,60,Panama,28.3,24.6,24.6,22.1,22.5,22.0
112,110,Paraguay,24.6,24.0,,24.1,22.1,24.3
113,87,Peru,30.6,23.2,24.3,23.7,23.4,21.6
114,116,Philippines,18.9,19.9,19.9,18.1,18.1,18.4
115,36,Poland,10.8,9.7,9.9,9.9,9.8,9.5
116,41,Portugal,11.9,10.2,10.7,10.1,10.3,10.4
117,50,Romania,12.1,12.6,12.6,10.5,10.4,11.0
118,49,Russian Federation,11.5,11.3,,12.0,10.5,9.8
119,159,Rwanda,37.0,35.7,33.9,33.2,31.6,31.9
120,92,Saint Lucia,,,,,15.9,16.0
121,142,Sao Tome and Principe,,31.5,31.8,31.2,24.7,24.7
122,162,Senegal,36.2,33.8,33.0,32.9,34.4,33.1
123,66,Serbia,10.8,9.5,9.5,10.9,10.1,11.2
124,179,Sierra Leone,39.3,41.7,41.7,44.3,41.6,37.8
125,40,Slovakia,6.7,5.7,6.3,6.3,6.2,6.1
126,25,Slovenia,6.9,5.3,5.8,5.8,5.9,5.9
127,156,Solomon Islands,,,,23.8,23.8,23.8
128,119,South Africa,31.1,,,,35.7,34.7
129,27,Spain,9.8,8.9,10.1,10.9,11.5,10.5
130,73,Sri Lanka,17.1,16.2,15.1,14.3,11.6,11.6
131,97,Suriname,24.3,23.8,23.0,24.2,24.0,24.0
132,148,Swaziland,35.7,35.4,35.4,33.3,33.3,33.3
133,14,Sweden,6.9,5.9,6.2,6.5,6.7,6.7
134,2,Switzerland,7.1,7.0,7.0,7.7,7.4,8.6
135,149,Syrian Arab Republic,20.8,20.4,20.4,21.2,21.2,21.8
136,129,Tajikistan,19.1,17.6,18.4,19.2,17.5,15.2
137,151,Tanzania (United Republic of),28.4,28.8,27.4,27.1,27.3,25.4
138,87,Thailand,21.2,21.3,21.3,20.7,20.7,20.8
139,82,The former Yugoslav Republic of Macedonia,16.7,16.4,14.7,13.6,16.7,16.7
140,133,Timor-Leste,33.4,32.9,33.0,30.7,30.7,31.2
141,166,Togo,32.9,33.5,33.5,32.9,33.4,31.9
142,65,Trinidad and Tobago,15.5,15.3,15.3,15.2,15.2,15.3
143,97,Tunisia,25.2,25.2,,,22.0,22.5
144,71,Turkey,23.6,22.5,22.5,15.8,15.8,15.9
145,111,Turkmenistan,26.4,,,,,
146,163,Uganda,32.1,33.6,33.6,30.8,30.2,30.9
147,84,Ukraine,8.1,9.2,9.2,9.2,7.8,7.2
148,16,United Kingdom,9.7,8.3,8.3,8.9,8.6,8.0
149,10,United States,11.4,15.3,12.4,17.4,17.0,13.5
150,54,Uruguay,16.1,16.4,16.4,16.1,14.5,15.7
151,105,Uzbekistan,15.7,15.1,15.8,15.8,15.8,15.8
152,134,Vanuatu,,,,,17.1,17.2
153,71,Venezuela (Bolivarian Republic of),21.2,26.6,26.6,19.7,19.7,19.4
154,115,Viet Nam,16.4,14.0,14.0,14.9,17.5,17.8
155,168,Yemen,34.2,32.3,32.3,32.8,34.0,33.7
156,139,Zambia,31.5,29.5,36.7,35.0,34.4,35.6
157,154,Zimbabwe,29.9,28.7,28.5,27.2,27.1,28.5
158,,,,,,,,
