,HDI Rank,Country,
2,75,Albania,1.1 d
3,150,Angola,30.1 d
4,45,Argentina,1.7 d
5,84,Armenia,2.3 d
6,78,Azerbaijan,0.5 d
7,139,Bangladesh,18.5 d
8,52,Belarus,0.0 d
9,167,Benin,53.1 d
10,132,Bhutan,2.2 d
11,118,Bolivia (Plurinational State of),6.8 d
12,81,Bosnia and Herzegovina,0.1 d
13,108,Botswana,18.2 d
14,79,Brazil,3.7 d
15,56,Bulgaria,2.0 d
16,185,Burkina Faso,43.7 d
17,184,Burundi,77.7 d
18,122,Cabo Verde,8.1 d
19,143,Cambodia,2.2 d
20,153,Cameroon,24.0 d
21,188,Central African Republic,66.3 d
22,186,Chad,38.4 d
23,38,Chile,0.9 d
24,90,China,1.9 d
25,95,Colombia,5.7 d
26,160,Comoros,13.5 d
27,135,Congo,37.0 d
28,176,Congo (Democratic Republic of the),77.1 d
29,66,Costa Rica,1.6 d
30,45,Croatia,0.9 d
31,28,Czech Republic,0.1 d
32,171,Côte d'Ivoire,29.0 d
33,172,Djibouti,22.5 d
34,99,Dominican Republic,2.3 d
35,89,Ecuador,3.8 d
36,117,El Salvador,3.0 d
37,30,Estonia,1.0 d
38,174,Ethiopia,33.5 d
39,91,Fiji,4.1 d
40,109,Gabon,8.0 d
41,70,Georgia,9.8 d
42,139,Ghana,25.2 d
43,125,Guatemala,9.3 d
44,183,Guinea,35.3 d
45,178,Guinea-Bissau,67.1 d
46,163,Haiti,53.9 d
47,130,Honduras,16.0 d
48,43,Hungary,0.3 d
49,131,India,21.2 d
50,113,Indonesia,8.3 d
51,69,Iran (Islamic Republic of),0.1 d
52,94,Jamaica,1.7 d
53,56,Kazakhstan,0.0 d
54,146,Kenya,33.6 d
55,137,Kiribati,14.1 d
56,120,Kyrgyzstan,1.3 d
57,138,Lao People's Democratic Republic,16.7 d
58,44,Latvia,1.4 d
59,160,Lesotho,59.6 d
60,177,Liberia,68.6 d
61,37,Lithuania,1.0 d
62,158,Madagascar,77.8 d
63,170,Malawi,70.9 d
64,59,Malaysia,0.3 d
65,105,Maldives,7.3 d
66,175,Mali,49.3 d
67,157,Mauritania,5.9 d
68,64,Mauritius,0.5 d
69,77,Mexico,3.0 d
70,127,Micronesia (Federated States of),17.4 d
71,107,Moldova (Republic of),0.0 d
72,92,Mongolia,0.2 d
73,48,Montenegro,0.0 d
74,123,Morocco,3.1 d
75,181,Mozambique,68.7 d
76,125,Namibia,22.6 d
77,144,Nepal,15.0 d
78,124,Nicaragua,6.2 d
79,187,Niger,45.7 d
80,152,Nigeria,53.5 d
81,147,Pakistan,6.1 d
82,114,"Palestine, State of",0.1 d
83,60,Panama,3.8 d
84,154,Papua New Guinea,39.3 d
85,110,Paraguay,2.8 d
86,87,Peru,3.1 d
87,116,Philippines,13.1 d
88,36,Poland,0.0 d
89,50,Romania,0.0 d
90,49,Russian Federation,0.0 d
91,159,Rwanda,60.4 d
92,104,Samoa,0.8 d
93,142,Sao Tome and Principe,32.3 d
94,162,Senegal,38.0 d
95,66,Serbia,0.2 d
96,63,Seychelles,1.1 d
97,179,Sierra Leone,52.3 d
98,40,Slovakia,0.2 d
99,25,Slovenia,0.0 d
100,156,Solomon Islands,45.6 d
101,119,South Africa,16.6 d
102,181,South Sudan,42.7 d
103,73,Sri Lanka,1.9 d
104,165,Sudan,14.9 d
105,148,Swaziland,42.0 d
106,129,Tajikistan,19.5 d
107,151,Tanzania (United Republic of),46.6 d
108,87,Thailand,0.0 d
109,82,The former Yugoslav Republic of Macedonia,1.3 d
110,133,Timor-Leste,46.8 d
111,166,Togo,54.2 d
112,101,Tonga,1.1 d
113,97,Tunisia,2.0 d
114,71,Turkey,0.3 d
115,0,Tuvalu,2.7 d
116,163,Uganda,34.6 d
117,84,Ukraine,0.0 d
118,54,Uruguay,0.3 d
119,134,Vanuatu,15.4 d
120,71,Venezuela (Bolivarian Republic of),9.2 d
121,115,Viet Nam,3.1 d
122,139,Zambia,64.4 d
123,154,Zimbabwe,21.4 d
124,,,
