,HDI Rank,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,,,,16.0,,,,
3,75,Albania,,,,,7.2,,,,,,
4,45,Argentina,5.2,,,,,,,,,,
5,84,Armenia,,,,,,3.0,,,,,
6,78,Azerbaijan,,11.5,,,,,,,,,
7,139,Bangladesh,,,18.7,,,,18.8,,,19.6,
8,54,Barbados,,,,,,,,0.3,,,
9,52,Belarus,1.1,,,,,,,,,,
10,103,Belize,,6.5,,,,,6.4,,,,
11,167,Benin,,18.8,,,,,,16.9,,,
12,132,Bhutan,,,,,,18.0,,,,,
13,118,Bolivia (Plurinational State of),,,,17.3,,,,,,,
14,81,Bosnia and Herzegovina,,5.3,,,,,,3.2,,,
15,79,Brazil,,11.2,,,,,,7.4,7.2,6.7,
16,185,Burkina Faso,,6.9,,,,7.6,,,,,
17,184,Burundi,8.5,,,,,12.0,,,,,
18,143,Cambodia,17.5,,,,,20.4,,,,21.6,
19,153,Cameroon,,14.0,,,,,17.8,,,,
20,188,Central African Republic,,12.1,,,,15.7,,,,,
21,186,Chad,,,,,,8.8,,,,,
22,90,China,,,,,19.0,,,22.7,,,
23,95,Colombia,,,,,,10.2,,,,,
24,160,Comoros,,,,,,,,23.1,,,
25,135,Congo,,,,,29.9,,,26.2,,,
26,176,Congo (Democratic Republic of the),,,,,,15.5,,,,18.5,
27,171,Côte d'Ivoire,22.7,,,,,,,17.9,,,
28,172,Djibouti,,16.0,,,,,,,,,
29,99,Dominican Republic,,,10.8,,,,,,20.6,,
30,89,Ecuador,,9.4,,,,,,,,8.4,
31,111,Egypt,,,,8.6,,,,,,5.6,
32,174,Ethiopia,,,,,,,6.7,,,,
33,109,Gabon,,,,,,,,19.9,,,
34,173,Gambia,,15.7,,,,,,,21.3,,
35,70,Georgia,4.1,,,,,,,,,,
36,139,Ghana,,,,20.3,,,18.7,,,20.5,
37,183,Guinea,7.7,,,,,,,12.7,,,
38,178,Guinea-Bissau,,10.5,,,,,,,,,
39,127,Guyana,,,10.7,,18.8,,,,,,
40,163,Haiti,,18.1,,,,,,22.2,,,
41,130,Honduras,,26.6,,,,,,28.6,,,
42,131,India,,18.2,,,,,,,,,
43,113,Indonesia,,,15.4,,,,,8.1,,,
44,121,Iraq,,15.0,,,,,7.4,,,,
45,94,Jamaica,,,,,,9.1,,9.6,,,
46,86,Jordan,,,,,4.1,,,1.0,,,
47,56,Kazakhstan,,4.8,,,,,2.3,,,,
48,146,Kenya,,,,,29.1,,,,,32.0,
49,120,Kyrgyzstan,,10.1,,,,,,10.7,,6.5,
50,138,Lao People's Democratic Republic,,11.1,,,,,,18.5,,,
51,160,Lesotho,,,,,20.4,,,,,,
52,177,Liberia,,,12.9,,,,,,21.5,,
53,102,Libya,,,6.3,,,,,,,,
54,158,Madagascar,,,,,11.7,,,,,,
55,170,Malawi,,,,,,24.5,,,,27.2,
56,105,Maldives,,,,,8.5,,,,,,
57,175,Mali,,7.8,,,,,,,10.8,,
58,157,Mauritania,,,12.8,,,,16.8,,,,
59,77,Mexico,,10.7,,,,,,10.1,,,
60,107,Moldova (Republic of),5.2,,,,,,,2.2,,,
61,92,Mongolia,19.0,,,,,19.3,,,,,
62,48,Montenegro,,1.3,,,,,,,2.0,,
63,123,Morocco,,,,,,,12.6,,,,
64,181,Mozambique,,,,,14.7,,14.8,,,,
65,125,Namibia,,,22.6,,,,,,19.3,,
66,144,Nepal,,15.5,,,,,18.1,,,14.4,
67,124,Nicaragua,,,15.3,,,,14.8,,,,
68,187,Niger,,3.4,,,,,,5.9,,,
69,152,Nigeria,,,,18.2,,,17.0,,18.4,,
70,147,Pakistan,,,13.2,,,,,,14.9,,
71,114,"Palestine, State of",,,7.4,,,6.2,,,,5.4,
72,87,Peru,,,,15.1,,14.3,12.3,12.3,,,
73,116,Philippines,,,,12.2,,,,,8.4,,
74,159,Rwanda,9.7,,,,,17.9,,,,,25.0
75,92,Saint Lucia,,,,,,,,0.9,,,
76,142,Sao Tome and Principe,,,,,21.5,,,,,,
77,162,Senegal,11.7,,,,,,14.4,,17.8,18.1,
78,66,Serbia,,3.8,,,,3.1,,,,2.7,
79,179,Sierra Leone,,,,12.5,,16.7,,,14.6,,
80,0,Somalia,,8.3,,,,,,,,,
81,119,South Africa,,,,21.4,,,,17.1,,,
82,181,South Sudan,,,,,,8.5,,,,,
83,165,Sudan,,,,,,17.9,,,,,
84,97,Suriname,,6.3,,,,4.7,,,,,
85,148,Swaziland,,,,,,20.5,,,,,
86,149,Syrian Arab Republic,,7.7,,,7.4,,,,,,
87,129,Tajikistan,18.6,,,,,,,23.4,,,
88,151,Tanzania (United Republic of),,,,,,21.5,,,,,
89,87,Thailand,,4.4,,,,,,,,,
90,82,The former Yugoslav Republic of Macedonia,7.1,,,,,,2.4,,,,
91,133,Timor-Leste,,,,,,21.4,,,,,
92,166,Togo,,20.3,,,,20.3,,,,19.9,
93,65,Trinidad and Tobago,,0.5,,,,,,,,,
94,97,Tunisia,,,,,,,,3.2,,,
95,111,Turkmenistan,,6.5,,,,,,,,,
96,163,Uganda,,18.2,,,,,20.6,,,,
97,84,Ukraine,,,0.2,,,,,0.0,,,
98,105,Uzbekistan,,6.2,,,,,,,,,
99,134,Vanuatu,,,32.6,,,,,,,,
100,115,Viet Nam,,,,,,,8.7,,,4.3,
101,168,Yemen,,16.7,,,,,,,22.4,,
102,139,Zambia,,,18.7,,,,,,,23.1,
103,154,Zimbabwe,,22.8,,,,,24.9,,,29.3,
104,,,,,,,,,,,,,
