,HDI Rank,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,,,,49.9,,,,
3,75,Albania,,,,,38.3,,,,,,
4,45,Argentina,39.1,,,,,,,,,,
5,84,Armenia,,,,,,37.0,,,,,
6,78,Azerbaijan,,38.2,,,,,,,,,
7,139,Bangladesh,,,49.3,,,,47.8,,,46.2,
8,54,Barbados,,,,,,,,33.7,,,
9,52,Belarus,34.5,,,,,,,,,,
10,103,Belize,,40.8,,,,,41.2,,,,
11,167,Benin,,57.4,,,,,,53.3,,,
12,132,Bhutan,,,,,,43.5,,,,,
13,118,Bolivia (Plurinational State of),,,,47.0,,,,,,,
14,81,Bosnia and Herzegovina,,38.1,,,,,,37.3,,,
15,79,Brazil,,41.4,,,,,,40.8,40.2,40.0,
16,185,Burkina Faso,,63.2,,,,61.3,,,,,
17,184,Burundi,55.2,,,,,54.0,,,,,
18,143,Cambodia,48.7,,,,,45.1,,,,44.3,
19,153,Cameroon,,58.7,,,,,54.1,,,,
20,188,Central African Republic,,57.7,,,,55.6,,,,,
21,186,Chad,,,,,,62.7,,,,,
22,90,China,,,,,43.4,,,43.3,,,
23,95,Colombia,,,,,,42.2,,,,,
24,160,Comoros,,,,,,,,48.1,,,
25,135,Congo,,,,,47.1,,,44.7,,,
26,176,Congo (Democratic Republic of the),,,,,,53.7,,,,50.8,
27,171,Côte d'Ivoire,53.9,,,,,,,51.7,,,
28,172,Djibouti,,47.3,,,,,,,,,
29,99,Dominican Republic,,,41.9,,,,,,41.6,,
30,89,Ecuador,,40.9,,,,,,,,39.6,
31,111,Egypt,,,,40.3,,,,,,37.4,
32,174,Ethiopia,,,,,,,60.9,,,,
33,109,Gabon,,,,,,,,43.4,,,
34,173,Gambia,,54.1,,,,,,,50.5,,
35,70,Georgia,37.6,,,,,,,,,,
36,139,Ghana,,,,47.4,,,47.3,,,45.4,
37,183,Guinea,63.4,,,,,,,57.6,,,
38,178,Guinea-Bissau,,61.6,,,,,,,,,
39,127,Guyana,,,40.1,,40.0,,,,,,
40,163,Haiti,,53.2,,,,,,48.1,,,
41,130,Honduras,,49.6,,,,,,47.4,,,
42,131,India,,51.1,,,,,,,,,
43,113,Indonesia,,,42.4,,,,,41.3,,,
44,121,Iraq,,41.8,,,,,39.4,,,,
45,94,Jamaica,,,,,,38.8,,40.5,,,
46,86,Jordan,,,,,36.8,,,35.3,,,
47,56,Kazakhstan,,38.5,,,,,36.4,,,,
48,146,Kenya,,,,,47.0,,,,,46.1,
49,120,Kyrgyzstan,,37.9,,,,,,36.9,,36.3,
50,138,Lao People's Democratic Republic,,58.3,,,,,,50.5,,,
51,160,Lesotho,,,,,45.9,,,,,,
52,177,Liberia,,,56.1,,,,,,50.8,,
53,102,Libya,,,37.5,,,,,,,,
