,HDI Rank,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,,,,29.8,,,,
3,75,Albania,,,,,0.1,,,,,,
4,45,Argentina,0.5,,,,,,,,,,
5,84,Armenia,,,,,,0.1,,,,,
6,78,Azerbaijan,,0.2,,,,,,,,,
7,139,Bangladesh,,,27.2,,,,21.0,,,16.0,
8,54,Barbados,,,,,,,,0.0,,,
9,52,Belarus,0.0,,,,,,,,,,
10,103,Belize,,1.1,,,,,1.5,,,,
11,167,Benin,,45.7,,,,,,37.7,,,
12,132,Bhutan,,,,,,8.8,,,,,
13,118,Bolivia (Plurinational State of),,,,7.8,,,,,,,
14,81,Bosnia and Herzegovina,,0.1,,,,,,0.0,,,
15,79,Brazil,,0.7,,,,,,0.5,0.4,0.3,
16,185,Burkina Faso,,67.1,,,,63.8,,,,,
17,184,Burundi,53.5,,,,,48.2,,,,,
18,143,Cambodia,26.4,,,,,16.4,,,,11.4,
19,153,Cameroon,,35.9,,,,,27.1,,,,
20,188,Central African Republic,,54.5,,,,48.5,,,,,
21,186,Chad,,,,,,67.6,,,,,
22,90,China,,,,,1.3,,,1.0,,,
23,95,Colombia,,,,,,1.8,,,,,
24,160,Comoros,,,,,,,,14.9,,,
25,135,Congo,,,,,15.1,,,12.2,,,
26,176,Congo (Democratic Republic of the),,,,,,46.2,,,,36.7,
27,171,Côte d'Ivoire,26.7,,,,,,,32.4,,,
28,172,Djibouti,,11.1,,,,,,,,,
29,99,Dominican Republic,,,1.4,,,,,,1.0,,
30,89,Ecuador,,2.1,,,,,,,,0.5,
31,111,Egypt,,,,1.5,,,,,,0.4,
32,174,Ethiopia,,,,,,,67.0,,,,
33,109,Gabon,,,,,,,,4.4,,,
34,173,Gambia,,35.9,,,,,,,31.7,,
35,70,Georgia,0.1,,,,,,,,,,
36,139,Ghana,,,,15.4,,,12.1,,,11.1,
37,183,Guinea,68.6,,,,,,,49.8,,,
38,178,Guinea-Bissau,,58.4,,,,,,,,,
39,127,Guyana,,,1.5,,1.2,,,,,,
40,163,Haiti,,32.8,,,,,,20.1,,,
41,130,Honduras,,13.3,,,,,,7.2,,,
42,131,India,,27.8,,,,,,,,,
43,113,Indonesia,,,2.3,,,,,1.1,,,
44,121,Iraq,,4.3,,,,,2.5,,,,
