,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,13.6,15.7,17.0,22.3,29.8,31.2,32.6,34.0,35.4,35.4 aaa
3,75,Albania,69.7,69.9,78.8,83.1,86.9,87.9,89.4,90.5,90.5,90.5 d
4,83,Algeria,21.9,26.7,29.6,27.7,31.0,32.2,33.4,34.6,35.7,35.7 d
5,32,Andorra,,,36.9,43.6,61.5,64.5,67.6,70.6,73.7,73.7 d
6,45,Argentina,38.5,42.3,45.4,56.7,57.6,58.5,59.5,60.4,61.4,61.4 d
7,84,Armenia,88.5,90.1,91.9,94.3,96.7,97.2,97.5,97.8,98.1,98.1 d
8,2,Australia,90.7,90.3,89.8,91.5,93.0,93.5,94.6,91.1,91.5,91.5 d
9,24,Austria,73.6,76.1,88.1,100.0,100.0,100.0,100.0,100.0,99.2,99.2 d
10,78,Azerbaijan,,,96.0,95.8,97.5,97.4,97.5,97.5,97.5,97.5 d
11,58,Bahamas,,,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6 d
12,47,Bahrain,49.4,56.6,60.6,57.1,51.4,52.4,53.5,54.5,55.6,55.6 aaa
13,139,Bangladesh,27.4,29.1,30.9,33.7,39.6,40.8,41.9,43.1,44.3,44.3 aaa
14,54,Barbados,68.2,72.7,77.3,85.5,87.7,88.4,89.1,89.9,90.6,90.6 d
15,52,Belarus,,,,,92.2,92.2,92.2,92.2,92.2,92.2 d
16,22,Belgium,67.9,73.8,76.8,79.3,82.4,82.9,83.1,83.9,84.7,84.7 d
17,103,Belize,22.2,35.0,48.9,62.3,75.8,76.2,76.6,77.0,77.4,77.4 d
18,167,Benin,14.8,18.8,20.5,23.5,27.4,28.2,28.9,29.9,30.8,30.8 d
19,132,Bhutan,,,,,13.4,13.4,13.4,13.4,13.4,13.4 d
20,118,Bolivia (Plurinational State of),52.7,54.5,52.6,48.3,53.4,54.3,55.2,57.0,58.7,58.7 d
21,81,Bosnia and Herzegovina,,,,,70.0,69.8,75.7,81.6,87.5,87.5 d
22,108,Botswana,46.1,53.4,61.5,70.0,77.8,80.1,82.3,84.5,86.7,86.7 aaa
