,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,8.2,9.8,11.1,14.5,18.2,19.2,20.2,21.2,22.2,22.2 aaa
3,75,Albania,64.7,71.8,75.7,82.7,83.8,84.8,87.2,89.2,89.2,90.3
4,83,Algeria,16.6,23.8,31.5,24.2,28.9,30.4,31.9,33.4,34.9,34.9
5,32,Andorra,,,,,61.1,64.1,67.0,69.9,72.8,72.8
6,45,Argentina,37.3,41.7,45.9,56.4,56.9,58.3,59.7,61.1,62.4,62.4
7,84,Armenia,86.6,88.6,91.1,92.8,,96.6,97.2,97.7,98.3,98.3
8,2,Australia,90.3,89.0,88.8,90.9,93.2,93.6,94.4,91.1,91.5,91.5
9,24,Austria,60.8,64.8,68.6,73.2,100.0,100.0,100.0,100.0,98.9,98.9
10,78,Azerbaijan,,,92.8,92.7,95.6,95.6,95.6,95.6,95.6,95.6
11,58,Bahamas,,,89.6,88.9,88.1,88.0,87.8,87.7,87.6,87.5
12,47,Bahrain,48.3,58.7,68.3,56.9,54.9,55.7,56.4,57.2,57.9,57.9 aaa
13,139,Bangladesh,20.8,23.5,26.7,30.6,37.8,39.3,40.9,42.4,44.0,43.1 aaa
14,54,Barbados,66.5,76.2,78.0,86.6,88.7,89.5,90.2,91.0,91.8,92.6
15,52,Belarus,,,,,89.3,89.3,89.3,89.3,89.3,89.3
16,22,Belgium,63.1,67.2,76.7,80.0,79.6,80.1,80.3,81.6,82.3,82.3
17,103,Belize,21.8,25.3,27.8,64.9,76.1,76.4,76.7,77.0,77.3,77.6
18,167,Benin,9.6,12.6,14.4,16.3,19.2,20.2,21.2,22.2,23.3,23.3
19,132,Bhutan,,,,,,,9.6,9.6,9.6,9.6
20,118,Bolivia (Plurinational State of),44.6,46.4,45.2,42.7,48.0,49.1,50.3,51.6,52.9,54.2
21,81,Bosnia and Herzegovina,,,,,56.9,56.8,63.9,71.0,78.0,78.0
22,108,Botswana,41.2,53.0,60.9,68.9,75.7,78.2,80.8,83.3,85.9,85.9 aaa
23,79,Brazil,20.1,25.6,32.7,42.3,50.5,53.6,54.6,55.8,57.5,57.5
24,30,Brunei Darussalam,55.6,61.6,63.2,63.3,65.9,66.6,67.2,67.9,68.6,68.6 aaa
25,56,Bulgaria,50.7,55.7,87.6,91.3,93.2,93.7,94.3,94.3,94.2,94.2
26,185,Burkina Faso,,,,7.9,,,,,8.5,8.5
27,184,Burundi,3.1,3.8,4.6,5.7,6.7,7.1,7.5,7.9,8.3,8.7 aaa
28,143,Cambodia,14.1,15.2,16.6,12.0,16.2,16.9,17.6,18.3,18.9,19.6
29,153,Cameroon,13.8,17.4,21.1,25.1,36.2,35.1,34.0,32.9,31.8,31.8
30,10,Canada,83.4,86.0,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,188,Central African Republic,9.5,12.0,14.4,16.4,18.1,18.8,19.5,20.2,20.9,20.9 aaa
32,186,Chad,,,,5.5,,,,,,5.5
33,38,Chile,50.1,54.9,59.0,67.8,74.8,72.9,74.3,75.8,76.1,76.5
34,90,China,36.4,44.1,52.3,58.7,65.3,67.7,70.2,72.6,75.0,75.0
35,95,Colombia,34.2,40.5,41.4,40.4,44.5,56.3,57.3,58.8,49.4,54.9
36,135,Congo,30.4,38.9,44.5,43.8,43.2,44.3,45.3,46.3,47.4,47.4
37,176,Congo (Democratic Republic of the),9.2,16.3,21.4,21.5,,,,42.4,24.6,24.6 aaa
38,66,Costa Rica,36.0,41.2,48.6,47.7,48.8,50.0,50.6,52.4,54.2,54.2
39,45,Croatia,46.0,51.1,55.7,77.6,,89.1,91.3,93.6,95.8,95.8
40,68,Cuba,53.9,62.8,69.3,73.2,,,81.1,83.0,84.8,84.8
41,33,Cyprus,51.2,58.9,64.7,69.2,75.8,75.7,78.7,79.7,79.0,79.0
42,28,Czech Republic,58.8,69.4,77.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8
43,171,Côte d'Ivoire,12.7,14.7,17.3,20.0,,,,,24.9,24.9 aaa
44,5,Denmark,51.1,54.5,56.9,98.6,96.4,96.9,96.1,99.6,89.5,89.5
45,99,Dominican Republic,29.5,34.6,39.6,42.9,52.6,53.8,54.4,55.2,56.4,56.4
46,89,Ecuador,35.3,38.1,37.6,38.8,39.8,42.5,45.2,47.9,48.8,48.8
47,111,Egypt,24.5,29.7,36.3,44.0,,,,,61.4,61.4 aaa
48,117,El Salvador,16.3,21.4,29.0,36.9,41.6,38.6,39.8,41.0,41.0,41.0
49,30,Estonia,58.8,74.8,87.3,93.6,100.0,100.0,100.0,100.0,100.0,100.0
50,174,Ethiopia,,,,,11.1,12.5,13.3,14.1,14.9,15.8
51,91,Fiji,52.4,75.6,67.3,57.8,64.3,66.5,68.6,70.8,72.9,72.9
52,23,Finland,44.4,56.4,44.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
53,21,France,48.3,60.5,70.6,74.1,79.2,79.8,80.5,81.4,82.5,82.5
54,109,Gabon,23.4,29.8,36.1,40.8,45.2,47.4,49.6,51.8,54.1,54.1 aaa
55,173,Gambia,9.8,14.5,16.1,20.0,24.3,26.2,28.1,30.0,31.9,31.9 aaa
56,70,Georgia,,,91.0,92.4,,,95.6,96.2,96.7,96.7
57,4,Germany,48.9,62.8,73.4,96.9,96.4,96.6,96.6,96.6,96.7,96.7
58,139,Ghana,41.4,46.2,47.8,50.6,54.3,55.7,57.1,58.4,59.8,59.8
59,29,Greece,40.4,46.8,52.8,58.3,63.1,64.2,65.3,66.4,67.5,67.5
60,125,Guatemala,12.7,14.8,17.1,14.8,21.0,22.6,24.2,25.4,36.8,36.8
61,127,Guyana,31.4,37.5,45.6,49.7,54.5,56.1,57.7,59.3,60.9,60.9 aaa
62,163,Haiti,13.6,17.4,21.6,25.2,28.5,29.4,30.3,31.1,32.0,32.0 aaa
63,130,Honduras,19.0,22.6,25.4,26.8,25.6,27.5,27.0,29.7,32.3,32.3
64,12,"Hong Kong, China (SAR)",53.9,57.0,58.1,71.2,74.0,75.4,76.1,76.8,77.4,77.4
65,43,Hungary,40.8,69.6,87.3,93.4,97.9,98.2,98.3,98.4,96.6,96.6
66,9,Iceland,43.1,48.2,53.4,91.3,,,,,98.6,98.6
67,131,India,24.0,26.9,30.4,37.4,42.1,43.7,45.4,47.1,48.7,48.7 aaa
68,113,Indonesia,19.1,22.4,21.0,43.3,43.4,44.5,45.4,46.4,47.3,47.3
69,69,Iran (Islamic Republic of),25.6,33.8,41.2,66.0,62.5,63.6,64.7,67.7,67.7,67.7
70,121,Iraq,18.4,25.4,30.2,36.8,39.0,40.7,42.3,44.0,45.6,45.6 aaa
71,8,Ireland,58.3,65.9,72.0,74.6,78.7,79.6,81.5,83.5,85.5,85.5
72,19,Israel,68.4,70.9,73.5,75.3,84.7,85.4,85.8,88.4,88.8,88.8
73,26,Italy,49.7,57.6,64.5,68.8,73.8,74.8,75.7,79.0,82.3,82.3
74,94,Jamaica,33.7,47.1,61.0,66.2,,58.0,59.8,61.6,63.4,63.4
75,17,Japan,65.6,69.9,74.2,82.2,86.4,88.3,89.5,90.7,91.8,91.8
76,86,Jordan,35.6,48.1,55.5,56.4,74.1,75.9,77.7,79.5,81.3,81.3
77,56,Kazakhstan,63.1,76.2,89.0,99.3,99.6,99.7,99.8,99.9,100.0,100.0
78,146,Kenya,15.0,18.0,21.4,27.4,28.6,29.4,30.3,31.2,32.0,32.0
79,18,Korea (Republic of),61.5,73.0,77.7,80.5,82.9,85.0,87.1,89.3,91.4,91.4
80,51,Kuwait,44.5,47.1,49.0,43.6,52.5,54.2,56.0,50.8,57.4,57.4
81,120,Kyrgyzstan,66.5,72.5,79.8,86.2,95.6,96.2,96.9,97.5,100.0,100.0
82,138,Lao People's Democratic Republic,12.2,16.4,20.6,25.1,29.8,31.5,33.1,34.8,36.4,36.4 aaa
83,44,Latvia,59.7,75.8,82.7,98.0,98.7,98.8,98.9,99.0,99.1,99.1
84,76,Lebanon,,,,,54.1,54.1,54.1,54.1,54.1,54.1
85,160,Lesotho,10.5,12.5,14.9,32.8,20.7,20.7,20.6,20.5,20.4,23.0
86,177,Liberia,18.7,21.9,23.5,25.0,9.4,14.1,18.9,23.6,28.3,28.3 aaa
87,102,Libya,22.8,28.8,36.3,42.7,48.5,50.1,51.8,53.4,55.1,55.1 aaa
88,37,Lithuania,69.6,76.4,83.1,87.0,91.0,91.6,91.4,92.3,93.1,93.1
89,20,Luxembourg,52.2,58.9,62.9,71.7,100.0,100.0,100.0,100.0,100.0,100.0
90,170,Malawi,6.2,6.9,8.6,10.0,16.3,17.1,17.9,18.8,19.6,19.6
91,59,Malaysia,40.3,50.5,54.4,46.5,68.2,70.4,72.7,74.9,77.1,77.1
92,105,Maldives,30.5,27.0,23.1,16.3,23.8,26.0,28.2,30.4,32.6,32.6
93,175,Mali,2.8,3.6,4.0,10.3,10.8,10.9,11.1,11.2,11.4,11.5
94,33,Malta,47.2,52.1,38.9,63.2,68.1,69.7,73.3,75.6,76.9,76.9
95,0,Marshall Islands,,,,,,92.1,92.1,92.1,92.1,92.1
96,157,Mauritania,5.1,7.5,9.8,12.2,14.4,15.1,15.8,16.6,17.3,17.3 aaa
97,64,Mauritius,33.0,38.3,39.1,47.6,,53.6,55.6,57.7,59.7,59.7
98,77,Mexico,30.6,38.3,40.0,46.9,52.8,55.4,58.0,56.5,57.4,57.4
99,107,Moldova (Republic of),70.2,76.7,81.8,84.6,93.8,94.3,95.0,95.5,96.2,96.2
100,92,Mongolia,71.8,74.8,80.2,82.8,84.7,85.5,86.3,87.0,87.8,87.8
101,48,Montenegro,,,,84.9,88.5,89.2,89.2,89.2,89.2,89.2
102,123,Morocco,14.5,17.8,21.4,22.7,25.3,26.3,27.4,28.4,29.4,29.4 aaa
103,181,Mozambique,1.9,2.5,2.5,3.2,,4.0,4.4,4.8,5.2,5.2 aaa
104,145,Myanmar,11.7,13.3,14.5,16.2,19.2,20.3,21.5,22.6,23.8,23.8 aaa
105,125,Namibia,33.6,31.0,27.7,30.6,33.9,35.0,36.2,37.4,38.5,38.5
106,144,Nepal,17.3,18.3,19.2,23.2,27.4,28.5,29.7,30.9,32.0,32.0 aaa
107,7,Netherlands,80.0,83.0,84.9,88.4,88.8,88.7,89.0,87.8,88.2,88.2
108,13,New Zealand,63.2,65.6,67.7,67.0,92.9,95.2,95.1,96.9,98.7,98.7
109,124,Nicaragua,20.2,23.1,25.9,33.8,38.9,40.4,41.9,43.5,45.0,45.0 aaa
110,187,Niger,1.9,2.9,3.8,4.7,5.2,5.4,5.6,5.8,6.1,6.1 aaa
111,1,Norway,66.0,72.2,77.7,96.6,93.9,97.1,96.6,96.2,95.3,95.3
112,52,Oman,,,,45.1,52.3,54.4,56.6,58.8,58.8,58.8
113,147,Pakistan,16.5,20.2,23.5,32.5,33.4,33.2,35.0,35.4,35.4,35.4
114,114,"Palestine, State of",,,,45.4,52.7,54.3,56.7,58.0,58.8,58.8
115,60,Panama,44.0,50.0,54.4,56.8,61.1,63.0,64.9,66.7,68.6,68.6
116,154,Papua New Guinea,11.7,14.1,12.4,11.2,11.1,11.3,11.4,11.6,11.7,11.7 aaa
117,110,Paraguay,27.2,27.1,27.3,41.7,35.9,38.6,41.3,44.0,46.6,46.6
118,87,Peru,43.1,48.3,53.8,63.5,59.1,59.5,61.1,61.9,61.5,61.5
119,116,Philippines,45.9,51.1,49.1,59.7,66.6,68.1,69.6,70.1,71.6,71.6
120,36,Poland,50.5,65.0,74.2,77.9,80.9,81.7,82.3,83.1,83.9,83.9
121,41,Portugal,22.5,25.7,29.8,35.3,41.3,45.0,47.2,49.3,51.4,51.4
122,33,Qatar,40.3,44.8,48.5,55.2,46.1,52.6,60.5,69.5,68.4,68.4
123,50,Romania,70.1,76.1,80.6,83.9,87.3,88.2,88.9,89.4,89.1,89.1
124,49,Russian Federation,77.2,83.9,90.1,92.0,90.9,91.8,92.8,93.7,94.6,94.6
125,159,Rwanda,3.6,4.0,5.2,6.7,,,11.8,12.5,13.2,13.2
126,92,Saint Lucia,,,,,,,,45.2,45.2,45.2
127,104,Samoa,,,,,,72.5,73.5,74.5,74.5,74.5
128,142,Sao Tome and Principe,,,,,,,37.7,37.7,37.7,37.7
129,38,Saudi Arabia,34.7,38.6,43.3,48.8,,,,66.5,66.5,66.5
130,162,Senegal,8.5,10.0,11.7,7.5,10.1,10.8,12.3,13.9,13.9,13.9
131,66,Serbia,41.8,48.5,56.9,72.7,85.6,84.2,85.0,85.8,86.7,86.7
132,179,Sierra Leone,7.2,9.3,10.9,12.7,15.7,17.5,19.4,21.3,23.1,23.1 aaa
133,5,Singapore,29.7,41.9,49.3,70.8,76.2,76.7,77.4,78.1,78.6,78.6
134,40,Slovakia,60.4,72.1,73.2,91.2,,97.1,99.3,99.3,99.3,99.3
135,25,Slovenia,79.6,86.3,92.5,94.1,95.4,96.0,96.9,97.1,97.3,97.3
136,119,South Africa,38.8,52.0,55.6,64.3,71.6,72.2,74.3,74.6,74.9,74.9
137,27,Spain,33.9,48.3,60.1,62.0,67.4,68.8,69.9,71.8,73.7,73.7
138,73,Sri Lanka,51.6,61.7,72.7,73.9,74.0,75.6,77.3,78.9,80.5,80.5
139,165,Sudan,7.2,9.8,12.5,14.4,15.2,15.4,15.7,16.0,16.3,16.3 aaa
140,97,Suriname,,,,45.9,,,54.9,56.3,57.6,57.6
141,148,Swaziland,28.6,33.2,37.6,18.5,23.8,25.1,26.3,27.6,28.8,28.8 aaa
142,14,Sweden,68.3,74.0,79.7,88.0,85.6,86.3,86.9,87.5,88.0,88.0
143,2,Switzerland,63.4,63.9,64.9,71.0,95.3,95.4,95.7,96.2,96.7,96.7
144,149,Syrian Arab Republic,24.0,24.1,24.8,28.8,34.3,35.5,36.6,37.8,38.9,38.9
145,129,Tajikistan,77.2,84.1,92.4,94.6,93.2,93.2,93.3,93.3,93.3,93.3
146,151,Tanzania (United Republic of),4.7,5.4,6.0,6.6,,,11.0,11.8,12.6,12.6
147,87,Thailand,14.8,16.9,19.7,32.4,38.1,39.2,40.2,41.3,43.3,43.3
148,82,The former Yugoslav Republic of Macedonia,,,,,,,,,,47.8
149,166,Togo,19.8,23.7,26.0,25.0,26.9,29.1,31.2,33.3,33.3,33.3
150,101,Tonga,62.5,73.2,71.7,69.6,84.2,87.9,90.3,91.4,91.2,91.2
151,65,Trinidad and Tobago,36.8,43.9,51.5,56.4,59.6,62.2,64.7,67.2,69.8,69.8
152,97,Tunisia,19.5,23.8,28.9,33.9,39.3,40.4,39.8,41.8,43.9,43.9
153,71,Turkey,19.4,22.2,27.1,30.6,44.2,47.9,49.4,50.9,54.0,54.0
154,163,Uganda,11.0,11.8,11.5,17.4,28.8,29.3,29.8,30.3,30.8,30.8
155,84,Ukraine,77.5,85.5,88.2,91.7,93.5,93.9,94.3,94.7,95.1,95.1
156,42,United Arab Emirates,42.7,53.8,61.9,62.7,64.3,65.1,66.0,66.9,67.7,67.7
157,16,United Kingdom,52.2,56.8,60.6,73.3,99.8,99.9,83.2,83.0,82.9,82.9
158,10,United States,89.6,95.8,96.3,93.7,94.8,94.9,95.0,95.2,95.3,95.3
159,54,Uruguay,40.0,42.2,48.0,47.1,49.5,51.2,52.5,52.3,53.4,53.4
160,105,Uzbekistan,,,,,,,,99.9,99.9,99.9
161,71,Venezuela (Bolivarian Republic of),23.8,27.6,28.7,45.2,58.4,63.0,65.0,66.9,68.9,68.9
162,115,Viet Nam,13.3,14.5,16.9,49.0,68.3,69.2,70.0,70.9,71.7,71.7
163,168,Yemen,1.0,3.2,6.6,11.7,17.6,19.3,21.0,22.7,24.4,24.4 aaa
164,139,Zambia,22.1,27.6,27.5,32.5,51.8,51.8,51.8,51.8,51.8,51.8
165,154,Zimbabwe,24.3,36.8,45.9,52.0,,,55.2,56.5,57.7,57.7
166,,,,,,,,,,,,
