,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,18.3 g,19.8 g,21.3 g,22.9 g,24.7 g,25.1 g,25.5 g,25.9 g,26.3 g,26.7 g
3,75,Albania,36.4 g,38.9 g,41.7 g,46.7 g,52.2 g,53.2 g,54.3 g,55.4 g,56.4 g,57.4 g
4,83,Algeria,52.1 g,56.0 g,59.9 g,63.8 g,67.5 g,68.2 g,68.9 g,69.5 g,70.1 g,70.7 g
5,32,Andorra,94.7 g,93.7 g,92.4 g,90.3 g,87.8 g,87.3 g,86.7 g,86.2 g,85.6 g,85.1 g
6,150,Angola,25.6 g,28.9 g,32.4 g,36.2 g,40.1 g,40.9 g,41.7 g,42.5 g,43.3 g,44.0 g
7,62,Antigua and Barbuda,35.4 g,34.0 g,32.1 g,29.2 g,26.2 g,25.7 g,25.1 g,24.6 g,24.2 g,23.8 g
8,45,Argentina,87.0 g,88.2 g,89.1 g,90.1 g,91.0 g,91.1 g,91.3 g,91.5 g,91.6 g,91.8 g
9,84,Armenia,67.4 g,66.1 g,64.7 g,64.2 g,63.6 g,63.4 g,63.2 g,63.0 g,62.8 g,62.7 g
10,2,Australia,85.4 k,86.1 k,87.2 k,88.0 k,88.7 k,88.9 k,89.0 k,89.2 k,89.3 k,89.4 k
11,24,Austria,65.8 g,65.8 g,65.8 g,65.8 g,65.9 g,65.9 g,65.9 g,65.9 g,65.9 g,66.0 g
12,78,Azerbaijan,53.7 u,52.2 u,51.4 u,52.4 u,53.4 u,53.6 u,53.9 u,54.1 u,54.4 u,54.6 u
13,58,Bahamas,79.8 g,81.0 g,82.0 g,82.3 g,82.5 g,82.6 g,82.7 g,82.7 g,82.8 g,82.9 g
14,47,Bahrain,88.1 g,88.4 g,88.4 g,88.4 g,88.5 g,88.6 g,88.6 g,88.7 g,88.7 g,88.8 g
15,139,Bangladesh,19.8 g,21.7 g,23.6 g,26.8 g,30.5 g,31.2 g,32.0 g,32.8 g,33.5 g,34.3 g
16,54,Barbados,32.6 g,33.3 g,33.8 g,32.9 g,32.1 g,31.9 g,31.8 g,31.7 g,31.6 g,31.5 g
17,52,Belarus,66.0 g,67.9 g,70.0 g,72.4 g,74.6 g,75.0 g,75.5 g,75.9 g,76.3 g,76.7 g
18,22,Belgium,96.4 g,96.8 g,97.1 g,97.4 g,97.6 g,97.7 g,97.7 g,97.8 g,97.8 g,97.9 g
19,103,Belize,47.5 g,47.5 g,47.7 g,46.3 g,45.0 g,44.7 g,44.5 g,44.3 g,44.1 g,44.0 g
20,167,Benin,34.5 g,36.8 g,38.3 g,40.0 g,41.9 g,42.3 g,42.7 g,43.1 g,43.5 g,44.0 g
