,HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
2,83,Algeria,95,99,,,,,95,
3,32,Andorra,,,100,100,100,100,100,
4,150,Angola,,,,47,,,,
5,62,Antigua and Barbuda,47,,55,65,60,,70,
6,84,Armenia,,77,,,,,,
7,78,Azerbaijan,100,100,100,100,100,100,100,
8,58,Bahamas,,,92,,,,,
9,47,Bahrain,,,,80,82,82,83,
10,139,Bangladesh,,53,,58,,,,
11,54,Barbados,,73,58,55,,,100,
12,52,Belarus,,100,100,100,100,100,99,
13,103,Belize,54,,45,48,54,49,61,
14,167,Benin,65,,43,47,,,68,
15,132,Bhutan,95,94,,,,,,
16,118,Bolivia (Plurinational State of),91,,,,,,,
17,108,Botswana,89,93,,,100,99,,
18,30,Brunei Darussalam,,84,87,88,88,85,87,
19,185,Burkina Faso,,88,,,95,86,,
20,184,Burundi,,88,,94,95,,92,
21,122,Cabo Verde,,78,90,92,95,,96,
22,143,Cambodia,,98,99,99,100,100,100,
23,153,Cameroon,,63,57,67,79,,,
24,188,Central African Republic,,,,57,58,,,
25,186,Chad,,,70,68,66,65,,
26,95,Colombia,,,100,100,100,97,98,
27,160,Comoros,,,,55,,75,,
28,135,Congo,65,,87,79,80,,,
29,176,Congo (Democratic Republic of the),,,92,90,94,,95,
30,66,Costa Rica,,97,89,91,,94,94,
31,45,Croatia,100,,,,,,,
32,68,Cuba,100,100,100,100,100,100,100,
33,171,Côte d'Ivoire,99,,,100,99,83,85,
34,172,Djibouti,,,,100,,96,,100
35,96,Dominica,65,60,61,58,61,65,65,
36,99,Dominican Republic,,88,85,85,85,,,
37,89,Ecuador,87,71,84,84,84,85,82,
38,111,Egypt,,,,,,72,73,
39,117,El Salvador,,95,,96,,,,
40,135,Equatorial Guinea,,,45,49,,,,
41,179,Eritrea,72,84,94,91,90,80,,
42,174,Ethiopia,,,39,48,57,,95,
43,91,Fiji,,,,100,100,,,
44,173,Gambia,75,,,90,,82,84,
45,70,Georgia,95,,,,,,,
46,139,Ghana,69,58,,51,52,53,52,55
47,79,Grenada,67,75,65,,,54,63,
48,183,Guinea,,68,,80,75,74,75,
49,178,Guinea-Bissau,35,,39,,,,,
50,127,Guyana,51,57,66,68,70,,,
51,12,"Hong Kong, China (SAR)",88,93,96,96,96,96,96,
52,69,Iran (Islamic Republic of),,,,,,100,100,
53,121,Iraq,100,,,,,,,
54,94,Jamaica,,,,,,70,96,
55,56,Kazakhstan,,,,,,,100,100
56,146,Kenya,,99,,,,,,
57,137,Kiribati,,94,,,,,,
58,51,Kuwait,100,100,,78,78,77,79,
59,120,Kyrgyzstan,46,58,68,70,72,,,
60,138,Lao People's Democratic Republic,77,83,95,94,97,98,98,
61,76,Lebanon,,,,,,91,97,
62,160,Lesotho,74,64,63,66,68,72,76,
63,177,Liberia,,,,56,,,56,
64,158,Madagascar,,,,,21,19,17,
65,170,Malawi,,,96,88,92,91,,
66,59,Malaysia,98,92,95,96,96,97,99,
67,105,Maldives,66,64,77,81,77,90,86,
68,175,Mali,,,,52,,,,
69,157,Mauritania,,100,100,100,100,,91,
70,64,Mauritius,100,100,100,100,100,100,100,
71,77,Mexico,,95,96,,,,,
72,107,Moldova (Republic of),,,,,,,94,
73,92,Mongolia,100,100,98,99,99,100,100,
74,123,Morocco,,100,100,100,100,100,100,
75,181,Mozambique,,60,76,80,84,87,90,
76,145,Myanmar,63,76,100,,,,100,
77,125,Namibia,85,92,96,,,,,
78,0,Nauru,,,,,,,,
79,144,Nepal,,31,74,81,93,92,94,94
80,124,Nicaragua,73,77,75,,,,,
81,187,Niger,97,85,97,96,97,46,50,
82,152,Nigeria,,50,66,,,,,
83,52,Oman,100,,,,,,,
84,147,Pakistan,,86,84,83,84,85,84,
85,114,"Palestine, State of",100,100,100,100,100,100,100,
86,60,Panama,75,90,92,92,90,,,
87,110,Paraguay,,,,,92,,,
88,116,Philippines,,,,,,100,,
89,33,Qatar,,,,,,,,
90,159,Rwanda,53,94,91,98,96,95,,
91,74,Saint Kitts and Nevis,61,58,62,64,65,65,68,
92,92,Saint Lucia,,80,87,87,88,89,79,
93,99,Saint Vincent and the Grenadines,,,84,,85,83,76,
94,142,Sao Tome and Principe,,,,,,,33,34
95,38,Saudi Arabia,,,,,,100,100,
96,162,Senegal,,46,48,,65,,70,
97,66,Serbia,,,,70,56,,,
98,63,Seychelles,81,,,87,,,,
99,179,Sierra Leone,,,,48,55,57,,
100,5,Singapore,,,,,,,,
101,156,Solomon Islands,,,58,54,54,63,65,
102,119,South Africa,68,,,,,,,
103,181,South Sudan,,,,44,,,,
104,73,Sri Lanka,,,82,82,,80,,
105,165,Sudan,,58,,,,,,
106,97,Suriname,,,,,,94,6,
107,148,Swaziland,90,91,79,78,68,79,,
108,149,Syrian Arab Republic,89,,,,,,,
109,129,Tajikistan,,,93,94,94,94,100,100
110,151,Tanzania (United Republic of),,100,94,,97,99,,
111,87,Thailand,,,,,,,100,
112,166,Togo,,,77,71,82,76,,
113,101,Tonga,,,,,,100,97,
114,65,Trinidad and Tobago,76,,,,,,,
115,97,Tunisia,,,,,100,100,100,
116,163,Uganda,,85,,95,,,,
117,84,Ukraine,99,100,100,100,100,,,
118,42,United Arab Emirates,,60,,,100,100,100,
119,105,Uzbekistan,,,100,100,,,,
120,134,Vanuatu,,,,,,,,
121,115,Viet Nam,80,93,98,99,100,,100,
122,139,Zambia,,,,,93,,,
123,154,Zimbabwe,,,,,88,86,,
124,,,,,,,,,,
