,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014
2,169,Afghanistan,,,0.8,2.9,2.1,2.9,2.6,2.9
3,75,Albania,1.7,2.3,2.7,2.5,2.8,2.7,2.8,2.9
4,83,Algeria,2.7,2.6,2.3,3.6,3.8,4.5,5.2,5.2
5,32,Andorra,4.0,4.0,3.5,6.2,4.9,5.7,9.7,6.3
6,150,Angola,4.7,1.7,2.0,2.1,2.2,2.1,3.1,2.1
7,62,Antigua and Barbuda,2.7,2.8,3.0,3.9,3.9,3.7,3.6,3.8
8,45,Argentina,5.0,5.0,3.7,4.2,3.7,3.0,2.7,2.7
9,84,Armenia,2.0,1.1,1.9,1.9,1.9,1.9,1.9,1.9
10,2,Australia,4.8,5.4,5.7,6.1,6.3,6.3,6.3,6.3
11,24,Austria,7.1,7.5,7.8,8.4,8.2,8.4,8.4,8.7
12,78,Azerbaijan,1.4,0.9,0.9,1.2,1.1,1.2,1.1,1.2
13,58,Bahamas,2.7,2.5,2.6,3.5,3.6,3.3,3.1,3.6
14,47,Bahrain,2.8,2.4,2.2,2.6,2.4,2.8,3.0,3.2
15,139,Bangladesh,1.2,0.9,1.0,1.1,1.0,1.0,0.8,0.8
16,54,Barbados,3.5,3.4,3.5,4.0,4.2,4.8,4.9,4.7
17,52,Belarus,4.8,4.6,5.0,4.3,3.5,3.9,4.0,3.7
18,22,Belgium,5.8,6.1,7.1,7.9,8.0,8.2,8.2,8.3
19,103,Belize,2.6,2.1,2.6,3.9,3.7,3.6,3.8,3.9
20,167,Benin,2.1,1.9,2.4,2.7,2.9,2.2,2.2,2.3
21,132,Bhutan,2.7,5.3,4.2,4.5,4.1,2.7,2.8,2.6
22,118,Bolivia (Plurinational State of),2.1,3.2,3.9,3.7,3.8,3.8,4.2,4.6
23,81,Bosnia and Herzegovina,3.4,4.0,4.9,6.8,6.9,7.1,6.6,6.8
24,108,Botswana,2.1,2.9,4.1,3.5,3.2,4.0,3.5,3.2
25,79,Brazil,2.8,2.8,3.4,3.8,3.7,3.7,3.8,3.8
26,30,Brunei Darussalam,2.3,2.6,2.2,2.5,2.1,2.1,2.4,2.5
27,56,Bulgaria,3.5,3.7,4.3,4.0,3.8,4.0,4.1,4.6
28,185,Burkina Faso,1.9,2.0,4.1,4.0,3.0,3.0,3.5,2.6
29,184,Burundi,1.3,1.4,2.9,5.5,5.4,4.9,4.4,4.0
30,122,Cabo Verde,4.3,3.5,3.6,3.4,3.3,3.3,3.1,3.6
31,143,Cambodia,1.1,1.3,1.6,1.4,1.3,1.5,1.4,1.3
32,153,Cameroon,0.9,0.9,1.1,1.5,1.3,1.1,1.0,0.9
33,10,Canada,6.3,6.1,6.7,7.9,7.7,7.7,7.6,7.4
34,188,Central African Republic,1.4,2.1,2.1,2.0,1.8,1.8,1.9,2.1
35,186,Chad,2.0,2.7,1.6,1.2,1.5,1.4,1.8,2.0
36,38,Chile,2.5,3.3,2.5,3.3,3.3,3.5,3.6,3.9
37,90,China,1.8,1.8,1.8,2.7,2.8,2.9,3.0,3.1
38,95,Colombia,3.7,4.7,4.3,5.0,5.0,5.3,5.2,5.4
39,160,Comoros,2.9,1.5,2.3,1.5,1.7,2.6,2.0,2.2
40,135,Congo,1.9,1.2,1.4,1.4,2.0,3.1,4.1,4.2
41,176,Congo (Democratic Republic of the),0.2,0.0,0.8,1.1,1.3,1.7,1.3,1.6
42,66,Costa Rica,5.0,5.6,5.5,7.1,7.2,7.0,6.9,6.8
43,45,Croatia,5.8,6.6,5.9,7.1,6.3,6.4,6.4,6.4
44,68,Cuba,4.6,5.5,8.7,9.7,10.1,8.1,9.0,10.6
45,33,Cyprus,1.7,2.4,2.7,3.4,3.5,3.4,3.5,3.3
46,28,Czech Republic,6.1,5.7,6.1,6.2,6.3,6.3,6.3,6.3
47,171,Côte d'Ivoire,1.6,1.8,1.3,1.7,1.6,1.9,1.8,1.7
48,5,Denmark,6.7,7.3,8.3,9.4,9.3,9.4,9.6,9.2
49,172,Djibouti,2.4,3.9,4.9,5.2,5.0,5.3,5.3,6.8
50,96,Dominica,4.2,3.3,3.0,4.0,4.0,3.7,3.8,3.8
51,99,Dominican Republic,1.2,2.2,1.5,2.3,2.6,2.7,2.6,2.9
52,89,Ecuador,1.9,0.9,1.3,2.5,2.6,3.0,3.9,4.5
53,111,Egypt,1.6,2.2,2.0,1.9,2.0,1.9,2.1,2.2
54,117,El Salvador,2.5,3.8,3.8,4.3,4.3,4.2,4.6,4.5
55,135,Equatorial Guinea,3.9,2.2,0.9,3.1,2.6,3.3,3.0,2.9
56,179,Eritrea,2.2,1.6,1.1,1.4,1.4,1.4,1.4,1.5
57,30,Estonia,5.7,4.1,3.9,4.9,4.6,5.1,5.1,5.0
58,174,Ethiopia,1.2,2.4,2.6,3.7,3.7,3.3,3.0,2.9
59,91,Fiji,2.5,3.2,2.9,3.0,2.7,2.8,2.9,3.0
60,23,Finland,5.6,5.1,6.2,6.7,6.8,7.0,7.2,7.3
61,21,France,8.1,7.8,8.3,8.7,8.7,8.8,8.9,9.0
62,109,Gabon,1.3,1.2,1.1,2.4,2.1,2.2,2.9,2.4
63,173,Gambia,1.0,1.2,2.9,3.4,3.7,3.7,4.2,5.0
64,70,Georgia,0.3,1.2,1.6,2.3,1.7,1.2,1.3,1.6
65,4,Germany,7.7,8.0,8.0,8.6,8.3,8.4,8.6,8.7
66,139,Ghana,1.6,1.5,2.9,3.8,3.6,3.1,3.2,2.1
67,29,Greece,4.3,4.6,5.6,6.2,6.7,6.3,6.1,5.0
68,79,Grenada,3.0,3.4,2.9,3.1,3.0,3.0,2.8,2.8
69,125,Guatemala,1.6,1.9,2.2,2.4,2.2,2.1,2.3,2.3
70,183,Guinea,1.2,1.1,0.6,2.0,2.0,2.1,2.4,2.7
71,178,Guinea-Bissau,1.6,0.5,1.1,1.8,1.0,1.6,1.6,1.1
72,127,Guyana,4.1,5.0,4.4,4.5,4.6,4.3,2.9,3.1
73,163,Haiti,2.7,1.7,0.9,1.4,1.8,1.0,1.7,1.6
74,130,Honduras,2.9,3.6,3.9,4.2,3.9,4.5,4.5,4.4
75,43,Hungary,6.1,5.0,5.8,5.1,5.0,4.9,4.9,4.9
