,HDI Rank,Country,
2,169,Afghanistan,2663.0
3,75,Albania,10.4
4,83,Algeria,3.5
5,32,Andorra,0.0
6,150,Angola,11.9
7,62,Antigua and Barbuda,0.1
8,45,Argentina,0.2
9,84,Armenia,11.2
10,2,Australia,0.0
11,24,Austria,0.0
12,78,Azerbaijan,9.7
13,58,Bahamas,0.2
14,47,Bahrain,0.4
15,139,Bangladesh,12.2
16,54,Barbados,0.1
17,52,Belarus,4.1
18,22,Belgium,0.1
19,103,Belize,0.1
20,167,Benin,0.4
21,132,Bhutan,17.7
22,118,Bolivia (Plurinational State of),0.6
23,81,Bosnia and Herzegovina,18.7
24,108,Botswana,0.3
25,79,Brazil,0.9
26,56,Bulgaria,1.3
27,185,Burkina Faso,2.1
28,184,Burundi,292.8
29,122,Cabo Verde,0.0
30,143,Cambodia,12.8
31,153,Cameroon,10.6
32,10,Canada,0.1
33,188,Central African Republic,471.1
34,186,Chad,14.9
35,38,Chile,0.6
36,90,China,212.9
37,95,Colombia,90.8
38,160,Comoros,0.6
39,135,Congo,14.8
40,176,Congo (Democratic Republic of the),541.3
41,66,Costa Rica,0.4
42,45,Croatia,33.5
43,68,Cuba,5.9
44,33,Cyprus,0.0
45,28,Czech Republic,1.3
46,171,Côte d'Ivoire,71.1
47,5,Denmark,0.0
48,172,Djibouti,1.1
49,96,Dominica,0.0
50,99,Dominican Republic,0.4
51,89,Ecuador,1.0
52,111,Egypt,17.9
53,117,El Salvador,14.8
54,135,Equatorial Guinea,0.2
55,179,Eritrea,379.8
56,30,Estonia,0.3
57,174,Ethiopia,85.8
58,91,Fiji,0.9
59,23,Finland,0.0
60,21,France,0.1
61,109,Gabon,0.2
62,173,Gambia,8.5
63,70,Georgia,6.5
64,4,Germany,0.2
65,139,Ghana,23.0
66,29,Greece,0.1
67,79,Grenada,0.3
68,125,Guatemala,10.3
69,183,Guinea,17.0
70,178,Guinea-Bissau,1.5
71,127,Guyana,0.5
72,163,Haiti,34.8
73,130,Honduras,6.8
74,12,"Hong Kong, China (SAR)",0.0
75,43,Hungary,1.4
76,131,India,9.9
77,113,Indonesia,9.3
78,69,Iran (Islamic Republic of),84.9
79,121,Iraq,261.1
80,8,Ireland,0.0
81,19,Israel,0.8
82,26,Italy,0.1
83,94,Jamaica,1.9
84,17,Japan,0.1
85,86,Jordan,1.8
86,56,Kazakhstan,2.3
87,146,Kenya,7.9
88,137,Kiribati,0.0
89,0,Korea (Democratic People's Rep. of),1.1
90,18,Korea (Republic of),0.4
91,51,Kuwait,1.1
92,120,Kyrgyzstan,2.5
93,138,Lao People's Democratic Republic,7.4
94,44,Latvia,0.2
95,76,Lebanon,4.4
96,160,Lesotho,0.0
97,177,Liberia,10.0
98,102,Libya,6.1
99,37,Lithuania,0.1
100,20,Luxembourg,0.0
101,158,Madagascar,0.3
102,170,Malawi,0.4
103,59,Malaysia,0.4
104,105,Maldives,0.0
105,175,Mali,154.2
106,33,Malta,0.0
107,0,Marshall Islands,0.0
108,157,Mauritania,34.7
109,64,Mauritius,0.1
110,77,Mexico,11.3
111,107,Moldova (Republic of),2.3
112,0,Monaco,0.0
113,92,Mongolia,2.2
114,48,Montenegro,0.7
115,123,Morocco,1.8
116,181,Mozambique,0.1
117,145,Myanmar,198.7
118,125,Namibia,1.5
119,144,Nepal,8.9
120,7,Netherlands,0.1
121,13,New Zealand,0.0
122,124,Nicaragua,1.5
123,187,Niger,1.4
124,152,Nigeria,152.1
125,1,Norway,0.0
126,52,Oman,0.0
127,147,Pakistan,277.3
128,60,Palau,0.0
129,114,"Palestine, State of",98.0
130,60,Panama,0.1
131,154,Papua New Guinea,0.3
132,110,Paraguay,0.1
133,87,Peru,3.6
134,116,Philippines,0.6
135,36,Poland,1.3
136,41,Portugal,0.0
137,33,Qatar,0.0
138,50,Romania,1.7
139,49,Russian Federation,67.0
140,159,Rwanda,286.4
141,74,Saint Kitts and Nevis,0.0
142,92,Saint Lucia,1.0
143,99,Saint Vincent and the Grenadines,1.8
144,104,Samoa,0.0
145,0,San Marino,0.0
146,142,Sao Tome and Principe,0.0
147,38,Saudi Arabia,0.7
148,162,Senegal,21.3
149,63,Seychelles,0.0
150,179,Sierra Leone,4.9
151,5,Singapore,0.1
152,40,Slovakia,0.3
153,25,Slovenia,0.0
154,156,Solomon Islands,0.1
155,0,Somalia,1123.0
156,119,South Africa,0.4
157,181,South Sudan,778.6
158,27,Spain,0.1
159,73,Sri Lanka,121.4
160,165,Sudan,622.5
161,97,Suriname,0.0
162,148,Swaziland,0.2
163,14,Sweden,0.0
164,2,Switzerland,0.0
165,149,Syrian Arab Republic,4850.8
166,129,Tajikistan,0.8
167,151,Tanzania (United Republic of),6.2
168,87,Thailand,0.2
169,82,The former Yugoslav Republic of Macedonia,1.8
170,133,Timor-Leste,0.0
171,166,Togo,8.8
172,101,Tonga,0.0
173,65,Trinidad and Tobago,0.4
174,97,Tunisia,1.6
175,71,Turkey,59.6
176,111,Turkmenistan,0.5
177,0,Tuvalu,0.0
178,163,Uganda,6.3
179,84,Ukraine,321.0
180,42,United Arab Emirates,0.1
181,16,United Kingdom,0.1
182,10,United States,4.8
183,54,Uruguay,0.1
184,105,Uzbekistan,4.2
185,134,Vanuatu,0.0
186,71,Venezuela (Bolivarian Republic of),7.5
187,115,Viet Nam,313.2
188,168,Yemen,15.9
189,139,Zambia,0.3
190,154,Zimbabwe,21.3
191,,,
