,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012
2,169,Afghanistan,53.0,68.6,59.5,40.3,15.2,10.8,
3,75,Albania,24.9,48.8,41.7,36.8,37.2,36.2,38.2
4,83,Algeria,0.2,0.4,0.4,0.6,0.3,0.2,0.2
5,150,Angola,72.3,74.1,75.5,72.9,57.3,57.7,57.2
6,45,Argentina,8.9,11.2,11.1,9.0,9.0,9.0,8.8
7,84,Armenia,2.1,9.3,7.2,6.5,9.4,8.0,6.6
8,2,Australia,8.0,8.2,8.4,6.7,7.2,7.5,8.4
9,24,Austria,25.3,25.7,26.5,24.3,31.4,31.5,34.5
10,78,Azerbaijan,0.7,1.4,2.1,3.4,4.5,3.6,2.8
11,58,Bahamas,,,,1.8,1.6,1.6,
12,139,Bangladesh,72.0,64.2,59.4,51.1,41.0,39.6,38.3
13,54,Barbados,18.8,15.9,13.5,9.9,8.8,9.5,
14,52,Belarus,0.8,2.5,5.0,6.2,7.0,7.4,7.2
15,22,Belgium,1.3,1.3,1.4,2.5,5.2,5.5,7.4
16,103,Belize,36.8,42.4,23.9,31.2,26.9,26.8,
17,167,Benin,93.7,94.8,70.3,59.2,51.5,51.2,50.6
18,132,Bhutan,97.2,92.0,95.5,91.8,91.4,90.0,
19,118,Bolivia (Plurinational State of),37.4,33.5,41.6,43.2,33.5,32.7,28.0
20,81,Bosnia and Herzegovina,7.3,33.2,19.4,19.7,19.6,14.2,15.3
21,108,Botswana,47.6,47.2,36.1,30.5,24.1,24.5,23.9
22,79,Brazil,49.9,46.1,42.8,46.3,47.0,45.5,43.6
23,30,Brunei Darussalam,0.7,,,,,0.0,0.0
24,56,Bulgaria,1.9,3.1,8.0,9.9,14.4,13.3,15.8
25,185,Burkina Faso,92.4,92.3,86.5,86.5,83.7,80.0,
26,184,Burundi,83.2,83.1,93.5,97.3,96.9,96.6,
27,122,Cabo Verde,38.2,40.9,32.7,41.3,27.6,21.2,
28,143,Cambodia,,82.5,81.1,76.0,73.3,72.3,72.6
29,153,Cameroon,81.6,84.5,84.5,85.8,78.6,78.4,78.1
30,10,Canada,20.6,20.4,20.5,21.5,20.7,20.7,20.6
