,HDI Rank,Country,1995,1997,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,,,,25.9,27.6,27.6,27.6,27.6,27.6,27.4
3,75,Albania,,,5.2,7.1,16.4,15.7,15.7,17.9,20.0,20.7
4,83,Algeria,3.2 ddd,3.2,4.0,5.3,7.0,7.2,25.8,25.8,25.7,25.7
5,32,Andorra,7.1 ddd,7.1,7.1,28.6,35.7,50.0,50.0,50.0,50.0,39.3
6,150,Angola,9.5 ddd,9.5,15.5,15.0,38.6,38.2,34.1,34.1,36.8,36.8
7,62,Antigua and Barbuda,11.1 ddd,11.1,8.3,13.9,19.4,19.4,19.4,19.4,21.2,25.7
8,45,Argentina,22.8 ddd,22.8,21.3,37.4,37.8,37.7,37.7,37.1,37.1,37.1 fff
9,84,Armenia,6.3 ddd,6.3,3.1,5.3,9.2,8.4,10.7,10.7,10.7,10.7
10,2,Australia,20.5 ddd,20.5,25.0,28.3,28.3,29.2,29.2,31.1,30.1,30.5
11,24,Austria,24.7 ddd,24.7,25.1,32.2,28.3,28.7,28.7,32.2,31.4,30.3
12,78,Azerbaijan,12.0 ddd,12.0,,13.0,16.0,16.0,16.0,15.6,15.6,16.9
13,58,Bahamas,19.6 ddd,19.6,19.6,26.8,17.9,17.9,16.7,16.7,16.7,16.7
14,47,Bahrain,,,,7.5,15.0,18.8,18.8,18.8,17.5,15.0
15,139,Bangladesh,9.1 ddd,9.1,9.1,14.8,18.6,19.7,19.7,19.7,19.8,20.0
16,54,Barbados,18.4 ddd,18.4,20.4,17.6,19.6,19.6,19.6,21.6,21.6,19.6
17,52,Belarus,,,,29.8,32.1,32.1,29.5,29.5,29.5,29.2
18,22,Belgium,15.8 ddd,15.8,24.9,35.7,38.9,38.9,38.9,38.9,42.4,42.4
19,103,Belize,10.8 ddd,10.8,13.5,11.9,11.1,11.1,13.3,13.3,13.3,13.3
20,167,Benin,7.2 ddd,7.2,6.0,7.2,10.8,8.4,8.4,8.4,8.4,7.2
21,132,Bhutan,2.0 ddd,2.0,9.3,9.3,13.9,13.9,13.9,6.9,8.3,8.3
22,118,Bolivia (Plurinational State of),,,10.2,14.7,30.1,30.1,30.1,30.1,51.8,51.8
