,HDI Rank,Country,
2,169,Afghanistan,40.9 d
3,75,Albania,23.1 l
4,83,Algeria,11.7 d
5,150,Angola,29.2 l
6,45,Argentina,8.2 l
7,84,Armenia,20.8 d
8,2,Australia,2.0 l
9,78,Azerbaijan,18.0 d
10,139,Bangladesh,36.1 d
11,54,Barbados,7.7 d
12,52,Belarus,4.5 l
13,103,Belize,19.3 d
14,167,Benin,34.0 d
15,132,Bhutan,33.6 d
16,118,Bolivia (Plurinational State of),18.1 d
17,81,Bosnia and Herzegovina,8.9 d
18,108,Botswana,31.4 l
19,79,Brazil,7.1 l
20,30,Brunei Darussalam,19.7 l
21,56,Bulgaria,8.8 l
22,185,Burkina Faso,32.9 d
23,184,Burundi,57.5 d
24,143,Cambodia,32.4 d
25,153,Cameroon,31.7 d
26,188,Central African Republic,40.7 d
27,186,Chad,39.9 d
28,38,Chile,1.8 d
29,90,China,9.4 d
30,95,Colombia,12.7 d
31,160,Comoros,32.1 d
32,135,Congo,21.2 d
33,176,Congo (Democratic Republic of the),42.6 d
34,66,Costa Rica,5.6 l
35,68,Cuba,7.0 l
36,28,Czech Republic,2.6 l
37,171,Côte d'Ivoire,29.6 d
38,172,Djibouti,33.5 d
39,99,Dominican Republic,7.1 d
40,89,Ecuador,25.2 d
41,111,Egypt,22.3 d
42,117,El Salvador,14.0 d
43,135,Equatorial Guinea,26.2 d
44,179,Eritrea,50.3 d
45,174,Ethiopia,40.4 d
46,91,Fiji,7.5 l
47,109,Gabon,17.5 d
48,173,Gambia,24.5 d
49,70,Georgia,11.3 l
50,4,Germany,1.3 l
51,139,Ghana,18.8 d
52,125,Guatemala,46.5 d
53,183,Guinea,31.3 d
54,178,Guinea-Bissau,27.6 d
55,127,Guyana,12.0 d
56,163,Haiti,21.9 d
57,130,Honduras,22.7 d
58,131,India,38.7 d
59,113,Indonesia,36.4 d
60,69,Iran (Islamic Republic of),6.8 d
61,121,Iraq,22.6 d
62,94,Jamaica,5.7 d
63,17,Japan,7.1 d
64,86,Jordan,7.8 d
65,56,Kazakhstan,13.1 d
66,146,Kenya,26.0 d
67,0,Korea (Democratic People's Rep. of),27.9 d
68,18,Korea (Republic of),2.5 d
69,51,Kuwait,5.8 d
70,120,Kyrgyzstan,12.9 d
71,138,Lao People's Democratic Republic,43.8 d
72,76,Lebanon,16.5 l
73,160,Lesotho,33.2 d
74,177,Liberia,32.1 d
75,102,Libya,21.0 l
76,158,Madagascar,49.2 l
77,170,Malawi,42.4 d
78,59,Malaysia,17.2 l
79,105,Maldives,20.3 l
80,175,Mali,38.5 l
81,157,Mauritania,22.0 d
82,77,Mexico,13.6 d
83,107,Moldova (Republic of),6.4 d
84,92,Mongolia,10.8 d
85,48,Montenegro,9.4 d
86,123,Morocco,14.9 d
87,181,Mozambique,43.1 d
88,145,Myanmar,35.1 d
89,125,Namibia,23.1 d
90,0,Nauru,24.0 l
91,144,Nepal,37.4 d
92,124,Nicaragua,23.0 l
93,187,Niger,43.0 d
94,152,Nigeria,32.9 d
95,52,Oman,14.1 d
96,147,Pakistan,45.0 d
97,114,"Palestine, State of",7.4 d
98,60,Panama,19.1 l
99,154,Papua New Guinea,49.5 d
100,110,Paraguay,10.9 d
101,87,Peru,14.6 d
102,116,Philippines,30.3 d
103,50,Romania,12.8 l
104,159,Rwanda,37.9 d
105,92,Saint Lucia,2.5 d
106,142,Sao Tome and Principe,17.2 d
107,38,Saudi Arabia,9.3 l
108,162,Senegal,19.4 d
109,66,Serbia,6.0 d
110,179,Sierra Leone,37.9 d
111,5,Singapore,4.4 l
112,156,Solomon Islands,32.8 l
113,0,Somalia,25.9 l
114,119,South Africa,23.9 l
115,181,South Sudan,31.1 d
116,73,Sri Lanka,14.7 d
117,165,Sudan,38.2 d
118,97,Suriname,8.8 d
119,148,Swaziland,25.5 d
120,149,Syrian Arab Republic,27.5 l
121,129,Tajikistan,26.8 d
122,151,Tanzania (United Republic of),34.7 d
123,87,Thailand,16.3 d
124,82,The former Yugoslav Republic of Macedonia,4.9 d
125,133,Timor-Leste,50.2 d
126,166,Togo,27.5 d
127,101,Tonga,8.1 d
128,65,Trinidad and Tobago,5.3 l
129,97,Tunisia,10.1 d
130,71,Turkey,9.5 d
131,111,Turkmenistan,18.9 l
132,0,Tuvalu,10.0 l
133,163,Uganda,34.2 d
134,84,Ukraine,3.7 l
135,10,United States,2.1 d
136,54,Uruguay,10.7 d
137,105,Uzbekistan,19.6 l
138,134,Vanuatu,28.5 d
139,71,Venezuela (Bolivarian Republic of),13.4 l
140,115,Viet Nam,19.4 d
141,168,Yemen,46.5 d
142,139,Zambia,40.0 d
143,154,Zimbabwe,27.6 d
144,,,
