,HDI Rank,Country,
2,169,Afghanistan,5.3
3,75,Albania,5.2
4,83,Algeria,1.5
5,150,Angola,7.3
6,45,Argentina,4.1
7,84,Armenia,0.9
8,2,Australia,5.2
9,24,Austria,5.4
10,78,Azerbaijan,1.0
11,58,Bahamas,1.3
12,47,Bahrain,2.9
13,139,Bangladesh,8.7
14,54,Barbados,0.6
15,52,Belarus,6.4
16,22,Belgium,7.7
17,103,Belize,0.5
18,167,Benin,3.1
19,132,Bhutan,11.2
20,118,Bolivia (Plurinational State of),8.5
21,81,Bosnia and Herzegovina,4.1
22,108,Botswana,2.0
23,79,Brazil,2.5
24,30,Brunei Darussalam,5.2
25,56,Bulgaria,5.3
26,185,Burkina Faso,2.8
27,184,Burundi,12.5
28,122,Cabo Verde,1.6
29,143,Cambodia,6.5
30,153,Cameroon,3.4
31,10,Canada,4.8
32,188,Central African Republic,5.3
33,186,Chad,2.3
34,38,Chile,5.8
35,90,China,8.7
36,95,Colombia,1.9
37,160,Comoros,10.3
38,135,Congo,4.6
39,176,Congo (Democratic Republic of the),4.8
40,66,Costa Rica,2.2
41,45,Croatia,4.5
42,68,Cuba,4.5
43,33,Cyprus,1.5
44,28,Czech Republic,3.9
45,171,Côte d'Ivoire,4.1
46,5,Denmark,4.1
47,172,Djibouti,9.5
48,99,Dominican Republic,2.1
49,89,Ecuador,5.3
50,111,Egypt,1.2
51,117,El Salvador,5.7
52,135,Equatorial Guinea,8.6
53,179,Eritrea,8.7
54,30,Estonia,3.8
55,174,Ethiopia,6.7
56,91,Fiji,4.1
57,23,Finland,7.5
58,21,France,6.0
59,109,Gabon,4.5
60,173,Gambia,2.6
61,70,Georgia,1.0
62,4,Germany,4.1
63,139,Ghana,2.2
64,29,Greece,1.3
65,125,Guatemala,4.3
66,183,Guinea,2.4
67,178,Guinea-Bissau,2.4
68,127,Guyana,22.1
69,163,Haiti,2.4
70,130,Honduras,2.8
71,43,Hungary,7.4
72,9,Iceland,6.7
73,131,India,16.4
74,113,Indonesia,4.9
75,69,Iran (Islamic Republic of),3.6
76,121,Iraq,2.1
77,8,Ireland,5.2
78,19,Israel,2.3
79,26,Italy,1.9
80,94,Jamaica,0.7
81,17,Japan,10.1
82,86,Jordan,1.9
83,56,Kazakhstan,9.3
84,146,Kenya,8.4
85,18,Korea (Republic of),18.0
86,51,Kuwait,0.8
87,120,Kyrgyzstan,4.5
88,138,Lao People's Democratic Republic,6.6
89,44,Latvia,4.3
90,76,Lebanon,0.6
91,160,Lesotho,3.4
92,177,Liberia,2.0
93,102,Libya,1.4
94,37,Lithuania,8.4
95,20,Luxembourg,4.4
96,158,Madagascar,6.9
97,170,Malawi,8.9
98,59,Malaysia,1.5
99,105,Maldives,4.9
100,175,Mali,2.7
101,33,Malta,0.7
102,157,Mauritania,1.5
103,64,Mauritius,2.9
104,77,Mexico,1.7
105,107,Moldova (Republic of),4.8
106,92,Mongolia,3.7
107,48,Montenegro,6.4
108,123,Morocco,1.2
109,181,Mozambique,21.1
110,145,Myanmar,10.3
111,125,Namibia,1.4
112,144,Nepal,20.0
113,7,Netherlands,4.8
114,13,New Zealand,5.0
115,124,Nicaragua,4.9
116,187,Niger,1.9
117,152,Nigeria,2.9
118,1,Norway,5.2
119,52,Oman,0.6
120,147,Pakistan,9.6
121,60,Panama,1.3
122,154,Papua New Guinea,9.1
123,110,Paraguay,3.2
124,87,Peru,2.1
125,116,Philippines,1.2
126,36,Poland,3.8
127,41,Portugal,3.5
128,33,Qatar,1.2
129,50,Romania,2.9
130,49,Russian Federation,6.2
131,159,Rwanda,7.2
132,38,Saudi Arabia,0.2
133,162,Senegal,2.8
134,66,Serbia,5.8
135,179,Sierra Leone,4.5
136,5,Singapore,5.3
137,40,Slovakia,2.5
138,25,Slovenia,4.4
139,156,Solomon Islands,7.2
140,0,Somalia,6.8
141,119,South Africa,1.1
142,181,South Sudan,12.8
143,27,Spain,2.2
144,73,Sri Lanka,12.8
145,165,Sudan,11.5
146,97,Suriname,11.9
147,148,Swaziland,4.1
148,14,Sweden,6.1
149,2,Switzerland,5.1
150,149,Syrian Arab Republic,0.2
151,129,Tajikistan,2.8
152,151,Tanzania (United Republic of),18.3
153,87,Thailand,4.5
154,82,The former Yugoslav Republic of Macedonia,3.2
155,133,Timor-Leste,5.8
156,166,Togo,2.8
157,65,Trinidad and Tobago,6.2
158,97,Tunisia,1.4
159,71,Turkey,4.2
160,111,Turkmenistan,7.5
161,163,Uganda,12.3
162,84,Ukraine,5.3
163,42,United Arab Emirates,1.7
164,16,United Kingdom,2.6
165,10,United States,5.2
166,54,Uruguay,5.2
167,105,Uzbekistan,4.1
168,71,Venezuela (Bolivarian Republic of),1.0
169,115,Viet Nam,2.4
170,168,Yemen,3.0
171,139,Zambia,10.8
172,154,Zimbabwe,9.7
173,,,
