,HDI Rank,Country,
2,169,Afghanistan,6.2
3,75,Albania,6.6
4,83,Algeria,2.3
5,150,Angola,20.7
6,45,Argentina,17.2
7,84,Armenia,5.0
8,2,Australia,16.1
9,24,Austria,18.2
10,78,Azerbaijan,2.4
11,58,Bahamas,3.6
12,47,Bahrain,11.6
13,139,Bangladesh,6.8
14,54,Barbados,4.1
15,52,Belarus,32.7
16,22,Belgium,21.0
17,103,Belize,4.9
18,167,Benin,8.8
19,132,Bhutan,23.1
20,118,Bolivia (Plurinational State of),16.2
21,81,Bosnia and Herzegovina,18.0
22,108,Botswana,5.7
23,79,Brazil,9.4
24,30,Brunei Darussalam,7.7
25,56,Bulgaria,16.6
26,185,Burkina Faso,7.3
27,184,Burundi,34.1
28,122,Cabo Verde,9.1
29,143,Cambodia,12.6
30,153,Cameroon,10.9
31,10,Canada,14.9
32,188,Central African Republic,14.1
33,186,Chad,7.4
34,38,Chile,19.0
35,90,China,7.1
36,95,Colombia,9.1
37,160,Comoros,24.0
38,135,Congo,14.7
39,176,Congo (Democratic Republic of the),15.8
40,66,Costa Rica,11.2
41,45,Croatia,19.8
42,68,Cuba,18.5
43,33,Cyprus,7.7
44,28,Czech Republic,21.5
45,171,Côte d'Ivoire,10.6
46,5,Denmark,13.6
47,172,Djibouti,20.9
48,99,Dominican Republic,6.1
49,89,Ecuador,13.2
50,111,Egypt,2.4
51,117,El Salvador,23.5
52,135,Equatorial Guinea,24.1
53,179,Eritrea,25.8
54,30,Estonia,24.9
55,174,Ethiopia,16.5
56,91,Fiji,10.6
57,23,Finland,22.2
58,21,France,19.3
59,109,Gabon,12.1
60,173,Gambia,7.6
61,70,Georgia,5.7
62,4,Germany,14.5
63,139,Ghana,4.2
64,29,Greece,6.3
65,125,Guatemala,13.7
66,183,Guinea,7.1
67,178,Guinea-Bissau,7.2
68,127,Guyana,70.8
69,163,Haiti,3.3
70,130,Honduras,8.3
71,43,Hungary,32.4
72,9,Iceland,21.0
73,131,India,25.8
74,113,Indonesia,3.7
75,69,Iran (Islamic Republic of),6.7
76,121,Iraq,1.2
77,8,Ireland,16.9
78,19,Israel,9.8
79,26,Italy,7.6
80,94,Jamaica,1.8
81,17,Japan,26.9
82,86,Jordan,2.2
83,56,Kazakhstan,40.6
84,146,Kenya,24.4
85,18,Korea (Republic of),41.7
86,51,Kuwait,1.0
87,120,Kyrgyzstan,14.2
88,138,Lao People's Democratic Republic,11.2
89,44,Latvia,30.7
90,76,Lebanon,1.2
91,160,Lesotho,9.2
92,177,Liberia,6.8
93,102,Libya,2.2
94,37,Lithuania,51.0
95,20,Luxembourg,13.0
96,158,Madagascar,15.2
97,170,Malawi,23.9
98,59,Malaysia,4.7
99,105,Maldives,7.8
100,175,Mali,7.2
101,33,Malta,11.1
102,157,Mauritania,4.5
103,64,Mauritius,13.2
104,77,Mexico,7.1
105,107,Moldova (Republic of),24.1
106,92,Mongolia,16.3
107,48,Montenegro,24.7
108,123,Morocco,9.9
109,181,Mozambique,34.2
110,145,Myanmar,16.5
111,125,Namibia,4.4
112,144,Nepal,30.1
113,7,Netherlands,11.7
114,13,New Zealand,14.4
115,124,Nicaragua,15.4
116,187,Niger,5.3
117,152,Nigeria,10.3
118,1,Norway,13.0
119,52,Oman,1.2
120,147,Pakistan,9.1
121,60,Panama,8.1
122,154,Papua New Guinea,15.9
123,110,Paraguay,9.1
124,87,Peru,4.4
125,116,Philippines,4.8
126,36,Poland,30.5
127,41,Portugal,13.6
128,33,Qatar,5.7
129,50,Romania,18.4
130,49,Russian Federation,35.1
131,159,Rwanda,17.1
132,38,Saudi Arabia,0.6
133,162,Senegal,8.6
134,66,Serbia,19.9
135,179,Sierra Leone,11.0
136,5,Singapore,9.8
137,40,Slovakia,18.5
138,25,Slovenia,20.8
139,156,Solomon Islands,13.9
140,0,Somalia,18.1
141,119,South Africa,5.5
142,181,South Sudan,27.1
143,27,Spain,8.2
144,73,Sri Lanka,46.4
145,165,Sudan,23.0
146,97,Suriname,44.5
147,148,Swaziland,8.6
148,14,Sweden,16.2
149,2,Switzerland,13.6
150,149,Syrian Arab Republic,0.7
151,129,Tajikistan,5.7
152,151,Tanzania (United Republic of),31.6
153,87,Thailand,19.1
154,82,The former Yugoslav Republic of Macedonia,7.3
155,133,Timor-Leste,10.2
156,166,Togo,8.5
157,65,Trinidad and Tobago,20.4
158,97,Tunisia,3.4
159,71,Turkey,11.8
160,111,Turkmenistan,32.5
161,163,Uganda,26.9
162,84,Ukraine,30.3
163,42,United Arab Emirates,3.9
164,16,United Kingdom,9.8
165,10,United States,19.4
166,54,Uruguay,20.0
167,105,Uzbekistan,13.2
168,71,Venezuela (Bolivarian Republic of),4.3
169,115,Viet Nam,8.0
170,168,Yemen,4.3
171,139,Zambia,20.8
172,154,Zimbabwe,27.2
173,,,
