,HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013,2014,2015
2,169,Afghanistan,10.2,10.2,10.3,10.1,8.2,8.3,8.3,9.1,9.6
3,75,Albania,21.3,14.5,13.0,14.2,14.0,13.4,15.6,17.5,17.3
4,83,Algeria,27.9,29.8,15.3,10.0,10.0,11.0,9.8,10.6,10.5
5,150,Angola,7.5,7.7,7.4,7.7,7.7,7.7,7.6,7.6,7.6
6,45,Argentina,18.8,15.0,10.6,7.4,7.0,7.3,6.6,7.3,6.7
7,84,Armenia,18.0,18.0,17.2,19.0,18.4,17.3,16.2,16.2,16.3
8,2,Australia,8.5,6.3,5.0,5.2,5.1,5.2,5.7,6.1,6.3
9,24,Austria,4.3,4.7,5.6,4.8,4.6,4.9,5.3,5.6,5.7
10,78,Azerbaijan,6.5,11.8,7.3,5.6,5.4,5.2,5.0,4.9,4.7
11,58,Bahamas,10.8,7.2,10.2,14.7,13.7,14.0,16.2,15.1,14.4
12,47,Bahrain,1.3,1.4,1.3,1.1,1.2,1.2,1.2,1.2,1.2
13,139,Bangladesh,2.3,3.3,4.3,4.5,4.5,4.5,4.4,4.4,4.4
14,54,Barbados,19.7,9.3,9.1,10.8,11.2,11.6,11.5,12.3,12.3
15,52,Belarus,6.5,6.3,6.1,6.0,5.9,5.9,5.8,5.9,6.1
16,22,Belgium,9.3,6.6,8.4,8.3,7.1,7.5,8.4,8.5,8.7
17,103,Belize,12.5,10.9,11.0,13.3,13.7,14.4,11.7,11.6,11.8
18,167,Benin,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.1,1.1
19,132,Bhutan,3.3,1.7,3.1,3.3,3.1,2.1,2.9,2.6,2.6
20,118,Bolivia (Plurinational State of),4.2,4.8,5.4,2.6,2.7,2.3,2.8,3.2,3.6
21,81,Bosnia and Herzegovina,25.0,25.0,25.9,27.2,27.6,28.1,27.4,31.2,30.3
22,108,Botswana,21.7,15.8,20.5,17.9,17.8,17.7,17.4,17.9,18.6
23,79,Brazil,6.0,15.0,9.3,7.9,6.7,6.1,6.5,6.8,7.2
24,30,Brunei Darussalam,4.3,3.2,2.4,1.7,1.7,1.5,1.2,1.6,1.9
25,56,Bulgaria,15.9,16.2,10.1,10.2,11.3,12.3,12.9,11.4,9.8
26,185,Burkina Faso,2.4,2.8,2.7,3.2,3.3,3.3,3.2,3.0,2.9
27,184,Burundi,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.5
