,HDI Rank,Country,
2,75,Albania,24.6 ffff
3,84,Armenia,9.5 ffff
4,2,Australia,16.9 ffff
5,24,Austria,13.0 ffff
6,78,Azerbaijan,13.5 ffff
7,139,Bangladesh,67.2 ffff
8,22,Belgium,24.0 ffff
9,56,Bulgaria,23.0 ffff
10,185,Burkina Faso,11.5 ffff
11,122,Cabo Verde,12.6 ffff
12,143,Cambodia,21.0 ffff
13,153,Cameroon,51.1 ffff
14,188,Central African Republic,29.8 ffff
15,95,Colombia,37.4 ffff
16,160,Comoros,6.4 ffff
17,176,Congo (Democratic Republic of the),64.1 ffff
18,45,Croatia,13.0 ffff
19,33,Cyprus,15.0 ffff
20,28,Czech Republic,21.0 ffff
21,171,Côte d'Ivoire,25.5 ffff
22,5,Denmark,32.0 ffff
23,99,Dominican Republic,22.4 ffff
24,89,Ecuador,37.5 ffff
25,111,Egypt,26.0 ffff
26,117,El Salvador,26.3 ffff
27,135,Equatorial Guinea,56.9 ffff
28,30,Estonia,20.0 ffff
29,91,Fiji,64.0 ffff
30,23,Finland,30.0 ffff
31,21,France,26.0 ffff
32,109,Gabon,48.6 ffff
33,70,Georgia,9.0 ffff
34,4,Germany,22.0 ffff
35,139,Ghana,22.9 ffff
36,29,Greece,19.0 ffff
37,125,Guatemala,27.6 ffff
38,163,Haiti,20.8 ffff
39,43,Hungary,21.0 ffff
40,9,Iceland,22.4 ffff
41,131,India,37.2 ffff
42,8,Ireland,15.0 ffff
43,26,Italy,19.0 ffff
44,94,Jamaica,35.0 ffff
45,86,Jordan,23.6 ffff
46,146,Kenya,41.2 ffff
47,137,Kiribati,67.6 ffff
48,120,Kyrgyzstan,25.4 ffff
49,138,Lao People's Democratic Republic,15.0 ffff
50,44,Latvia,32.0 ffff
51,177,Liberia,38.6 ffff
52,37,Lithuania,24.0 ffff
53,20,Luxembourg,22.0 ffff
54,170,Malawi,31.0 ffff
55,105,Maldives,19.5 ffff
56,175,Mali,34.6 ffff
57,33,Malta,15.0 ffff
58,0,Marshall Islands,51.0 ffff
59,77,Mexico,14.1 ffff
60,127,Micronesia (Federated States of),32.8 ffff
61,107,Moldova (Republic of),45.5 ffff
62,181,Mozambique,33.1 ffff
63,0,Nauru,48.1 ffff
64,144,Nepal,28.2 ffff
65,7,Netherlands,25.0 ffff
66,124,Nicaragua,29.3 ffff
67,152,Nigeria,16.2 ffff
68,1,Norway,27.0 ffff
69,60,Palau,25.3 ffff
70,87,Peru,36.4 ffff
71,116,Philippines,14.6 ffff
72,36,Poland,13.0 ffff
73,41,Portugal,19.0 ffff
74,50,Romania,24.0 ffff
75,159,Rwanda,56.4 ffff
76,104,Samoa,46.1 ffff
77,142,Sao Tome and Principe,27.9 ffff
78,179,Sierra Leone,45.3 ffff
79,5,Singapore,6.1 ffff
80,40,Slovakia,23.0 ffff
81,25,Slovenia,13.0 ffff
82,156,Solomon Islands,63.5 ffff
83,27,Spain,13.0 ffff
84,14,Sweden,28.0 ffff
85,129,Tajikistan,20.3 ffff
86,151,Tanzania (United Republic of),43.6 ffff
87,133,Timor-Leste,34.6 ffff
88,101,Tonga,39.6 ffff
89,71,Turkey,38.0 ffff
90,0,Tuvalu,36.8 ffff
91,163,Uganda,50.5 ffff
92,84,Ukraine,13.2 ffff
93,16,United Kingdom,29.0 ffff
94,134,Vanuatu,60.0 ffff
95,115,Viet Nam,34.4 ffff
96,139,Zambia,49.5 ffff
97,154,Zimbabwe,42.3 ffff
98,,,
