,HDI Rank,Country,
2,24,Austria,4.0 ffff
3,22,Belgium,8.0 ffff
4,118,Bolivia (Plurinational State of),4.0 ffff
5,56,Bulgaria,6.0 ffff
6,143,Cambodia,4.0 ffff
7,153,Cameroon,5.0 ffff
8,160,Comoros,1.5 ffff
9,176,Congo (Democratic Republic of the),2.7 ffff
10,45,Croatia,3.0 ffff
11,33,Cyprus,2.0 ffff
12,28,Czech Republic,4.0 ffff
13,5,Denmark,11.0 ffff
14,30,Estonia,9.0 ffff
15,91,Fiji,9.0 ffff
16,23,Finland,11.0 ffff
17,21,France,9.0 ffff
18,109,Gabon,5.0 ffff
19,70,Georgia,0.2 ffff
20,4,Germany,7.0 ffff
21,139,Ghana,4.2 ffff
22,29,Greece,1.0 ffff
23,163,Haiti,2.0 ffff
24,43,Hungary,3.0 ffff
25,131,India,0.3 ffff
26,8,Ireland,5.0 ffff
27,26,Italy,5.0 ffff
28,146,Kenya,3.5 ffff
29,137,Kiribati,10.0 ffff
30,120,Kyrgyzstan,0.1 ffff
31,138,Lao People's Democratic Republic,5.0 ffff
32,44,Latvia,7.0 ffff
33,177,Liberia,2.6 ffff
34,37,Lithuania,5.0 ffff
35,20,Luxembourg,8.0 ffff
36,170,Malawi,1.7 ffff
37,105,Maldives,6.2 ffff
38,33,Malta,5.0 ffff
39,0,Marshall Islands,13.0 ffff
40,127,Micronesia (Federated States of),8.0 ffff
41,0,Nauru,47.0 ffff
42,144,Nepal,0.4 ffff
43,7,Netherlands,12.0 ffff
44,152,Nigeria,1.5 ffff
45,60,Palau,15.1 ffff
46,116,Philippines,1.6 ffff
47,36,Poland,2.0 ffff
48,41,Portugal,1.0 ffff
49,50,Romania,2.0 ffff
50,104,Samoa,11.0 ffff
51,40,Slovakia,4.0 ffff
52,25,Slovenia,4.0 ffff
53,27,Spain,3.0 ffff
54,14,Sweden,12.0 ffff
55,151,Tanzania (United Republic of),2.9 ffff
56,133,Timor-Leste,0.4 ffff
57,163,Uganda,3.7 ffff
58,84,Ukraine,1.3 ffff
59,16,United Kingdom,7.0 ffff
60,134,Vanuatu,33.0 ffff
61,139,Zambia,2.9 ffff
62,154,Zimbabwe,1.2 ffff
63,,,
