,HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014
2,75,Albania,,,,,,59.2,62.8,58.1,
3,83,Algeria,,,,,,29.5,,26.9,
4,45,Argentina,25.6,24.1,22.8,21.4,19.0,18.6,19.0,20.5,
5,84,Armenia,,,,,27.5,29.8,,42.4,
6,24,Austria,,9.4,8.5,8.3,9.0,8.6,8.5,8.7,8.6
7,78,Azerbaijan,,,,62.6,56.0,57.5,57.1,56.4,
8,47,Bahrain,,,,2.2,2.0,,,,
9,139,Bangladesh,,,68.9,85.0,62.5,57.8,,,
10,54,Barbados,11.7,12.3,12.5,,,,,,
11,52,Belarus,,,,,,,,,
12,22,Belgium,17.3,16.0,11.5,10.6,9.9,10.2,10.3,10.8,10.5
13,103,Belize,,25.5,,23.5,,,,,
14,167,Benin,,,,,87.7,,,,
15,132,Bhutan,,,,,68.8,70.9,53.1,,
16,118,Bolivia (Plurinational State of),39.6,40.5,66.1,60.0,,54.3,,,
17,81,Bosnia and Herzegovina,,,,,26.6,25.2,27.4,25.3,
18,108,Botswana,,,,,12.9,,,,
19,79,Brazil,29.3,35.8,27.4,28.4,,24.5,23.7,23.1,
20,56,Bulgaria,,,14.0,10.2,9.0,8.5,8.0,8.2,8.7
21,185,Burkina Faso,,,,,,,,,
22,184,Burundi,,,,93.9,93.7,,,,
23,122,Cabo Verde,,,39.6,,,,,,
24,143,Cambodia,,,84.5,,69.8,68.5,64.1,,
25,153,Cameroon,,,,79.8,73.6,,,,
26,95,Colombia,,29.6,43.4,45.4,48.6,48.8,48.6,47.9,
27,135,Congo,,,,75.1,,,,,
28,66,Costa Rica,24.7,22.5,23.5,21.1,20.4,20.2,20.2,20.7,
29,45,Croatia,,,18.8,19.9,17.1,17.2,15.2,13.7,10.4
30,33,Cyprus,,,18.1,15.8,13.8,13.4,12.5,13.5,14.2
31,28,Czech Republic,,8.1,10.8,12.3,14.1,14.4,15.0,14.5,14.5
32,171,Côte d'Ivoire,,,,,,,79.0,,
33,5,Denmark,7.0,5.3,4.9,5.2,5.5,5.5,5.6,5.6,5.4
34,99,Dominican Republic,,38.1,40.6,42.7,37.1,45.0,44.5,41.7,
35,89,Ecuador,36.1,34.1,42.6,41.6,41.8,43.9,51.2,39.0,
36,111,Egypt,,26.0,22.9,25.3,23.1,23.1,21.8,26.4,
37,117,El Salvador,,36.6,37.4,38.8,37.7,37.9,37.5,37.6,
38,30,Estonia,2.3,4.7,5.1,5.3,5.0,4.8,5.1,5.4,5.7
39,174,Ethiopia,,,,91.2,46.2,47.3,47.3,88.8,
40,91,Fiji,,,,39.0,,,,,
41,23,Finland,,12.1,9.2,8.8,9.2,9.3,9.6,9.4,9.8
42,21,France,10.9,9.0,7.1,6.5,7.0,7.2,7.1,7.0,7.2
43,109,Gabon,,,,52.9,31.3,,,,
44,173,Gambia,,,,,,,60.5,,
45,70,Georgia,,,59.9,64.2,60.6,,,59.8,
46,4,Germany,6.1,5.6,5.8,7.5,6.7,6.9,6.8,6.5,6.3
47,139,Ghana,,,,,76.8,,,,
48,29,Greece,42.0,39.7,34.0,28.1,27.8,28.5,29.6,30.3,29.6
49,125,Guatemala,,,46.7,,,40.6,44.5,,
50,183,Guinea,,,,,89.4,89.8,89.8,,
51,130,Honduras,48.9,45.7,,47.7,53.3,,,,
52,12,"Hong Kong, China (SAR)",,5.4,5.7,7.7,6.4,6.6,6.9,6.9,
53,43,Hungary,,8.8,10.2,7.8,6.9,6.9,6.5,6.1,5.8
54,9,Iceland,,12.2,10.6,8.8,8.4,8.2,8.1,8.3,8.5
55,131,India,,,83.4,83.1,80.8,,,,
56,113,Indonesia,,,64.9,63.4,61.6,57.2,50.0,33.0,
57,69,Iran (Islamic Republic of),,,,,40.5,,,,
