,HDI Rank,Country,2005,2010,2011,2012,2013,2014
2,75,Albania,,,30.0,26.8,30.5,
3,83,Algeria,,24.5,,,21.5,22.8
4,45,Argentina,,20.4,18.8,18.6,,
5,84,Armenia,,,42.1,40.0,40.9,
6,2,Australia,9.5,9.7,9.8,9.8,,
7,24,Austria,8.6,7.4,7.3,6.8,7.3,7.7
8,78,Azerbaijan,19.5,,,,,
9,139,Bangladesh,31.0,,,,40.3,
10,22,Belgium,13.0,10.9,11.8,12.3,12.7,12.1
11,103,Belize,,,,27.9,,
12,167,Benin,,3.5,,20.0,,
13,118,Bolivia (Plurinational State of),12.9,,,,,
14,79,Brazil,,,19.0,18.9,19.6,
15,56,Bulgaria,25.1,21.8,21.8,21.5,21.6,20.2
16,143,Cambodia,,,,7.8,,
17,153,Cameroon,,10.8,,,,
18,10,Canada,10.7,14.1,13.6,13.6,13.3,
19,38,Chile,,11.8,,,,
20,95,Colombia,24.3,23.9,23.1,22.6,22.0 jjj,
21,66,Costa Rica,,19.4,17.4,17.8,,
22,45,Croatia,16.7,15.7,16.2,16.6,19.6,19.3
23,33,Cyprus,19.5,11.7,14.6,16.0,18.7,17.0
24,28,Czech Republic,13.3,8.8,8.3,8.9,9.1,8.1
25,5,Denmark,4.3,6.0,6.3,6.6,6.0,5.8
26,99,Dominican Republic,,,20.5,20.9,21.3,
27,89,Ecuador,,,3.5,4.0,3.8,
28,111,Egypt,,,32.1,31.6,27.9,
29,117,El Salvador,,28.7,,26.0,5.7 kkk,
30,30,Estonia,10.9,14.0,11.6,12.2,11.3,11.7
31,174,Ethiopia,,,1.3,1.1 lll,,
32,23,Finland,8.1,9.0,8.4,8.6,9.3,10.2
33,21,France,10.9,12.3,11.8,12.1,11.2,10.7
34,4,Germany,11.3,8.3,7.5,7.1,6.3,6.4
35,29,Greece,20.8,14.8,17.4,20.2,20.4,19.1
36,125,Guatemala,,,25.7,23.2,29.8,
37,130,Honduras,,41.4 mmm,,,,
38,12,"Hong Kong, China (SAR)",,7.0,6.2,6.2,6.6,
39,43,Hungary,18.8,12.6,13.2,14.8,15.5,13.6
40,9,Iceland,4.7,7.3,6.7,5.9,5.5,5.8
41,131,India,,27.2,,,,
42,113,Indonesia,,25.7,,,24.1,
43,69,Iran (Islamic Republic of),,34.4,,,,
44,8,Ireland,15.1,19.2,18.8,18.7,16.1,15.2
45,19,Israel,33.9,,31.6,16.7,15.7,
46,26,Italy,17.1,19.0,19.6,20.9,22.1,22.0
47,94,Jamaica,,,,,28.8,
48,17,Japan,,4.3,,4.2,3.9,
